Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top[cm] [cm],Bottom[cm] [cm],Top Depth[m] [m],Bottom Depth[m] [m],Comments,Preservation,Group Abundance,Catapsydrax dissimilis,Catapsydrax unicavus,Globigerina bulloides,Globigerina ciperoensis,Globigerina parabulloides,Globigerina umbilicata,Globigerinita glutinata,Globigerinita uvula,Globoquadrina duterei,Globorotalia incisa,Globorotalia (Globoconella) praescitula,Globorotalia (Hirsutella) scitula,Globorotalia suterae,Neogloboquadrina atlantica atlantica,Neogloboquadrina atlantica praeatlantica,Neogloboquadrina dutertri subcretacea,Neogloboquadrina pachyderma (sin),Neogloboquadrina pachyderma(dex),Orbulina universa,Turborotalia quinqueloba,pc_fossil_group,physical_constituent_name,pc_fossil_name,pc_abundance_name_mode,pc_preservation_name_average,File Data
323-U1340D-1H-CC-PAL-FORAM46   ,323,U1340,D,1,1-CC,H,CC,PAL,FORAM46   ,0,0 ,7.19,7.19,,G [323_PF],A [323_PFs],,,,,,,,,,,,,,,,,A [323_PFs],,,,,,,,,
323-U1340D-2H-CC-PAL-FORAM51   ,323,U1340,D,2,2-CC,H,CC,PAL,FORAM51   ,0,0 ,17.11,17.11,,G [323_PF],F [323_PFs],,,,,,P [323_PFs],,,,,,,,,,,F [323_PFs],,,,,,,,,
323-U1340D-3H-CC-PAL-FORAM56   ,323,U1340,D,3,3-CC,H,CC,PAL,FORAM56   ,0,0 ,26.73,26.73,,G [323_PF],A [323_PFs],,,,,,A [323_PFs],,,,,,,,,,,A [323_PFs],,,,,,,,,
