Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top depth [m],Bottom depth [m],Quadrimorphina spp.,Quinqueloculina aspera,Quinqueloculina intricata,Quinqueloculina seminula,Quinqueloculina spp.,Ramulina spp.,Rectobolivina sp.,Rectuvigerina spp.,Recurvoides spp.,Reophax bilocularis,Reophax pilulifer,Reophax scorpiusus,Reophax spp.,Reophax subfusiformis,Reticulophragmium spp.,Reusella spp.,Rhabdammina abyssorum,Rhabdammina spp.,Rhizammina algaeformis,Rhizammina spp.,Robertinoides spp.,Robertinoides spp.?,Robertina spp.,Rosalia sp.,Rosalina anomala,Rosalina bradyi,Rosalina cf. australis,Rosalina globularis,Rosalina sp.,Rotalia sp.,Rupertina stabilis,Saccammina sphaerica,Saccammina spp.,Saccorhiza ramosa,Sahulia spp.,Saracenaria latiforns,Saracenaria spp.,Sigmoilinita spp.,Sigmoilopsis schlumbergeri,Sigmoilopsis woodi,Siphogenerina dimorpha,Siphogenerina sp.?,Siphonina tubulosa,Siphonodosaria cf. ketienziensis,Siphonodosaria hispidula,Siphonodosaria ketienziensis,Siphonodosaria lepidula,Siphonodosasria lepidula f. huagaensis,Siphonodosaria sp. 1,Siphonodosaria sp. 2,Siphonodosaria spp.,Siphonodosaria subtertenuata,Siphogenerina columellaris,Siphotextularia rolshauseni ,Siphogenerina spp.,Siphotextularia sp.,Siphouvigerina ampullacea,Sphaeroidina bulloides,Sphaeroidina spp.,Spirillina spp.,Spiroloculina spp.?,Spirosigmoilina pusilla,Spiloloculina sp.,Spiroloculina excavata,Spiroloculina spp.,Spiroloculina tenui,Spirophtalmidium cf. actuimargo,Spiroplectammina spp.,Spiroplectinella sagittula,Stainforthia spp.,Stilostomella consobrina,Stilostomella fistuca,Stillostomellidae indet.,Siphonodosaria cf. holoserica,Stilostomella holoserica,Stilostomella spp.,Stilostominella spp.,Comment,File Data
339-U1387A-1H-CC-PAL-FORAM,339,U1387,A,1,1-CC,H,CC,PAL,FORAM,0,5,5.02,5.07,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,P ,,,,,P ,,,,,,,,,,,,,,
339-U1387A-3H-CC-PAL-FORAM,339,U1387,A,3,3-CC,H,CC,PAL,FORAM,0,4,24.27,24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,R ,,,,,,,,,,,
339-U1387A-5H-CC-PAL-FORAM,339,U1387,A,5,5-CC,H,CC,PAL,FORAM,0,5,42.64,42.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,
339-U1387A-7X-CC-PAL-FORAM,339,U1387,A,7,7-CC,X,CC,PAL,FORAM,0,5,52.51,52.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,
339-U1387A-9X-CC-PAL-FORAM,339,U1387,A,9,9-CC,X,CC,PAL,FORAM,0,4,74.72,74.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,,,,,,
339-U1387A-11X-6-PAL-FORAM,339,U1387,A,11,11-6,X,6,PAL,FORAM,0,5,92.37,92.42,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,R ,,,,,,,R ,,,,,,,,,,,,,,
339-U1387A-13X-CC-PAL-FORAM,339,U1387,A,13,13-CC,X,CC,PAL,FORAM,0,5,113.34,113.39,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,
339-U1387A-15X-CC-PAL-FORAM,339,U1387,A,15,15-CC,X,CC,PAL,FORAM,0,5,132.38,132.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,R ,,R ,R ,,,
339-U1387A-17X-CC-PAL-FORAM,339,U1387,A,17,17-CC,X,CC,PAL,FORAM,0,5,151.28,151.33,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,
339-U1387A-19X-CC-PAL-FORAM,339,U1387,A,19,19-CC,X,CC,PAL,FORAM,0,5,170.6,170.65,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,R ,,,,,,,R ,,,,,,,,,,,,,,
339-U1387A-21X-CC-PAL-FORAM,339,U1387,A,21,21-CC,X,CC,PAL,FORAM,0,5,189.64,189.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,P ,,,,,,P ,,,,,,,,,,,,,,,
339-U1387A-24X-CC-PAL-FORAM,339,U1387,A,24,24-CC,X,CC,PAL,FORAM,0,5,218.66,218.71,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,R ,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,
339-U1387A-26X-CC-PAL-FORAM,339,U1387,A,26,26-CC,X,CC,PAL,FORAM,0,5,237.78,237.83,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,R ,,,,,,,P ,,,,,,,,,,,,,,
339-U1387A-28X-CC-PAL-FORAM,339,U1387,A,28,28-CC,X,CC,PAL,FORAM,0,5,256.69,256.74,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,
339-U1387A-30X-CC-PAL-FORAM,339,U1387,A,30,30-CC,X,CC,PAL,FORAM,0,5,276.24,276.29,,,,,P ,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,R ,R ,,,,,,,,,,,A ,,,,,,P ,,,,,,,,,,,,,,,
339-U1387A-32X-CC-PAL-FORAM,339,U1387,A,32,32-CC,X,CC,PAL,FORAM,0,5,295.24,295.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,
339-U1387A-34X-CC-PAL-FORAM,339,U1387,A,34,34-CC,X,CC,PAL,FORAM,0,5,314.97,315.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,P ,,,,,,,,R ,,,,,,,P ,,,,,,,,,,,,,,
339-U1387A-36X-CC-PAL-FORAM,339,U1387,A,36,36-CC,X,CC,PAL,FORAM,0,6,333.43,333.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,R ,P ,,,,,,,,A ,,,,,,,P ,,,,,,,,P ,,P ,P ,,,
