Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Agglutinated,Elongated,Planispiral,Trochospiral,Tapered,Comments,File Data
342-U1409A-4H-2-W 110/112-FORAM,342,U1409,A,4,4-2,H,2,W,110/112-FORAM,0,2,22.7,22.72,P [P21],D [A60],,,,,,,
342-U1409A-4H-5-W 110/112-FORAM,342,U1409,A,4,4-5,H,5,W,110/112-FORAM,0,2,27.2,27.22,P [P21],D [A60],,,,,,,
342-U1409A-5H-2-W 110/112-FORAM,342,U1409,A,5,5-2,H,2,W,110/112-FORAM,0,2,32.2,32.22,P [P21],D [A60],,,,,,,
342-U1409A-5H-5-W 91/93-FORAM,342,U1409,A,5,5-5,H,5,W,91/93-FORAM,0,2,36.51,36.53,VG [P21],P [A60],,,,,,,
342-U1409A-6H-2-W 111/113-PAL,342,U1409,A,6,6-2,H,2,W,111/113-PAL,0,2,41.71,41.73,VG [P21],P [A60],,,,,,,
342-U1409A-6H-5-W 30/32-PAL,342,U1409,A,6,6-5,H,5,W,30/32-PAL,0,2,45.4,45.42,VG [P21],P [A60],,,,,,,
342-U1409A-7H-2-W 57/59-PAL,342,U1409,A,7,7-2,H,2,W,57/59-PAL,0,2,50.67,50.69,G [P21],P [A60],,,,,,,
342-U1409A-7H-5-W 69/71-PAL,342,U1409,A,7,7-5,H,5,W,69/71-PAL,0,2,55.3,55.32,G [P21],P [A60],,,,,,,
342-U1409A-8H-2-W 50/52-PAL,342,U1409,A,8,8-2,H,2,W,50/52-PAL,0,2,60.1,60.12,VG [P21],P [A60],,,,,,,
342-U1409A-8H-5-W 119/121-PAL,342,U1409,A,8,8-5,H,5,W,119/121-PAL,0,2,65.29,65.31,VG [P21],P [A60],,,,,,,
342-U1409A-9H-2-W 110/112-FORAM,342,U1409,A,9,9-2,H,2,W,110/112-FORAM,0,2,70.2,70.22,VG [P21],P [A60],,,,,,,
342-U1409A-9H-5-W 110/112-FORAM,342,U1409,A,9,9-5,H,5,W,110/112-FORAM,0,2,74.71,74.73,VG [P21],P [A60],,,,,,,
342-U1409A-10H-2-W 110/112-FORAM,342,U1409,A,10,10-2,H,2,W,110/112-FORAM,0,2,79.7,79.72,VG [P21],P [A60],,,,,,,
