Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Braarudosphaera bigelowii,Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (>8 micron),Calcidiscus leptoporus (5-8 microns),Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus spp. azorinus,Coccolithus pelagicus spp. braarudii,Coccolithus pelagicus ssp. pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster gr. variabilis,Discoaster hamatus,Discoaster intercalaris,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Emiliania huxleyi (<5 microns),Emiliania huxleyi (>5 microns),Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa caribbeanica,medium Gephyrocapsa group,Gephyrocapsa oceanica (>5 micron),Gephyrocapsa oceanica (<5 micron),Gephyrocapsa omega,Gephyrocapsa spp. (<3 microns),Helicosphaera acuta,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera mediterranea,Helicosphaera pavimentum,Helicosphaera sellii,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Minylitha convallis,Oolithotus spp.,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra antarctica,Reticulofenestra asanoi (>6 microns),Reticulofenestra asanoi (<6 microns),Reticulofenestra cisnerosii,Reticulofenestra haqii,Reticulofenestra minuta (<3 microns),Reticulofenestra minuta,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5-7 microns),Reticulofenestra rotaria,Rhabdosphaera spp.,Scyphosphaera apsteinii,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus neoabies,Syracosphaera spp.,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,File Data
339-U1390B-1H-CC-PAL-NANNO,339,U1390,B,1,1-CC,H,CC,PAL,NANNO,0,5,9.07,9.12,G ,VA ,,,,,F ,,F ,F ,,,,,,,,,,F ,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,C ,P ,,,,R ,R ,,C ,,,R ,,,,,,,,,,,F ,,,,,,,,C ,,,,,,,,,,,,,,,,,R ,,,,,,,,
339-U1390B-2H-CC-PAL-NANNO,339,U1390,B,2,2-CC,H,CC,PAL,NANNO,0,5,19.07,19.12,G ,VA ,,,,,,,F ,F ,,,,,,,,,,F ,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,C ,P ,,R ,,R ,R ,,C ,,,F ,,,,,,,,,,,F ,,,,,,,,C ,,,,,,,,,,,,,,,,,R ,,,,,,F ,,
339-U1390B-3H-CC-PAL-NANNO,339,U1390,B,3,3-CC,H,CC,PAL,NANNO,0,5,28.3,28.35,G ,VA ,,,,,,,F ,F ,,,,,,,,,,F ,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,F ,P ,,R ,,R ,R ,,C ,,,F ,,,,,,,,,,,F ,,,,,,,,C ,,,,,,,,,,,,,,,,,R ,,,,,,F ,,
339-U1390B-4H-CC-PAL-NANNO,339,U1390,B,4,4-CC,H,CC,PAL,NANNO,0,5,38.21,38.26,G ,VA ,,,,,,,F ,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,C ,P ,,R ,,P ,R ,,C ,,,F ,,,,,,,,,,,,,,,,,,,C ,,,,,F ,,,,,,,,,,,,F ,,,,,,,,
339-U1390B-5H-CC-PAL-NANNO,339,U1390,B,5,5-CC,H,CC,PAL,NANNO,0,5,48.09,48.14,G ,VA ,,,,,,,F ,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,F ,,,,,,R ,,C ,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,F ,,,,,,,,
339-U1390B-6H-CC-PAL-NANNO,339,U1390,B,6,6-CC,H,CC,PAL,NANNO,0,5,57.53,57.58,G ,VA ,,,,,,,F ,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,F ,,,F ,,,F ,,C ,,,F ,,,,,,,,,,,F ,,,,,,,,C ,,,,,,,,,,,,,,,,,F ,,,,,,,,
339-U1390B-7H-CC-PAL-NANNO,339,U1390,B,7,7-CC,H,CC,PAL,NANNO,0,5,66.89,66.94,G ,VA ,,,,,,,F ,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,F ,,,,,,F ,,C ,,,F ,,,,,,,,,,,,,,,,,,,C ,,,,,F ,,,,,,,,,,,,F ,,,,,,,,
339-U1390B-8H-CC-PAL-NANNO,339,U1390,B,8,8-CC,H,CC,PAL,NANNO,0,5,76.05,76.1,G ,VA ,,,,,,,F ,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,F ,,,,,,,,C ,,,F ,,,,,,,,,,,R ,,,,,,,,C ,,,,,,,,,,,,,,,,,R ,,,,,,,,
339-U1390B-9H-CC-PAL-NANNO,339,U1390,B,9,9-CC,H,CC,PAL,NANNO,0,6,84.73,84.79,G ,VA ,,,,,,,,F ,,,,,,,,,,,R ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,A ,,,,VA ,,,F ,,,,,,,,,,,,,,,,,,,F ,,,,,F ,,,,,,,,,,,,F ,,,,,,F ,,
339-U1390B-10H-CC-PAL-NANNO,339,U1390,B,10,10-CC,H,CC,PAL,NANNO,0,4,93.62,93.66,G ,VA ,,,,,,F ,,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,A ,,,,VA ,,,F ,,,,,,,,,,,R ,,,,,,,,F ,,,,,,,,,,,,,,,,,F ,,,,,,F ,,
339-U1390B-11H-CC-PAL-NANNO,339,U1390,B,11,11-CC,H,CC,PAL,NANNO,0,5,104.98,105.03,G ,A ,,,,,,R ,,F ,,,,,,,,,,,R ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,C ,,,,VA ,,,F ,,,,,,,,,,,R ,,,,,,,,C ,,,,,,,,,,,,,,,,,C ,,,,,,F ,,
339-U1390B-12H-CC-PAL-NANNO,339,U1390,B,12,12-CC,H,CC,PAL,NANNO,0,5,108.93,108.98,G ,A ,,,,,,R ,,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,A ,,,,VA ,,,F ,,,,,,,,,,,R ,,,,,,,,A ,,,,,,,,,,,,,,,,,R ,,,,,,R ,,
339-U1390B-13H-CC-PAL-NANNO,339,U1390,B,13,13-CC,H,CC,PAL,NANNO,0,5,118.88,118.93,G ,A ,,,,,,,,F ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,C ,,,C ,F ,F ,,VA ,,,F ,,,,,,,,,,,,,,,,,,,C ,,,,,R ,,,,,,,,,,,,F ,,,,,,R ,,
