Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Amphisphaera coronata s.l.,Amphisphaera goruna,Axoprunum pierinae group,Bekoma bidartensis,Bekoma campechensis,Bekoma divaricata,Buryella clinata,Buryella pentadica,Buryella tetradica,Calocycloma ampulla,Calocycloma castum,Clathrocyclas australis,Dictyoprora mongolfieri,Eusyringium fistuligerum,Eusyringium lagena,"Heliodiscus asteriscus Haeckel, 1887",Lamptonium fabaeforme chaunothorax ,Lamptonium fabaeforme constrictum,Lamptonium fabaeforme fabaeforme ,Lamptonium pennatum,Lithochytris vespertilio,Lophocyrtis (Cyclampterium) hadra,Lophocyrtis (Lophocyrtis) jacchia,Lophocyrtis aspera,Lophocyrtis biaurita,Lophocyrtis semipolita group,Lychnocanoma amphitrite,Lychnocanoma auxilla ,Lychnocanoma bellum,Lychnocanoma conica,Lychnocanoma elongata ,Periphaena decora,Periphaena heliasteriscus,Periphaena tripyramis triangula,Peritiviator(?) dumitricai,Phormocyrtis striata exquisita,Phormocyrtis striata praexquisita,Phormocyrtis striata striata,Phormocyrtis turgida,Podocyrtis aphorma,Podocyrtis diamesa,Podocyrtis papalis ,Pterocodon (?) ampla ,Pterocodon (?) anteclinata,Pterocodon (?) poculum ,Rhopalocanium ornatum,Sethochyrtis chrysalli,Sethochytris bablylonis ,Sethochytris triconiscus,Spongatractus balbis ,Spongatractus pachystylus,Stylotrochus nitidus ,Theocorys acroria,Theocorys anaclasta ,Theocotyle conica,Theocotyle cryptocephala,Theocotyle nigriniae,Theocotylissa ficus ,Thyrsocyrtis hirsuta,Thyrsocyrtis rhizodon ,Thyrsocyrtis tensa ,Comments,File Data,Ship File Links,Shore File Links,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
342-U1409A-1H-CC-PAL,0,10,0.97,1.07,,,,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1409,A,1,H,CC,PAL,
342-U1409A-2H-CC-PAL,0,6,10.61,10.67,,,,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1409,A,2,H,CC,PAL,
342-U1409A-3H-CC-PAL,0,8,20.56,20.64,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1409,A,3,H,CC,PAL,
342-U1409A-4H-CC-PAL,0,10,30.03,30.13,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1409,A,4,H,CC,PAL,
342-U1409A-5H-CC-PAL,0,8,38.66,38.74,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1409,A,5,H,CC,PAL,
342-U1409A-6H-CC-PAL,0,8,49.14,49.22,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1409,A,6,H,CC,PAL,
342-U1409A-7H-CC-PAL,0,8,58.5,58.58,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1409,A,7,H,CC,PAL,
342-U1409A-8H-CC-PAL,0,8,67.97,68.05,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1409,A,8,H,CC,PAL,
342-U1409A-9H-CC-PAL,0,8,77.57,77.65,,,,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1409,A,9,H,CC,PAL,
342-U1409A-10H-CC-PAL,0,10,86.86,86.96,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1409,A,10,H,CC,PAL,
