Exp,Site,Hole,Core,Core-Sect,Type,Section,Piece,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comment,Preservation,Abundance,Amaurolithus delicatus,Calcidiscus macintyrei,Ship File Links,Shore File Links,Discoaster deflandrei,Discoaster druggii,Discoaster kugleri,Discoaster pentaradiatus,Reticulofenestra pseudoumbilica,Reticulofenestra pseudoumbilicus,File Data,Sample
324,U1348,A,1,1-1,W,1,1,PAL92,,0,6,0,0.06,,,C,,,F,C,F,F,,,C,,,324-U1348A-1W-1-PAL92
324,U1348,A,2,2-1,R,1,,W,1/1-PAL93     ,0,0,84.21,84.21,,G,C,R,C,F,C,,,,,,,,324-U1348A-2R-1-W 1/1-PAL93     
324,U1348,A,2,2-1,R,1,,W,2/2-PAL94     ,0,0,84.22,84.22,,G,C,,C,F,C,,F,,,,,,324-U1348A-2R-1-W 2/2-PAL94     
324,U1348,A,2,2-1,R,1,,W,6/6-Nanno_grey,0,0,84.26,84.26,,G,C,,C,C,F,,,,R,,,,324-U1348A-2R-1-W 6/6-Nanno_grey
