Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top depth [m],Bottom depth [m],Quadrimorphina spp.,Quinqueloculina aspera,Quinqueloculina intricata,Quinqueloculina seminula,Quinqueloculina spp.,Ramulina spp.,Rectobolivina sp.,Rectuvigerina spp.,Recurvoides spp.,Reophax bilocularis,Reophax pilulifer,Reophax scorpiusus,Reophax spp.,Reophax subfusiformis,Reticulophragmium spp.,Reusella spp.,Rhabdammina abyssorum,Rhabdammina spp.,Rhizammina algaeformis,Rhizammina spp.,Robertinoides spp.,Robertinoides spp.?,Robertina spp.,Rosalia sp.,Rosalina anomala,Rosalina bradyi,Rosalina cf. australis,Rosalina globularis,Rosalina sp.,Rotalia sp.,Rupertina stabilis,Saccammina sphaerica,Saccammina spp.,Saccorhiza ramosa,Sahulia spp.,Saracenaria latiforns,Saracenaria spp.,Sigmoilinita spp.,Sigmoilopsis schlumbergeri,Sigmoilopsis woodi,Siphogenerina dimorpha,Siphogenerina sp.?,Siphonina tubulosa,Siphonodosaria cf. ketienziensis,Siphonodosaria hispidula,Siphonodosaria ketienziensis,Siphonodosaria lepidula,Siphonodosasria lepidula f. huagaensis,Siphonodosaria sp. 1,Siphonodosaria sp. 2,Siphonodosaria spp.,Siphonodosaria subtertenuata,Siphogenerina columellaris,Siphotextularia rolshauseni ,Siphogenerina spp.,Siphotextularia sp.,Siphouvigerina ampullacea,Sphaeroidina bulloides,Sphaeroidina spp.,Spirillina spp.,Spiroloculina spp.?,Spirosigmoilina pusilla,Spiloloculina sp.,Spiroloculina excavata,Spiroloculina spp.,Spiroloculina tenui,Spirophtalmidium cf. actuimargo,Spiroplectammina spp.,Spiroplectinella sagittula,Stainforthia spp.,Stilostomella consobrina,Stilostomella fistuca,Stillostomellidae indet.,Siphonodosaria cf. holoserica,Stilostomella holoserica,Stilostomella spp.,Stilostominella spp.,Comments,File Data
339-U1391A-1H-CC-PAL-FORAM,339,U1391,A,1,1-CC,H,CC,PAL,FORAM,0,5,4.11,4.16,,,,,R ,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,P ,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,
339-U1391A-2H-CC-PAL-FORAM,339,U1391,A,2,2-CC,H,CC,PAL,FORAM,0,5,13.8,13.85,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,P ,,,,,,,,,,,,,,
339-U1391A-4H-CC-PAL-FORAM,339,U1391,A,4,4-CC,H,CC,PAL,FORAM,0,5,32.92,32.97,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,P ,,,,,,,,,,,,,,,
339-U1391A-6H-CC-PAL-FORAM,339,U1391,A,6,6-CC,H,CC,PAL,FORAM,0,5,52.13,52.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,P ,,,,,,,,,,,,,,
339-U1391A-8H-CC-PAL-FORAM,339,U1391,A,8,8-CC,H,CC,PAL,FORAM,0,5,71.13,71.18,,,,,R ,,,,,,,,,,,,,,,,,,,P ,,,,,P ,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,
339-U1391A-10H-CC-PAL-FORAM,339,U1391,A,10,10-CC,H,CC,PAL,FORAM,0,8,90.09,90.17,,,,,,,,,,,,,,,,,,,,R ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1391A-12H-CC-PAL-FORAM,339,U1391,A,12,12-CC,H,CC,PAL,FORAM,0,5,109.12,109.17,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,R ,,R ,,,,R ,,,,,,,,,,,,,,,R ,,,,,,P ,R ,,,,,,,,,,,,,,
339-U1391A-14H-CC-PAL-FORAM,339,U1391,A,14,14-CC,H,CC,PAL,FORAM,0,5,128.14,128.19,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,R ,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,
339-U1391A-16H-CC-PAL-FORAM,339,U1391,A,16,16-CC,H,CC,PAL,FORAM,0,5,147.98,148.03,,,,,P ,,,,,,,,,,,,,,,P ,,,,P ,,,,,P ,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,P ,,,,,,,R ,,,,,,,,,,,,,,
339-U1391A-18H-CC-PAL-FORAM,339,U1391,A,18,18-CC,H,CC,PAL,FORAM,0,5,167.17,167.22,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,A ,,,,,,P ,P ,,,,,,,,,,,,,,
339-U1391A-19H-4-PAL-FORAM,339,U1391,A,19,19-4,H,4,PAL,FORAM,0,5,171.05,171.1,,,,,P ,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,R ,,,,,,,P ,,,,,,,,,,,,,,
339-U1391A-20X-CC-PAL-FORAM,339,U1391,A,20,20-CC,X,CC,PAL,FORAM,0,5,179.82,179.87,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,P ,,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,
339-U1391A-21X-CC-PAL-FORAM,339,U1391,A,21,21-CC,X,CC,PAL,FORAM,0,5,189.22,189.27,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,
339-U1391A-22X-CC-PAL-FORAM,339,U1391,A,22,22-CC,X,CC,PAL,FORAM,0,5,199.35,199.4,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,P ,,,F ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,
339-U1391A-23X-CC-PAL-FORAM,339,U1391,A,23,23-CC,X,CC,PAL,FORAM,0,5,208.42,208.47,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,P ,P ,,,,,,,,,,,,,,
339-U1391A-25X-CC-PAL-FORAM,339,U1391,A,25,25-CC,X,CC,PAL,FORAM,0,5,227.41,227.46,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,R ,P ,,,,,,,,,,,F ,,,,,,R ,R ,,,,,,,P ,,,,,,,
339-U1391A-26X-CC-PAL-FORAM,339,U1391,A,26,26-CC,X,CC,PAL,FORAM,0,5,238.62,238.67,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,F ,,F ,P ,,,,P ,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,
339-U1391A-27X-CC-PAL-FORAM,339,U1391,A,27,27-CC,X,CC,PAL,FORAM,0,5,246.53,246.58,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,P ,,,,R ,R ,,,,,,R ,,,,,,P ,,,,,,,,,,,,,,,
339-U1391A-28X-CC-PAL-FORAM,339,U1391,A,28,28-CC,X,CC,PAL,FORAM,0,5,256.92,256.97,,,,,P ,,,,,,,,,,,,,,,,,,,P ,,,,,P ,,,,,,,,,,,,P ,,,,P ,R ,R ,,,,P ,,,,,,,R ,,,,,,R ,P ,,,,,,,,,,,,,,
339-U1391A-29X-CC-PAL-FORAM,339,U1391,A,29,29-CC,X,CC,PAL,FORAM,0,5,265.45,265.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,F ,,,,,,,,,,,,A ,,,,,,,P ,,,,,,,,,,,,,,
339-U1391A-30X-CC-PAL-FORAM,339,U1391,A,30,30-CC,X,CC,PAL,FORAM,0,5,276.47,276.52,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,F ,,,,,,R ,,,,,,F ,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,
339-U1391A-31X-CC-PAL-FORAM,339,U1391,A,31,31-CC,X,CC,PAL,FORAM,0,5,283.7,283.75,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,R ,,,,,,P ,R ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,R ,,,R ,,,
339-U1391A-33X-CC-PAL-FORAM,339,U1391,A,33,33-CC,X,CC,PAL,FORAM,0,5,302.65,302.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,P ,P ,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,P ,,,,
339-U1391A-34X-CC-PAL-FORAM,339,U1391,A,34,34-CC,X,CC,PAL,FORAM,0,5,314.51,314.56,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,R ,,,,,,,R ,,,,,,,,,,P ,,,,
339-U1391A-35X-CC-PAL-FORAM,339,U1391,A,35,35-CC,X,CC,PAL,FORAM,0,5,324.39,324.44,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,F ,P ,,,,,,,,,,,F ,,,,,,R ,R ,,,,,,,,P ,,,P ,P ,,
339-U1391A-36X-CC-PAL-FORAM,339,U1391,A,36,36-CC,X,CC,PAL,FORAM,0,5,334.05,334.1,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,R ,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,R ,,,,
