Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Alabaminella sp.,Alabaminella weddellensis,Angulogerina fluens,Astacolus sp.,Astrononion sp. ,Astrorhiza sp.,Baggina philippinensis,Bolivina alata,Bolivina decussata,Bolivina pacifica,Bolivina sp.,Bolivina spathulata,Bolivina spissa,Bolivina spp.,Botellina labyrinthica,Brizalina earlandi,Brizalina pygmaea,Buccella frigida ,Buccella inusitata,Buccella sp.,Buccella spp.,Bulimina sp.,Bulimina striata,Buliminella elegantissima,Buliminella sp.,Buliminella tenuata,Cassidulina californica,Cassidulina cushmani,Cassidulina laevigata var. carinata,Cassidulina mexicana,Cassidulina sp.,Cassidulina teretis ,Cassidulina translucens,Cassidulinoides cornuta,Cassidulinoides parkerianus,Cassidulinoides tenuis ,Chilostomella oolina,Chilostomellina frimbriata,Cibicides fletcheri ,Cibicides lobatulus,Cibicides mckannai,Cibicides sp.,Cibicides spiralis,Cibicides spp.,Cibicidoides mundulus,Cibicidoides sp.,Cibicidoides subhaidingerii,Cribrostomoides jeffreysii,Cribrostomoides subglobosus,Cyclammina cancellata,Dentalina sp.,Dentalinoides sp.,Discorbis sp.,Dorothia pseudofiliformis,Eggerella advena,Eggerella bradyi,Ehrenbergina sp.,Eilohedra vitrea,Elphidiella sp.,Elphidiellia groenlandica,Elphidium bartletti,Elphidium batialis,Elphidium clavatum,Elphidium excavatum,Elphidium frigidum,Elphidium hughesi,Elphidium sp.,Elphidium spp. ,Epistominella pacifica ,Epistominella pulchella,Epistominella sp.,Epistominella vitrea ,Eponides healdi ,Eponides sp.,Eubuliminella exilis ,Fissurina lucida ,Fissurina sp.,Fursenkoina bradyi,Fursenkoina sp.,Glandulina sp.,Globobulimina auriculata,Globobulimina pacifica,Globobulimina sp.,Globocassidulina sp.,Globocassidulina subglobosa,Gyroidina gemma,Gyroidina lamarckiana,Gyroidina spp.,Gyroidinoides soldanii,Gyroidinoides sp.,Haplophragmoides sp.,Haynesina sp.,Hormosinella guttifera,Hyalinonetrion gracillima,Hyperammina sp.,Ioanella sp.,Islandiella norcrossi,Islandiella sp.,Karreriella baccata,Karreriella parkerae,Laevidentalina advena,Lagena elongata,Lagena gracilis ,Lagena laevis ,Lagena meridionalis ,Lagena sp.,Lagena spp.,Lagena striata,Laticarinina pauperata,Lenticulina sp.,Lenticulina spp. ,Liebusella soldanii,Martinottiella communis,Melonis barleeanus,Melonis pompilioides,Neugeborina longiscata,Nodosaria aff. pyrula,Nodosaria sp.,Nonion sp.,Nonionella labradorica,Nonionella pulchella,Nonionella sp.,Nonionella spp. ,Nonionella turgida,Nonionella turgida digitata,Oolina globosa,Oolina laevigata,Oolina sp.,Oolina spp.,Oridorsalis sp.,Oridorsalis umbonatus,Paratrochammina challengeri,Planulina ariminensis,Planulina wuellerstorfi,Plectofrondicularia sp.,Pleurostomella alternans,Portatrochammina karica,Psammosphaera fusca,Pseudononion auricula,Pullenia bulloides,Pullenia salisburyi,Pullenia sp.,Pygmaeoseistron hispidum,Pyrgo sp.,Pyrgo spp. N/A,Quinqueloculina sp.,Quinqueloculina stalkeri,Reophax dentaliniformis,Reophax pilulifer,Reophax sp.,Reussella sp.,Rhabdammina sp.,Rhizammina algaeformis,Saccammina sp.,Sigmoilina distorta ,Sigmoilinita sp.,Sphaeroidina bulloides,Spiroculina sp.,Stainforthia fusiformis,Stainforthia sp.,Subreophax aduncus,Takayanagia delicata,Trichohyalus ornatissimus,Trifarina angulosa,Trifarina sp.,Triloculina sp.,Triloculina trihedra,Trochammina globigeriniformis,Trochammina globorotaliformis ,Trochammina sp.,Uvigerina akitaensis ,Uvigerina auberiana,Uvigerina cf. proboscidea,Uvigerina juncea,Uvigerina peregrina,Uvigerina senticosa ,Uvigerina sp.,Uvigerina spp.,Valvulineria sp.,Veleroninoides sp.,Comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
341-U1418F-4R-CC-PAL,0,5,286.66,286.71,G,P,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,F,,,,F,,,,,,,,,R,,,,F,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,341,U1418,F,4,R,CC,PAL,
341-U1418F-5R-CC-PAL,0,5,296.95,297,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,F,5,R,CC,PAL,
341-U1418F-7R-CC-PAL,0,5,315.21,315.26,P,P,,R,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,D,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,F,7,R,CC,PAL,
341-U1418F-9R-CC-PAL,0,5,336.51,336.56,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,F,9,R,CC,PAL,
341-U1418F-11R-CC-PAL,0,5,354.79,354.84,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,F,11,R,CC,PAL,
341-U1418F-13R-CC-PAL,0,5,372.27,372.32,P,P,,,,,,,,,,,,,,F,,,,,,,,,,,,,,A,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,F,13,R,CC,PAL,
341-U1418F-15R-CC-PAL,0,5,395.05,395.1,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,F,15,R,CC,PAL,
341-U1418F-17R-CC-PAL,0,5,414.62,414.67,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,A,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,F,17,R,CC,PAL,
341-U1418F-19R-CC-PAL,0,5,434.74,434.79,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,F,19,R,CC,PAL,
341-U1418F-21R-CC-PAL,0,5,453.98,454.03,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,F,21,R,CC,PAL,
