Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top depth [m],Bottom depth [m],Technitella sp.,Textularia pseudogramen,Textularia spp.,Textulariella spp.?,Tolypammina vagans,Trifarina angulosa,Trifarina bradyi,Trifarina fornasinii,Trifarina spp.,Triloculina sp. 1,Triloculina spp.,Triloculina tricarinata,Triloculinella obliquinodus,Tritaxa spp.,Tritaxis fusca,Trochammina bellingshauseni,Trochammina earlandi,Trochammina globigeriniformis,Trochammina spp.,Trochammina squammata,Trochamminoides spp.,Uvigerina auberiana,Uvigerina cf. auberiana,Uvigerina cf. hispida,Uvigerina cf. mexicana,Uvigerina cf. proboscidea,Uvigerina bradyana,Uvigerina elongatastriata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina peregrina,Uvigerina spp.,Uvigerinidae indet.,Vaginulina spp.,Vaginulinopsis spp.,Vaginulinidae indet.,Vaginulina subelegans,Valvulineria spp.,Verneuinulla spp.?,Virgulinella spp.,Vulvulina pennatula,Comment,File Data
339-U1391A-1H-CC-PAL-FORAM,339,U1391,A,1,1-CC,H,CC,PAL,FORAM,0,5,4.11,4.16,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,P ,,,F ,,,
339-U1391A-2H-CC-PAL-FORAM,339,U1391,A,2,2-CC,H,CC,PAL,FORAM,0,5,13.8,13.85,,,,,,,,,P ,,,,,,,,,,,,,,R ,,,,,,,,,R ,,,,,,,,,,,
339-U1391A-4H-CC-PAL-FORAM,339,U1391,A,4,4-CC,H,CC,PAL,FORAM,0,5,32.92,32.97,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,F ,,,,,,,,R ,,,
339-U1391A-6H-CC-PAL-FORAM,339,U1391,A,6,6-CC,H,CC,PAL,FORAM,0,5,52.13,52.18,,,,,,,,,,,,,,,,,,,,,,,,,,,D ,,,,R ,,,,,,,,,P ,,,
339-U1391A-8H-CC-PAL-FORAM,339,U1391,A,8,8-CC,H,CC,PAL,FORAM,0,5,71.13,71.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,F ,R ,,,,,,,,,,,
339-U1391A-10H-CC-PAL-FORAM,339,U1391,A,10,10-CC,H,CC,PAL,FORAM,0,8,90.09,90.17,,,,,,P ,,,P ,,,,,,,,,,,,,,,,,,R ,,,P ,P ,F ,,,,,,,,,,,
339-U1391A-12H-CC-PAL-FORAM,339,U1391,A,12,12-CC,H,CC,PAL,FORAM,0,5,109.12,109.17,,,,R ,,P ,P ,,P ,,,,,,,,,,,,,,P ,,,,,P ,,,P ,P ,,,,,,,F ,,,,
339-U1391A-14H-CC-PAL-FORAM,339,U1391,A,14,14-CC,H,CC,PAL,FORAM,0,5,128.14,128.19,,,,,,R ,P ,,R ,,,,,,,,,,,,,,,,,,,,,,P ,P ,,,,,,P ,,R ,,,
339-U1391A-16H-CC-PAL-FORAM,339,U1391,A,16,16-CC,H,CC,PAL,FORAM,0,5,147.98,148.03,,,,,,P ,P ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,P ,,,,,
339-U1391A-18H-CC-PAL-FORAM,339,U1391,A,18,18-CC,H,CC,PAL,FORAM,0,5,167.17,167.22,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,R ,F ,,P ,,,,,,,,,
339-U1391A-19H-4-PAL-FORAM,339,U1391,A,19,19-4,H,4,PAL,FORAM,0,5,171.05,171.1,,,,,,P ,,,R ,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,R ,,,
339-U1391A-20X-CC-PAL-FORAM,339,U1391,A,20,20-CC,X,CC,PAL,FORAM,0,5,179.82,179.87,P ,,,,,R ,P ,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,R ,,,
