Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],PF Preservation,% Planktic Foraminifera within whole sample,PF Zone,Comments,Beella digitata,Beella praedigitiata,Bolliella adamsi,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimillis,Catapsydrax parvulus,Catapsydrax stainforthi,Catapsydrax unicavus,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina altispira globosa,Dentoglobigerina baroemoensis,Dentoglobigerina larmeui,Dentoglobigerina tripartita s. str.,Dentoglobigerina spp.,Globigerina anguliofficinalis,Globigerina angustiumbilicata,Globigerina bulloides,Globigerina ciperoensis,Globigerina eamesi,Globigerina euapertura,Globigerina falconensis,Globigerina gnaucki,Globigerina officinalis,Globigerina praebulloides,Globigerina quinqueloba,Globigerina winkleri,Globigerinatella insueta,Globigerinella calida,Globigerinella obesa,Globigerinella praesiphonifera,Globigerinella siphonifera,Globigerinella spp.,Globigerinita boweni,Globigerinita glutinata,Globigerinita naparimaensis,Globigerinita uvula,Globigerinoides altiaperturus,Globigerinoides bisphericus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides mitra,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides quadrilobatus,Globigerinoides ruber,Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina cf. binaiensis,Globoquadrina conglomerata,Globoquadrina dehiscens,Globoquadrina sellii,Globoquadrina venezuelana,Globorotalia (Fohsella) fohsi,Globorotalia (Forsella) fohsi lobata,Globorotalia (Fohsella) fohsi robusta,Globorotalia (Fohsella) peripheroacuta,Globorotalia (Fohsella) peripheroronda,Globorotalia (Fohsella) praefohsi,Globorotalia (Globoconella) conoidea,Globorotalia (Globoconella) conomiozea,Globorotalia (Globoconella) inflata,Globorotalia (Globoconella) miozea,Globorotalia (Globoconella) puncticulata,Globorotalia (Globoconella) sphericomiozea,Globorotalia (Hirsutella) cibaoenisis,Globorotalia (Hirsutella) hirsuta,Globorotalia (Hirsutella) margaritae,Globorotalia (Hirsutella) praemargaritae,Globorotalia (Hirsutella) scitula,Globorotalia (Menardella) archeomenardii,Globorotalia (Menardella) cultrata,Globorotalia (Menardella) exilis,Globorotalia (Menardella) fimbriata,Globorotalia (Menardella) limbata,Globorotalia (Menardella) menardii,Globorotalia (Menardella) multicamerata,Globorotalia (Menardella) pertenuis,Globorotalia (Menardella) praemenardii,Globorotalia (Truncorotalia) tosaensis,Globorotalia (Truncorotalia) truncatulinoides,Globorotalia birnageae,Globorotalia crassaformis crassaformis,Globorotalia crassaformis hessi,Globorotalia crassaformis oceanica,Globorotalia crassaformis ronda,Globorotalia crassaformis viola,Globorotalia flexuosa,Globorotalia ichinosekiensis,Globorotalia iwaiensis,Globorotalia lenguaensis,Globorotalia merotumida,Globorotalia plesiotumida,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides suteri,Globorotaloides variabilis,Globoturborotalita decoraperta,Globoturborotalita druryi,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita woodi,Globoturborotalita woodi connecta,Hastigerina pelagica,Mutabella mirabilis,Neogloboquadrina acostaensis (D),Neogloboquadrina acostaensis (S),Neogloboquadrina asanoi,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma,Neogloboquadrina praeatlantica,Neogloboquadrina pseudopima,Orbulina suturalis,Orbulina universa,Paragloborotalia bella,Paragloborotalia continuosa,Paragloborotalia kugleri,Paragloborotalia mayeri (S),Paragloborotalia mayeri (D),Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia partimlabiata,Paragloborotalia pseudocontinuosa (S),Paragloborotalia pseudocontinuosa (D),Paragloborotalia pseudocontinuosa,Paraglobrotalia pseudokugleri,Paragloborotalia semivera (S),Paragloborotalia semivera (D),Paragloborotalia semivera,Paragloborotalia siakensis,Paragloborotalia siakensis (S),Paragloborotalia siakensis (D),Praeobulina glomerosa,Praeorbulina circularis,Praeorbulina curva,Praeorbulina sicana,Praeorbulina transitoria,Pulleniatina finalis,Pulleniatina obliquiloculata (D),Pulleniatina obliquiloculata (S),Pulleniatina praecursor,Pulleniatina praespectabilis,Pulleniatina primalis (D),Pulleniatina primalis (S),Pulleniatina spectabilis,Sphaeroidinella dehiscens s.l.,Sphaeroidinellopsis hancocki,Sphaeroidinellopsis multiloba,Sphaeroidinellopsis seminulina,Sphaeroidnellopsis disjuncta,Tenuitella,Tenuitella gemma,Tenuitella munda,Tenuitellinata praestainforthi,Turborotalita humilis,Zone,Zone group
321-U1338B-27H-2-W 57/59-FORAM3,321,U1338,B,27,27-2,H,2,W,57/59-FORAM3,0,0 ,249.67,249.67,G [320_PF],27,M11,,,,,,,,,,,,,R [320_PFs],R [320_PFs],R [320_PFs],,,,,,,,,,P [320_PFs],,,,,,,,P [320_PFs],,,,,,,,,,,,,,P [320_PFs],,,,P [320_PFs],,,,,,,,,,,D [320_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,F [320_PFs],,,,,,,,,,P [320_PFs],P [320_PFs],,,,,,,,,,,P [320_PFs],P [320_PFs],P [320_PFs],,P [320_PFs],,,,,,,,,,,,R [320_PFs],R [320_PFs],,,,P [320_PFs],,,,,,,,,,,,,P [320_PFs],,,,,,,,,,,,,,,,,,,R [320_PFs],,,,,,,
321-U1338B-28H-2-W 120/122-FORAM35,321,U1338,B,28,28-2,H,2,W,120/122-FORAM35,0,0 ,259.8,259.8,G [320_PF],60,M10,,,,,,,,,,,,,D [320_PFs],R [320_PFs],R [320_PFs],,,,,,,,,,,,,,,,,,,,,,,,,P [320_PFs],,,,,,,,,,,,,,,P [320_PFs],,,,,,,A [320_PFs],,,,,,,R [320_PFs],,,R [320_PFs],,,,,,,,,,,,,,,,P [320_PFs],,,,,,,,,,,P [320_PFs],,,,,,,,,,,,,,,R [320_PFs],,,,,,,,,,,,R [320_PFs],,,P [320_PFs],,P [320_PFs],,,,P [320_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,,F [320_PFs],R [320_PFs],,,,,,,
321-U1338B-28H-6-W 107/109-FORAM36,321,U1338,B,28,28-6,H,6,W,107/109-FORAM36,0,0 ,265.67,265.67,G [320_PF],87,N12,,,,,,,,,,,,,D [320_PFs],R [320_PFs],R [320_PFs],,,,,,,,,,,,,,,,,,P [320_PFs],,,,,,,,,,,,,,R [320_PFs],,P [320_PFs],,P [320_PFs],,,,P [320_PFs],,,,,R [320_PFs],,D [320_PFs],R [320_PFs],P [320_PFs],,,,,P [320_PFs],,,,,,,,,,,P [320_PFs],,,,,,,,P [320_PFs],,,,,,,,,,P [320_PFs],P [320_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,,R [320_PFs],R [320_PFs],,P [320_PFs],,P [320_PFs],P [320_PFs],,,,,,,,,,,,P [320_PFs],,,,,,,,,,,,,,,,,,,P [320_PFs],,,,,,,
321-U1338B-29H-2-W 54/56-FORAM72,321,U1338,B,29,29-2,H,2,W,54/56-FORAM72,0,0 ,268.64,268.64,G [320_PF],78,N12,,,,,,,,,,,,,D [320_PFs],,R [320_PFs],R [320_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [320_PFs],,P [320_PFs],,,,P [320_PFs],,,,,P [320_PFs],,D [320_PFs],P [320_PFs],,,,,,,,,P [320_PFs],,,,,,,,,,,,,,,,P [320_PFs],,,,,,,,,,,P [320_PFs],,,,,,,,,,,,,,,P [320_PFs],,,,,,,,,,,,,,,P [320_PFs],,P [320_PFs],,,,,,,,,,,,,P [320_PFs],,,,,,,,,,,,,,,,,,R [320_PFs],R [320_PFs],,,,,,,
321-U1338B-29H-5-W 131/133-FORAM73,321,U1338,B,29,29-5,H,5,W,131/133-FORAM73,0,0 ,273.91,273.91,,14,N12,infilled,,,,,,,,,,,,D [320_PFs],,,F [320_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [320_PFs],,,,,,,,P [320_PFs],,,,,,,D [320_PFs],R [320_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [320_PFs],,P [320_PFs],,,,,,,,,,,,,P [320_PFs],,,,,,,,,,,,,,,,,,,P [320_PFs],,,,,,,
321-U1338B-30H-2-W 126/128-FORAM85,321,U1338,B,30,30-2,H,2,W,126/128-FORAM85,0,0 ,278.86,278.86,M [320_PF],63,N12,infilled,,,,,,,,,,,,D [320_PFs],R [320_PFs],,R [320_PFs],,,,,,,,,,,,,,,,,,,,,,P [320_PFs],,P [320_PFs],,,,,,,P [320_PFs],,,,R [320_PFs],,,,,,,,,R [320_PFs],,D [320_PFs],R [320_PFs],P [320_PFs],,,,,P [320_PFs],,,,,,,,,,P [320_PFs],,,,,,,,,R [320_PFs],,,,,,,,,,,,,,,,,,,,,,,P [320_PFs],,,R [320_PFs],,,,,,,,,,,,R [320_PFs],R [320_PFs],,,,P [320_PFs],,,,,,,,,,,,,P [320_PFs],,,,,,,,,,,,,,,,,,P [320_PFs],R [320_PFs],,,,,,,
