Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Catapsydrax dissimilis,Catapsydrax unicavus,Globigerina bulloides,Globigerina ciperoensis,Globigerina parabulloides,Globigerina umbilicata,Globigerinita glutinata,Globigerinita uvula,Globoquadrina duterei,Globorotalia incisa,Globorotalia (Globoconella) praescitula,Globorotalia (Hirsutella) scitula,Globorotalia suterae,Neogloboquadrina atlantica atlantica,Neogloboquadrina atlantica praeatlantica,Neogloboquadrina dutertri subcretacea,Neogloboquadrina pachyderma (sin),Neogloboquadrina pachyderma(dex),Orbulina universa,Turborotalia quinqueloba,pc_fossil_group,physical_constituent_name,pc_fossil_name,pc_abundance_name_mode,pc_preservation_name_average,File Data
323-U1343A-1H-CC-PAL-FORAM19   ,323,U1343,A,1,1-CC,H,CC,PAL,FORAM19   ,0,0 ,5.38,5.38,"dominant IRD, rare bubblewalled glass shards",G [323_PF],F [323_PFs],,,,,,,,,,,,,,,,,F,,,,,,,,,
323-U1343A-2H-CC-PAL-FORAM24   ,323,U1343,A,2,2-CC,H,CC,PAL,FORAM24   ,0,0 ,14.92,14.92,"dominant IRD, few diatoms",G [323_PF],A [323_PFs],,,,,,,,,,,,,,,,,A,P,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,
323-U1343A-3H-CC-PAL-FORAM29   ,323,U1343,A,3,3-CC,H,CC,PAL,FORAM29   ,0,0 ,24.6,24.6,"dominant IRD, rare diatoms",G [323_PF],F [323_PFs],,,,,,,,,,,,,,,,,F,R,,,,,,,,
323-U1343A-4H-CC-PAL-FORAM34   ,323,U1343,A,4,4-CC,H,CC,PAL,FORAM34   ,0,0 ,34.66,34.66,"dominant IRD, rare diatoms",G [323_PF],R [323_PFs],,,,,,,,,,,,,,,,,R,,,,,,,,,
323-U1343A-5H-CC-PAL-FORAM1    ,323,U1343,A,5,5-CC,H,CC,PAL,FORAM1    ,0,0 ,43.91,43.91,dominant IRD,G [323_PF],F [323_PFs],,,,,,,,,,,,,,,,,F,R,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,
323-U1343A-6H-CC-PAL-FORAM6    ,323,U1343,A,6,6-CC,H,CC,PAL,FORAM6    ,0,0 ,53.92,53.92,dominant IRD,G [323_PF],F [323_PFs],,,,,,,,,,,,,,,,,F,R,,,,,,,,
323-U1343A-7H-CC-PAL-FORAM11   ,323,U1343,A,7,7-CC,H,CC,PAL,FORAM11   ,0,0 ,62.19,62.19,dominant IRD,G [323_PF],R [323_PFs],,,,,,,,,,,,,,,,,,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,
323-U1343A-8H-4-W 55/57-PAL8      -FORAM54   ,323,U1343,A,8,8-4,H,4,W,55/57-PAL8      -FORAM54   ,0,0 ,67.33,67.33,yellow foraminiferal tests,P [323_PF],D [323_PFs],,,,,,,,,,,,,,,,,D,P,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",F [323_PFs],,
323-U1343A-8H-CC-PAL-FORAM16   ,323,U1343,A,8,8-CC,H,CC,PAL,FORAM16   ,0,0 ,71.79,71.79,"pyrite tubes, mica",G [323_PF],A [323_PFs],,,,,,,,,,,,,,,,,F,P,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",F [323_PFs],,
323-U1343A-9H-CC-PAL-FORAM21   ,323,U1343,A,9,9-CC,H,CC,PAL,FORAM21   ,0,0 ,81.9,81.9,"yellow foraminiferal tests, pyrite",M [323_PF],A [323_PFs],,,,,,,,,,,,,,,,,R,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",A [323_PFs],,
