Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],PF Preservation,Group abundance,Biticinella breggiensis,Contusotruncana fornicata,Dicarinella asymetrica,Globigerinelloides algerianus,Globigerinelloides aptiensis,Globigerinelloides bentonensis,Globigerinelloides blowi,Globigerinelloides maridalensis,Globigerinelloides paragottisi,Globigerinelloides ultramicrus,Globotruncana arca,Globotruncana linneiana,Globotruncanita elevata,Globotruncanita stuartiformis,Hedbergella angolae,Hedbergella delrioensis,Hedbergella gorbachikae,Hedbergella holmdelensis,Hedbergella implicata,Hedbergella infracretacea,Hedbergella planispira,Hedbergella rischi,Hedbergella simplex,Hedbergella wondersi,Helvetoglobotruncana helvetica,Heterohelix globulosa,Heterohelix punctulata,Marginotruncana pseudolinneiana,Marginotruncana renzi,Marginotruncana sinuosa,Praehedbergella aptiana,Praehedbergella gorbachikae,Praehedbergella roblesae,Pseudoschackoina saundersi,Pseudotextularia nuttalli,Rotalipora globotruncanoides,Sigalia deflaensis,Ticinella madecassiana,Ticinella primula,Ticinella raynaudi,Ticinella roberti,Whiteinella aprica,Whiteinella archaeocretacea,Whiteinella baltica,Whiteinella brittonensis,Whiteinella paradubia,Whiteinella praehelvetica,Zone name,Zone name (short)
324-U1348A-2R-1-W 9/10-FORAM,324,U1348,A,2,2-1,R,1,W,9/10-FORAM,0,1,84.29,84.3,G,,,F,,,,,,,,,R,R,,F,,,,R,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,
324-U1348A-2R-CC-PAL,324,U1348,A,2,2-CC,R,CC,PAL,,0,3,85.39,85.42,G,,,A,A,,,,,,,T,,,T,,,,,,,,,,,,,A,,A,F,A,,,,,T,,C,,,,,,,,,,,,
324-U1348A-3R-1-PAL,324,U1348,A,3,3-1,R,1,PAL,,0,1,93.83,93.84,M,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,F,C,,,,,,,,,,,,T,T,,,,,,
324-U1348A-4R-1-W 0/1-PAL99     ,324,U1348,A,4,4-1,R,1,W,0/1-PAL99     ,0,1,103.4,103.41,G,,,,,,,,,,,,,,,,,A,,,,,,,,,R,A,T,,,,,,,,,,,,,,,A,F,R,,,,,
324-U1348A-5R-1-W 0/1-PAL0      ,324,U1348,A,5,5-1,R,1,W,0/1-PAL0      ,0,1,113.0,113.01,G,,,,,,,,,,,,,,,,,T,,,,,,,,R,,,,,,,,,,,,,,,T,,,,,,,,,,
324-U1348A-6R-1-PAL,324,U1348,A,6,6-1,R,1,PAL,,0,1,122.6,122.61,G,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,C,A,T,C,,,,,,,,
324-U1348A-7R-1-W 6/7-PAL2      ,324,U1348,A,7,7-1,R,1,W,6/7-PAL2      ,0,1,132.26,132.27,M,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,F,,,,,,,,,,
324-U1348A-8R-1-W 7/9-PAL3      ,324,U1348,A,8,8-1,R,1,W,7/9-PAL3      ,0,2,141.97,141.99,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324-U1348A-9R-1-W 19/20-PAL4      ,324,U1348,A,9,9-1,R,1,W,19/20-PAL4      ,0,1,151.69,151.7,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324-U1348A-10R-1-W 1/2-FORAM,324,U1348,A,10,10-1,R,1,W,1/2-FORAM,0,1,161.11,161.12,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,R,,,,,,,,,,,,,,,,,
324-U1348A-10R-1-W 20/21-FORAM,324,U1348,A,10,10-1,R,1,W,20/21-FORAM,0,1,161.3,161.31,G,,,,,,C,,,T,C,,,,,,,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,,,,
