Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top depth [m],Bottom depth [m],Technitella sp.,Textularia pseudogramen,Textularia spp.,Textulariella spp.?,Tolypammina vagans,Trifarina angulosa,Trifarina bradyi,Trifarina fornasinii,Trifarina spp.,Triloculina sp. 1,Triloculina spp.,Triloculina tricarinata,Triloculinella obliquinodus,Tritaxa spp.,Tritaxis fusca,Trochammina bellingshauseni,Trochammina earlandi,Trochammina globigeriniformis,Trochammina spp.,Trochammina squammata,Trochamminoides spp.,Uvigerina auberiana,Uvigerina cf. auberiana,Uvigerina cf. hispida,Uvigerina cf. mexicana,Uvigerina cf. proboscidea,Uvigerina bradyana,Uvigerina elongatastriata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina peregrina,Uvigerina spp.,Uvigerinidae indet.,Vaginulina spp.,Vaginulinopsis spp.,Vaginulinidae indet.,Vaginulina subelegans,Valvulineria spp.,Verneuinulla spp.?,Virgulinella spp.,Vulvulina pennatula,Comment,File Data
339-U1391C-2R-CC-PAL-FORAM,339,U1391,C,2,2-CC,R,CC,PAL,FORAM,0,5,345,345.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,R ,,,
339-U1391C-3R-CC-PAL-FORAM,339,U1391,C,3,3-CC,R,CC,PAL,FORAM,0,5,354.48,354.53,,,R ,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,R ,A ,,,,,,,,,,,
339-U1391C-4R-CC-PAL-FORAM,339,U1391,C,4,4-CC,R,CC,PAL,FORAM,0,7,357.91,357.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,P ,,,
339-U1391C-5R-CC-PAL-FORAM,339,U1391,C,5,5-CC,R,CC,PAL,FORAM,0,5,374.48,374.53,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,R ,,,,,,,,R ,,,
339-U1391C-6R-CC-PAL-FORAM,339,U1391,C,6,6-CC,R,CC,PAL,FORAM,0,5,377.32,377.37,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,
339-U1391C-7R-CC-PAL-FORAM,339,U1391,C,7,7-CC,R,CC,PAL,FORAM,0,5,391.44,391.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,,,,,,,,,,,
339-U1391C-8R-CC-PAL-FORAM,339,U1391,C,8,8-CC,R,CC,PAL,FORAM,0,5,399.87,399.92,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,R ,F ,,,,,,,,,,,
339-U1391C-10R-CC-PAL-FORAM,339,U1391,C,10,10-CC,R,CC,PAL,FORAM,0,5,419.55,419.6,,,,,,R ,,,P ,,,,,,,,,,,,,,,P ,,,,,,,,R ,,,,,,,,,,,
339-U1391C-12R-CC-PAL-FORAM,339,U1391,C,12,12-CC,R,CC,PAL,FORAM,0,5,441.6,441.65,,,P ,,,P ,P ,,R ,,,,,,,,,,,,,P ,,,,,,,,,,P ,,,,,,,,,,,
339-U1391C-14R-CC-PAL-FORAM,339,U1391,C,14,14-CC,R,CC,PAL,FORAM,0,5,460.79,460.84,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,P ,F ,,,,,,,,P ,,,
339-U1391C-16R-CC-PAL-FORAM,339,U1391,C,16,16-CC,R,CC,PAL,FORAM,0,5,478.47,478.52,,,,,,,,,,,,,,,,,,,,,,R ,,P ,,,,,,,,R ,,,,,,,,,P ,,
339-U1391C-18R-CC-PAL-FORAM,339,U1391,C,18,18-CC,R,CC,PAL,FORAM,0,9,498.66,498.75,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,P ,,
339-U1391C-20R-CC-PAL-FORAM,339,U1391,C,20,20-CC,R,CC,PAL,FORAM,0,5,511.47,511.52,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,
339-U1391C-22R-CC-PAL-FORAM,339,U1391,C,22,22-CC,R,CC,PAL,FORAM,0,5,537.17,537.22,,,,,,P ,P ,,,,,,,,,,,,,,,P ,,,,,,,,,P ,P ,,,,,,,,,,,
339-U1391C-24R-CC-PAL-FORAM,339,U1391,C,24,24-CC,R,CC,PAL,FORAM,0,5,556.57,556.62,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,R ,,,,,,,,,,,
339-U1391C-25R-CC-PAL-FORAM,339,U1391,C,25,25-CC,R,CC,PAL,FORAM,0,5,566.05,566.1,,,,,,,P ,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,P ,,
339-U1391C-27R-CC-PAL-FORAM,339,U1391,C,27,27-CC,R,CC,PAL,FORAM,0,5,584.14,584.19,,,P ,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,
339-U1391C-31R-CC-PAL-FORAM,339,U1391,C,31,31-CC,R,CC,PAL,FORAM,0,6,623.39,623.45,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,F ,,,P ,,,,,,,,,,,
339-U1391C-33R-6-PAL-FORAM,339,U1391,C,33,33-6,R,6,PAL,FORAM,0,5,641.55,641.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,
339-U1391C-36R-CC-PAL-FORAM,339,U1391,C,36,36-CC,R,CC,PAL,FORAM,0,5,670.93,670.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,,,P ,,,,,,,,,
