Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],BF preservation,BF Group abundance,Agglutinated spp. (indeterminate),Adelosina dubia?,Alabamina spp.,Ammobaculites agglutinans,Ammobaculites spp.,Ammodiscus anguillae,Ammodiscus spp.,Ammodiscus tenuis,Ammolagena clavata,Ammonia beccarii,Ammoscalaria foliacea,Ammoscalaria tenuimargo,Amphicoryna scalaris,Amphicoryna spp.,Amphistegina spp,Angulogerina spp.,Anomalina spp.,Anomalinoides spp.,Articulina cf. tubulosa,Astacolus crepidulus,Astacolus spp.,Asterigerina planorbis,Asterigerinata sp.,Astrononion spp.,Awhea spp.,Bathysiphon filiformis,Bathysiphon spp.,Bigenerina nodosaria,Biloculinella sp.,Bolivina spp.,Bolivina cf. robusta,Bolivinita quadrilatera,Bolivina subaenariensis,Bolivina/Brizalina spp.,Brizalina spp.,Brizalina alata,Brizalina cf. difformis,Brizalina cf. dilatata,Brizalina dilatata,Brizalina earlandi,Brizalina spathulata,Brizalina striatula,Budashevaella multicamerata,Bulimina acanthia,Bulimina aculeata,Bulimina cf. alazanensis,Bulimina elongata,Bulimina gibba,Bulimina marginata,Bulimina spp.,Bulimina striata gr.,Bulimina striata mexicana,Bulimina striata striata,Buliminella elegantissima,BF Comment,File Data,Zone name,Zone name (short)
339-U1391A-1H-CC-PAL-FORAM,339,U1391,A,1,1-CC,H,CC,PAL,FORAM,0,5,4.11,4.16,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,,,R ,,P ,,,,,,,P ,,,,,,,,,,
339-U1391A-2H-CC-PAL-FORAM,339,U1391,A,2,2-CC,H,CC,PAL,FORAM,0,5,13.8,13.85,G,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,R ,,F ,,P ,,,R ,R ,,,,,R ,,,,,,,,,,,,,
339-U1391A-4H-CC-PAL-FORAM,339,U1391,A,4,4-CC,H,CC,PAL,FORAM,0,5,32.92,32.97,M ,A ,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,F ,,,,,A ,P ,,,,,,,,P ,P ,,,,,,,,,
339-U1391A-6H-CC-PAL-FORAM,339,U1391,A,6,6-CC,H,CC,PAL,FORAM,0,5,52.13,52.18,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,F ,,,,,,,,,,,,,,,,,,,
339-U1391A-8H-CC-PAL-FORAM,339,U1391,A,8,8-CC,H,CC,PAL,FORAM,0,5,71.13,71.18,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,P ,,,,,,R ,,,,P ,P ,P ,,,,,,,
339-U1391A-10H-CC-PAL-FORAM,339,U1391,A,10,10-CC,H,CC,PAL,FORAM,0,8,90.09,90.17,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,P ,,,,,F ,,,,,F ,R ,,,,,,,,,P ,,,,,R ,,,,
339-U1391A-12H-CC-PAL-FORAM,339,U1391,A,12,12-CC,H,CC,PAL,FORAM,0,5,109.12,109.17,G ,A ,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,P ,,,,,,,,P ,,,F ,P ,,,,,P ,,,,,,R ,,,,,,,
339-U1391A-14H-CC-PAL-FORAM,339,U1391,A,14,14-CC,H,CC,PAL,FORAM,0,5,128.14,128.19,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,,,A ,R ,,,,,R ,,,,P ,,R ,,,,,,,
339-U1391A-16H-CC-PAL-FORAM,339,U1391,A,16,16-CC,H,CC,PAL,FORAM,0,5,147.98,148.03,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,P ,,,A ,P ,,,,,A ,,,,R ,,R ,,,,,,,
339-U1391A-18H-CC-PAL-FORAM,339,U1391,A,18,18-CC,H,CC,PAL,FORAM,0,5,167.17,167.22,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,R ,,,,,,R ,,,,,,,
