Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Sphenolithus ciperoensis,Sphenolithus delphix,Sphenolithus disbelemnos,Helicosphaera ampliaperta,Sphenolithus belemnos,Triquetrorhabdulus carinatus,Sphenolithus heteromorphus,Discoaster deflandrei,Cyclicargolithus floridanus,Calcidiscus premacintyrei,Coronocyclus nitescens,Discoaster kugleri,Coccolithus miopelagicus,Catinaster coalitus,Catinaster calyculus,Discoaster hamatus,Discoaster berggrenii,Nicklithus amplificus,Discoaster quinqueramus,Ceratolithus acutus,Ceratolithus larrymayeri,Triquetrorhabdulus rugosus,Ceratolithus rugosus,Reticulofenestra pseudoumbilicus,Sphenolithus spp.,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster triradiatus,Discoaster brouweri,Gephyrocapsa (>4 µm),Calcidiscus macintyrei,Gephyrocapsa (>5.5 µm),Helicosphaera sellii,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Emiliania huxleyi,Algirosphaera robusta,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Calciosolenia murrayi,Catinaster mexicanus,Ceratolithus armatus (acutus),Ceratolithus atlanticus,Ceratolithus cristatus (rugosus),Clausicoccus fenestratus (subdist),Coccolithus pelagicus,Cryptococcolithus mediaperforate,Cyclicargolithus abisectus,Dictyococcites antarcticus,Dictyococcites bisectus,Discoaster altus,Discoaster asymmetricus,Discoaster bellus,Discoaster bergenii,Discoaster bollii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster loeblichii,Discoaster musicus,Discoaster neorectus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster variabilis,Discosphaera tubifera,Florisphaera profunda,Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa muellerae,Gephyrocapsa oceanica,Gephyrocapsa omega,Gephyroscapsa lumina,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera pavimentum,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Helicosphaera stalis,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Minylitha convallis,Oolithotus fragilis,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera syracusana,Pseudoemiliania ovata,Reticulofenestra daviesii,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra pseudoumbilicus   (>7µm),Reticulofenestra pseudoumbilicus  (5-7µm),Reticulofenestra rotaria,Rhabdosphaera clavigera,Rhabdosphaera poculii,Scyphosphaera apsteinii,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera globulata,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera pulcherrima,Scyphosphaera tubifera,Scyphosphaera ventriosa,small Gephyrocapsa (<4µm),Solidopons petrae,Sphenolithus abies,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus moriformis,Syracolithus schilleri,Syracosphaera lamina,Syracosphaera pulchra,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus extensus,Triquetrorhabdulus finifer,Triquetrorhabdulus milowii,Triquetrorhabdulus rioi,Triquetrorhabdulus sp. (long needle like),Triquetrorhabdulus striatus,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera foliosa,Umbilicosphaera hulburtiana,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus,Comments,File Data
342-U1409A-1H-CC-PAL,342,U1409,A,1,1-CC,H,CC,PAL,,0,10,0.97,1.07,NN20-NN21,,,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,C,,,,,,,,,,F,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1409A-2H-4-W 75/75-NANNO,342,U1409,A,2,2-4,H,4,W,75/75-NANNO,0,0,6.35,6.35,NN20-NN21,,,M-G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,R,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,
342-U1409A-2H-CC-PAL,342,U1409,A,2,2-CC,H,CC,PAL,,0,6,10.61,10.67,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",,M-G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,C,,,C,,,,,,,C,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1409A-3H-4-W 75/75-NANNO,342,U1409,A,3,3-4,H,4,W,75/75-NANNO,0,0,15.85,15.85,NN16?,,,P,VR,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,?R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1409A-5H-2-W 75/75-NANNO,342,U1409,A,5,5-2,H,2,W,75/75-NANNO,0,0,31.85,31.85,NP22,"NP22 - Helicosphaera reticulata (Gradstein et al., 2012)",,M,A,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,C,,,,,1,,,C,,,,,,,,,,,,,R,,,,,,,,,,,F,,,,,,,,,,,,R,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,R,,F,,,,,,,,R,,,,,,,,,,,,,,,,,,,
342-U1409A-5H-4-W 75/75-NANNO,342,U1409,A,5,5-4,H,4,W,75/75-NANNO,0,0,34.85,34.85,NP17,"NP17 - Discoaster saipanensis (Gradstein et al., 2012)",,G,A,R,,C,,,,,,,,F,,,,,,,,,,,,,,,,,F,,,,,,,,F,F,C,,,,F,,F,R,F,,,,,,,,,,,,,,,,C,,,,,F,,F,,,C,,,,,,F,R,,,,,,F,,,,F,,,R,,,,,,C,,,R,,,,,,,F,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
342-U1409A-5H-6-W 75/75-NANNO,342,U1409,A,5,5-6,H,6,W,75/75-NANNO,0,0,37.85,37.85,NP17,"NP17 - Discoaster saipanensis (Gradstein et al., 2012)",,G,A,R,,C,,,,,,,,F,,,,,,F,,,,,,,,,,,,,,,,,,,F,C,C,,,,F,,F,,F,,,,,,,,,,,R,,,,F,C,,,,,F,,C,,,C,,,,,,F,R,,,,,F,F,,,,F,,,R,,,,,,C,,,R,,,,,,,F,,R,,,,,,F,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,
342-U1409A-6H-2-W 100/100-NANNO,342,U1409,A,6,6-2,H,2,W,100/100-NANNO,0,0,41.6,41.6,NP 16,"NP16 - Discoaster tani nodifer (Gradstein et al., 2012)",,G,A,R,,C,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,F,C,F,,,F,,F,,F,,,,,,,,,,,?R,,,,,C,,,,,F,,C,,,C,,,,,R,F,,,,,,,F,,,,,,,,,,,,,C,,,F,,,,,,,F,,,,,,,,F,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,
342-U1409A-6H-4-W 84/84-NANNO,342,U1409,A,6,6-4,H,4,W,84/84-NANNO,0,0,44.44,44.44,NP 16,"NP16 - Discoaster tani nodifer (Gradstein et al., 2012)",,G,A,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,F,,F,F,,,F,,F,R,F,,,,,,,,,,,R,,,,,C,,,,,F,,C,,,C,,,,,,F,,,,,,,F,,,,R,,,R,,,,,,C,,,,,,,,,,F,,R,,,,,,F,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1409A-7H-4-W 57/57-NANNO,342,U1409,A,7,7-4,H,4,W,57/57-NANNO,0,0,53.68,53.68,NP15c,"NP15c (Gradstein et al., 2012)",,G,A,R,,C,,,,,,,,F,,,,,,C,,,,,,,,,,,R,,,,,R,,-,F,-,,F,,,F,,F,,F,,,,,,,,,,,F,,,,C,,,,,,R,,F,,,F,,,,,,F,,,,,,,F,,,,,,,,,,,,,C,,,,,,,,,,F,,F,,,,,,F,,,,,,R,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,F,,,,,,1,,,,
