Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],BF preservation,BF Group abundance,Agglutinated spp. (indeterminate),Adelosina dubia?,Alabamina spp.,Ammobaculites agglutinans,Ammobaculites spp.,Ammodiscus anguillae,Ammodiscus spp.,Ammodiscus tenuis,Ammolagena clavata,Ammonia beccarii,Ammoscalaria foliacea,Ammoscalaria tenuimargo,Amphicoryna scalaris,Amphicoryna spp.,Amphistegina spp,Angulogerina spp.,Anomalina spp.,Anomalinoides spp.,Articulina cf. tubulosa,Astacolus crepidulus,Astacolus spp.,Asterigerina planorbis,Asterigerinata sp.,Astrononion spp.,Awhea spp.,Bathysiphon filiformis,Bathysiphon spp.,Bigenerina nodosaria,Biloculinella sp.,Bolivina spp.,Bolivina cf. robusta,Bolivinita quadrilatera,Bolivina subaenariensis,Bolivina/Brizalina spp.,Brizalina spp.,Brizalina alata,Brizalina cf. difformis,Brizalina cf. dilatata,Brizalina dilatata,Brizalina earlandi,Brizalina spathulata,Brizalina striatula,Budashevaella multicamerata,Bulimina acanthia,Bulimina aculeata,Bulimina cf. alazanensis,Bulimina elongata,Bulimina gibba,Bulimina marginata,Bulimina spp.,Bulimina striata gr.,Bulimina striata mexicana,Bulimina striata striata,Buliminella elegantissima,BF comment,File data
339-U1389A-1H-CC-PAL-FORAM,339,U1389,A,1,1-CC,H,CC,PAL,FORAM,0,5,4.25,4.3,G ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,F ,,,,F ,,P ,P ,,,,R ,,,,,,R ,,,,,
339-U1389A-2H-CC-PAL-FORAM,339,U1389,A,2,2-CC,H,CC,PAL,FORAM,0,5,14.13,14.18,G ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,R ,,A ,,,,,,,R ,,,,,P ,P ,,,P ,,
339-U1389A-3H-CC-PAL-FORAM,339,U1389,A,3,3-CC,H,CC,PAL,FORAM,0,5,23.66,23.71,G ,A ,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,P ,,P ,,R ,,A ,,,R ,,,,R ,,,P ,,R ,,,,,,
339-U1389A-4H-CC-PAL-FORAM,339,U1389,A,4,4-CC,H,CC,PAL,FORAM,0,5,33.34,33.39,G ,A ,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,R ,,R ,,R ,,,,,,,F ,,,R ,P ,,,,,,,
339-U1389A-5H-CC-PAL-FORAM,339,U1389,A,5,5-CC,H,CC,PAL,FORAM,0,5,42.99,43.04,M ,F ,,,,,,,,,,P ,,,,,,,,,,,,P ,,,,,,,,,,,,P ,,,,A ,,,R ,,,,P ,,,,P ,,R ,,,,,
339-U1389A-6H-CC-PAL-FORAM,339,U1389,A,6,6-CC,H,CC,PAL,FORAM,0,5,52.38,52.43,G ,F ,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,R ,,,,F ,,,,R ,,R ,,,P ,,,,P ,,,,,,,,,,,
339-U1389A-7H-CC-PAL-FORAM,339,U1389,A,7,7-CC,H,CC,PAL,FORAM,0,5,61.49,61.54,M ,R ,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,R ,,,,A ,,,P ,,,,,,,,,,,,,,,
339-U1389A-8H-CC-PAL-FORAM,339,U1389,A,8,8-CC,H,CC,PAL,FORAM,0,5,71.33,71.38,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,D ,,,,,,,F ,,,,,,,,,,,
339-U1389A-9H-CC-PAL-FORAM,339,U1389,A,9,9-CC,H,CC,PAL,FORAM,0,5,80.95,81,M ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,A ,,,P ,,,,R ,,,,P ,,R ,,,,,
339-U1389A-10H-CC-PAL-FORAM,339,U1389,A,10,10-CC,H,CC,PAL,FORAM,0,5,90.5,90.55,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,P ,,A ,,,,,,,R ,,,,,,R ,,,,,
339-U1389A-11H-CC-PAL-FORAM,339,U1389,A,11,11-CC,H,CC,PAL,FORAM,0,5,97.26,97.31,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,A ,,,P ,,,,R ,,,P ,,,R ,,,,,
339-U1389A-12X-CC-PAL-FORAM,339,U1389,A,12,12-CC,X,CC,PAL,FORAM,0,5,102.5,102.55,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,F ,,F ,,R ,,,,,,,R ,,,,,,R ,,,,,
339-U1389A-13X-CC-PAL-FORAM,339,U1389,A,13,13-CC,X,CC,PAL,FORAM,0,5,109.94,109.99,M ,F ,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,R ,,,,R ,,R ,,,,F ,,,,,,,P ,,P ,R ,R ,P ,,,,,,
339-U1389A-14X-CC-PAL-FORAM,339,U1389,A,14,14-CC,X,CC,PAL,FORAM,0,5,120.9,120.95,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,P ,,,,A ,,,,,,,P ,,,,,,R ,,,,,
339-U1389A-15X-CC-PAL-FORAM,339,U1389,A,15,15-CC,X,CC,PAL,FORAM,0,5,129.5,129.55,M ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,R ,,,,,,,P ,,,,P ,,R ,,,,,
339-U1389A-16X-CC-PAL-FORAM,339,U1389,A,16,16-CC,X,CC,PAL,FORAM,0,5,139.73,139.78,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,P ,,F ,,,,,,,,,R ,,R ,,,,,,,,,
339-U1389A-17X-CC-PAL-FORAM,339,U1389,A,17,17-CC,X,CC,PAL,FORAM,0,5,148.32,148.37,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,P ,,A ,,,R ,,,,P ,,,,,P ,P ,,,P ,,
339-U1389A-18X-CC-PAL-FORAM,339,U1389,A,18,18-CC,X,CC,PAL,FORAM,0,5,158.26,158.31,G ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,R ,,,,A ,,,,,,,F ,,,,,,P ,,,,,
339-U1389A-19X-CC-PAL-FORAM,339,U1389,A,19,19-CC,X,CC,PAL,FORAM,0,5,168.37,168.42,M ,F ,,,,,,,,,,P ,,,,,,,,,,,,R ,,,,,,,,,,,,R ,,,,F ,,,,,,,R ,,,,,,,,,,,
339-U1389A-20X-CC-PAL-FORAM,339,U1389,A,20,20-CC,X,CC,PAL,FORAM,0,5,177.64,177.69,M ,R ,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,F ,,,,A ,,,R ,,,,,,,P ,,P ,,,,P ,,
339-U1389A-21X-CC-PAL-FORAM,339,U1389,A,21,21-CC,X,CC,PAL,FORAM,0,5,187.69,187.74,G ,A ,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,P ,,,,,,,,R ,,A ,,,,,,,R ,,,,P ,,R ,,,,,
339-U1389A-22X-CC-PAL-FORAM,339,U1389,A,22,22-CC,X,CC,PAL,FORAM,0,5,197.47,197.52,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,P ,,P ,,,,,,,P ,,,,,,R ,,,,,
339-U1389A-23X-CC-PAL-FORAM,339,U1389,A,23,23-CC,X,CC,PAL,FORAM,0,5,206.88,206.93,M ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,P ,,,,,,,P ,,,P ,,,R ,,,,,
339-U1389A-24X-CC-PAL-FORAM,339,U1389,A,24,24-CC,X,CC,PAL,FORAM,0,5,216.58,216.63,M ,A ,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,R ,,R ,,,R ,,,,R ,,,,P ,,P ,,,,,
339-U1389A-25X-CC-PAL-FORAM,339,U1389,A,25,25-CC,X,CC,PAL,FORAM,0,5,226.44,226.49,G ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,A ,,P ,R ,,,,,,,,,,P ,,,,,
339-U1389A-26X-CC-PAL-FORAM,339,U1389,A,26,26-CC,X,CC,PAL,FORAM,0,5,234.66,234.71,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,R ,,P ,,,,,,,,,,,,P ,R ,,,,,
339-U1389A-27X-CC-PAL-FORAM,339,U1389,A,27,27-CC,X,CC,PAL,FORAM,0,5,245.11,245.16,G ,F ,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,R ,,,,,,,,A ,,F ,,,R ,,,,,,,R ,P ,,F ,,,,,
339-U1389A-28X-CC-PAL-FORAM,339,U1389,A,28,28-CC,X,CC,PAL,FORAM,0,5,255.22,255.27,G ,A ,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,R ,,,,,,,,,,P ,,P ,P ,,,,,,,,P ,,,,,,,
339-U1389A-29X-CC-PAL-FORAM,339,U1389,A,29,29-CC,X,CC,PAL,FORAM,0,5,264.56,264.61,M ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,R ,,,,,,,,,,,,,,,,,,
339-U1389A-30X-CC-PAL-FORAM,339,U1389,A,30,30-CC,X,CC,PAL,FORAM,0,5,274.3,274.35,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,F ,,R ,,,,,,,A ,,,,,P ,F ,,,R ,,
339-U1389A-31X-CC-PAL-FORAM,339,U1389,A,31,31-CC,X,CC,PAL,FORAM,0,5,283.56,283.61,M ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,R ,,P ,,,,,,,P ,,,,,,,,,,,
339-U1389A-32X-CC-PAL-FORAM,339,U1389,A,32,32-CC,X,CC,PAL,FORAM,0,5,293.18,293.23,M ,R ,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,R ,,,,,,,R ,,,,,,R ,,,,,
