Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Calcidiscus leptoporus,Calcidiscus leptoporus (small 3-5 um),Calcidiscus macintyrei (>11 um),Calcidiscus premacintyrei (> 9 microns),Catinaster calyculus,Catinaster coalitus,Catinaster spp.,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus braarudii,Coronocyclus nitescens,Cyclicargolithus floridanus,Dictyococcites spp. (small),Dictyococcites spp. (medium),Discoaster berggrenii,Discoaster brouweri,Discoaster deflandrei,Discoaster hamatus,Discoaster kugleri,Discoaster pentaradiatus,Discoaster quinqueramus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster sp.,Emiliania huxleyi,Gephyrocapsa sp. (large),Gephyrocapsa sp. medium,Gephyrocapsa spp. (small),Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera sellii,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra minuta,Reticulofenestra minutula (3-5 microns),Reticulofenestra pseudoumbilica(5-7microns),Reticulofenestra pseudoumbilica (>7microns),Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus sp.,Triquetrorhabdulus rugosus,Triquetrorhabdulus sp.,comments
323-U1341B-1H-CC-PAL-NANNO69   ,323,U1341,B,1,1-CC,H,CC,PAL,NANNO69   ,0,0.0,8.62,8.62,G [323_Na],F [323_Na],,,,,,,,,,,,F [323_Na],,,,,,,,,,,,,,,,,F [323_Na],,,,,,,,,,,,,,,,,,,,
323-U1341B-2H-CC-PAL-NANNO3    ,323,U1341,B,2,2-CC,H,CC,PAL,NANNO3    ,0,0.0,18.48,18.48,,B [323_Na],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341B-3H-CC-PAL-NANNO8    ,323,U1341,B,3,3-CC,H,CC,PAL,NANNO8    ,0,0.0,28.08,28.08,M-P [323_Na],F [323_Na],,,,,,,,,,,,F [323_Na],,,,,,,,,,,,,,,,,,,R [323_Na],R [323_Na],,,,,,,,,,,,,,,,,
323-U1341B-4H-CC-PAL-NANNO19   ,323,U1341,B,4,4-CC,H,CC,PAL,NANNO19   ,0,0.0,37.6,37.6,,B [323_Na],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341B-5H-CC-PAL-NANNO13   ,323,U1341,B,5,5-CC,H,CC,PAL,NANNO13   ,0,0.0,47.04,47.04,M [323_Na],F [323_Na],,,,,,,,,,,,R [323_Na],,,,,,,,,,,,,,,,,,,R [323_Na],R [323_Na],,,,,,,,,,,,,,,,,
323-U1341B-6H-CC-PAL-NANNO14   ,323,U1341,B,6,6-CC,H,CC,PAL,NANNO14   ,0,0.0,56.58,56.58,M [323_Na],A [323_Na],,,,,,,,,,,,F [323_Na],,,,,,,,,,,,,,,,,,,F [323_Na],A [323_Na],,,,,,,,,,,,,,,,,
323-U1341B-7H-CC-PAL-NANNO71   ,323,U1341,B,7,7-CC,H,CC,PAL,NANNO71   ,0,0.0,66.08,66.08,M [323_Na],A [323_Na],,,,,,,,,,,,F [323_Na],,,,,,,,,,,,,,,,,,,F [323_Na],A [323_Na],,,,,,,R [323_Na],,,,,,,,,,
323-U1341B-8H-3-W,323,U1341,B,8,8-3,H,3,W,,0,0.015,68.7,68.7,M-P [323_Na],A [323_Na],,,,,,,,,,,,A [323_Na],,,,,,,,,,,,,,,,,,,A [323_Na],D [323_Na],,,,,,,A [323_Na],,,,,,,,,,
323-U1341B-8H-3-W 50/50-NANNO64   ,323,U1341,B,8,8-3,H,3,W,50/50-NANNO64   ,0,0.0,69.2,69.2,G [323_Na],C [323_Na],,,,,,,,,,,,F [323_Na],,,,,,,,,,,,,,,,,,,C [323_Na],C [323_Na],,,,,,,R [323_Na],,,,,,,,,,
323-U1341B-8H-3-W 60/60-NANNO65   ,323,U1341,B,8,8-3,H,3,W,60/60-NANNO65   ,0,0.0,69.3,69.3,M [323_Na],A [323_Na],,,,,,,,,,,,A [323_Na],,,,,,,,,,,,,,,,,,,A [323_Na],D [323_Na],,,,,,,A [323_Na],,,,,,,,,,
