Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Amphisphaera coronata s.l.,Amphisphaera goruna,Axoprunum pierinae group,Bekoma bidartensis,Bekoma campechensis,Bekoma divaricata,Buryella clinata,Buryella pentadica,Buryella tetradica,Calocycloma ampulla,Calocycloma castum,Clathrocyclas australis,Dictyoprora mongolfieri,Eusyringium fistuligerum,Eusyringium lagena,"Heliodiscus asteriscus Haeckel, 1887",Lamptonium fabaeforme chaunothorax ,Lamptonium fabaeforme constrictum,Lamptonium fabaeforme fabaeforme ,Lamptonium pennatum,Lithochytris vespertilio,Lophocyrtis (Cyclampterium) hadra,Lophocyrtis (Lophocyrtis) jacchia,Lophocyrtis aspera,Lophocyrtis biaurita,Lophocyrtis semipolita group,Lychnocanoma amphitrite,Lychnocanoma auxilla ,Lychnocanoma bellum,Lychnocanoma conica,Lychnocanoma elongata ,Periphaena decora,Periphaena heliasteriscus,Periphaena tripyramis triangula,Peritiviator(?) dumitricai,Phormocyrtis striata exquisita,Phormocyrtis striata praexquisita,Phormocyrtis striata striata,Phormocyrtis turgida,Podocyrtis aphorma,Podocyrtis diamesa,Podocyrtis papalis ,Pterocodon (?) ampla ,Pterocodon (?) anteclinata,Pterocodon (?) poculum ,Rhopalocanium ornatum,Sethochyrtis chrysalli,Sethochytris bablylonis ,Sethochytris triconiscus,Spongatractus balbis ,Spongatractus pachystylus,Stylotrochus nitidus ,Theocorys acroria,Theocorys anaclasta ,Theocotyle conica,Theocotyle cryptocephala,Theocotyle nigriniae,Theocotylissa ficus ,Thyrsocyrtis hirsuta,Thyrsocyrtis rhizodon ,Thyrsocyrtis tensa ,Comments,File Data,Ship File Links,Shore File Links,Exp,Site,Hole,Core,Type,Section,A/W
342-U1405A-1H-CC-PAL,0,5,6.15,6.2,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,1,H,CC,PAL
342-U1405A-2H-CC-PAL,0,5,16.1,16.15,,unzoned,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,2,H,CC,PAL
342-U1405A-3H-CC-PAL,0,5,25.69,25.74,,unzoned,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,3,H,CC,PAL
342-U1405A-4H-CC-PAL,0,5,35.26,35.31,RN04,RN04 - Calocycletta  costata,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,4,H,CC,PAL
342-U1405A-5H-CC-PAL,0,5,44.62,44.67,,unzoned,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,5,H,CC,PAL
342-U1405A-6H-CC-PAL,0,5,54.11,54.16,,unzoned,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,6,H,CC,PAL
342-U1405A-7H-CC-PAL,0,1,62.88,62.89,,unzoned,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,7,H,CC,PAL
342-U1405A-8H-CC-PAL,0,5,72.99,73.04,,unzoned,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,8,H,CC,PAL
342-U1405A-9H-CC-PAL,0,1,82.3,82.31,,unzoned,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,9,H,CC,PAL
342-U1405A-10H-CC-PAL,0,5,92.16,92.21,RN02,RN02 - Stichocorys delmontensis,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,10,H,CC,PAL
342-U1405A-11H-CC-PAL,0,5,101.6,101.65,,unzoned,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,11,H,CC,PAL
342-U1405A-12H-CC-PAL,0,5,110.82,110.87,RN02,RN02 - Stichocorys delmontensis,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,12,H,CC,PAL
342-U1405A-13H-CC-PAL,0,4,120.47,120.51,,unzoned,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,13,H,CC,PAL
342-U1405A-14H-CC-PAL,0,5,130.12,130.17,,unzoned,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,14,H,CC,PAL
