Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group abundance,Abathomphalus intermedius,Abathomphalus mayaroensis,Archaeoglobigerina australis,Archaeoglobigerina blowi,Archaeoglobigerina bosquensis,Archaeoglobigerina cretacea,Archaeoglobigerina mateola,Contusotruncana contusa,Contusotruncana fornicata,Contusotruncana patelliformis ,Contusotruncana plicata,Contusotruncana plummerae,Contusotruncana walfischensis ,Dicarinella algeriana,Dicarinella asymetrica,Dicarinella concavata,Falsotruncana maslakovae,Gansserina gansseri ,Gansserina wiedenmayeri,Globigerinelloides barri,Globigerinelloides bollii ,Globigerinelloides caseyi,Globigerinelloides prairiehillensis,Globigerinelloides ultramicrus,Globotruncana aegyptiaca,Globotruncana arca,Globotruncana bulloides,Globotruncana dupeublei ,Globotruncana esnehensis ,Globotruncana falsostuarti,Globotruncana hilli,Globotruncana insignis,Globotruncana lapparenti ,Globotruncana linneiana ,Globotruncana marginata,Globotruncana mariei,Globotruncana morozovae,Globotruncana obliqua,Globotruncana orientalis,Globotruncana rosetta ,Globotruncana rugosa,Globotruncana ventricosa ,Globotruncanella citae,Globotruncanella havanensis,Globotruncanella minuta ,Globotruncanella petaloidea,Globotruncanella pschadae,Globotruncanita angulata,Globotruncanita atlantica,Globotruncanita calcarata ,Globotruncanita conica ,Globotruncanita elevata,Globotruncanita pettersi ,Globotruncanita stuarti,Globotruncanita stuartiformis,Globotruncanita subspinosa ,Globoturborotalita rubescens,Guembelitrioides higginsi ,Hastigerinoides subdigitata,Hedbergella delrioensis,Hedbergella holmdelensis,Hedbergella monmouthensis,Hedbergella planispira ,Hedbergella simplex,Helvetoglobotruncana helvetica,Helvetoglobotruncana praehelvetica,Heterohelix dentata,Heterohelix glabrans ,Heterohelix globulosa ,Heterohelix labellosa,Heterohelix moremani,Heterohelix navarroensis,Heterohelix palpebra,Heterohelix planata ,Heterohelix pulchra,Heterohelix punctulata,Heterohelix rajagopalani ,Heterohelix reussi,Heterohelix semicostata,Heterohelix striata,Igorina albeari,Igorina broedermanni,Laeviheterohelix pulchra ,Marginotruncana coronata,Marginotruncana pseudolinneiana,Marginotruncana renzi ,Marginotruncana schneegansi,Marginotruncana sigali,Marginotruncana sinuosa,Planoglobulina acervulinoides,Planoglobulina carseyae,Planoglobulina multicamerata,Planoglobulina riograndensis ,Planomalina buxtorfi,Planorotalites palmerae,Praeglobotruncana delrioensis,Praeglobotruncana gibba,Praeglobotruncana stephani,Praemurica inconstans,Pseudoguembelina costulata,Pseudoguembelina excolata,Pseudoguembelina hariaensis,Pseudoguembelina kempensis,Pseudoguembelina palpebra,Pseudohastigerina danvillensis,Pseudotextularia elegans,Pseudotextularia intermedia ,Pseudotextularia nuttalli,Pulleniatina finalis,Racemiguembelina fructicosa,Racemiguembelina powelli,Radotruncana calcarata,Radotruncana subspinosa,Rotalipora appenninica,Rotalipora cushmani,Rotalipora globotruncanoides,Rotalipora greenhornensis,Rotalipora montsalvensis,Rotalipora reicheli,Rotalipora ticinensis,Rugoglobigerina hexacamerata,Rugoglobigerina macrocephala,Rugoglobigerina milamensis,Rugoglobigerina pennyi,Rugoglobigerina pilula,Rugoglobigerina reicheli ,Rugoglobigerina rotundata,Rugoglobigerina rugosa,Rugoglobigerina scotti ,Rugotruncana subcircumnodifer,Rugotruncana subpennyi,Sphaeroidinella dehiscens ,Whiteinella archaeocretacea,Comments,File Data,Ship File Links,Shore File Links,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
342-U1403A-26X-7-W 33/34-FORAM,0,1,223.59,223.6,,,,P [P15],R  [A61],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R  [A61],R  [A61],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,A,26,X,7,W,33/34-FORAM
342-U1403A-26X-CC-PAL,0,5,224.16,224.21,,,,P [P15],P  [A61],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R  [A61],R  [A61],,,,,,,,,,F  [A61],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,A,26,X,CC,PAL,
342-U1403A-27X-1-W 96/98-FORAM,0,2,225.16,225.18,,,,P [P15],P  [A61],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P  [A61],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,A,27,X,1,W,96/98-FORAM
342-U1403A-27X-2-W 84/85-FORAM,0,1,226.54,226.55,,,,P [P15],R  [A61],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R  [A61],R  [A61],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,A,27,X,2,W,84/85-FORAM
342-U1403A-27X-3-W 121/123-FORAM,0,2,228.41,228.43,,,,P [P15],R  [A61],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P  [A61],,,,,,,,,,,,,,,,R  [A61],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,A,27,X,3,W,121/123-FORAM
342-U1403A-27X-4-W 122/124-FORAM,0,2,229.92,229.94,,,,M [P15],F  [A61],,,,,,,,,,,,,,,,,,,,,,,,P  [A61],,,P  [A61],,,,,,P  [A61],,,,,,,,,,,P  [A61],,,,,,,,,,,,,,,,,P  [A61],,,,,,,,,,,P  [A61],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,A,27,X,4,W,122/124-FORAM
342-U1403A-27X-5-W 104/106-FORAM,0,2,231.24,231.26,,,,P [P15],R  [A61],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P  [A61],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,A,27,X,5,W,104/106-FORAM
342-U1403A-27X-6-W 102/104-FORAM,0,2,232.72,232.74,,,,,B  [A61],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,A,27,X,6,W,102/104-FORAM
342-U1403A-27X-CC-PAL,0,5,233.19,233.24,,,,P [P15],F  [A61],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R  [A61],,,,,,,,P  [A61],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P  [A61],,,,,,,,,,,,,,342,U1403,A,27,X,CC,PAL,
342-U1403A-28X-1-W 89/91-FORAM,0,2,234.79,234.81,,,,M [P15],R  [A61],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P  [A61],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,A,28,X,1,W,89/91-FORAM
