Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data,
339-U1391A-1H-CC-PAL-FORAM,339,U1391,A,1,1-CC,H,CC,PAL,FORAM,0,5,4.11,4.16,,,G ,D ,D ,P ,,,,R ,,,,,P ,,,,,,,,,,P ,,,,,,,,,,,R ,,,,,,,F ,F ,P ,,,,,,,A ,Could be HE 1,,
339-U1391A-2H-CC-PAL-FORAM,339,U1391,A,2,2-CC,H,CC,PAL,FORAM,0,5,13.8,13.85,,,G ,D ,D ,B ,,,,F ,,,,,P ,P ,,,,,,,,,R ,,,,,,,,,,,F ,,,,,,,F ,P ,R ,,,,,,,R ,,,
339-U1391A-3H-CC-PAL-FORAM,339,U1391,A,3,3-CC,H,CC,PAL,FORAM,0,5,23.27,23.32,,,G ,D ,A ,R ,,,,A ,P ,P ,,,P ,R ,,,,R ,,,,P ,P ,,,,,,,,,,,P ,,,,,,P ,F ,,P ,,,,,,,P ,,,
339-U1391A-4H-CC-PAL-FORAM,339,U1391,A,4,4-CC,H,CC,PAL,FORAM,0,5,32.92,32.97,,,G ,D ,D ,P ,,,,A ,P ,,,,R ,P ,,,,,,P ,,P ,P ,,,,,,,,,,,P ,,P ,,,,P ,F ,P ,P ,,,,,,,P ,,,
339-U1391A-5H-CC-PAL-FORAM,339,U1391,A,5,5-CC,H,CC,PAL,FORAM,0,5,42.32,42.37,,,G ,D ,D ,P ,,,,F ,,,P ,P ,P ,P ,,,,,,,,,P ,,,,,,,,,,,P ,,,,,,P ,D ,P ,P ,,,,,,,R ,G crassaformis dex. 90% G truncat dex 50%,,
339-U1391A-6H-CC-PAL-FORAM,339,U1391,A,6,6-CC,H,CC,PAL,FORAM,0,5,52.13,52.18,,,G ,D ,A ,R ,,,,F ,P ,,,,R ,P ,,,,,,R ,,P ,,P ,,,,,,,,,,P ,,P ,P ,,,P ,A ,P ,R ,,,,,,,R ,G truncatul dex 90%,,
339-U1391A-7H-CC-PAL-FORAM,339,U1391,A,7,7-CC,H,CC,PAL,FORAM,0,5,61.66,61.71,,,G ,D ,A ,F ,P ,,,A ,P ,,,,R ,P ,,,,,,P ,,R ,,P ,,,,,,,,,,,,,P ,,,P ,R ,,P ,,,,,,,P ,G truncatul dex 90%,,
339-U1391A-8H-CC-PAL-FORAM,339,U1391,A,8,8-CC,H,CC,PAL,FORAM,0,5,71.13,71.18,,,G ,D ,F ,F ,,,,F ,,,,,R ,P ,,,,P ,,P ,,P ,P ,,,,,,,,,,,P ,,,,,,,D ,P ,R ,,,,,,,R ,Shell debris,,
339-U1391A-9H-CC-PAL-FORAM,339,U1391,A,9,9-CC,H,CC,PAL,FORAM,0,5,80.72,80.77,,,G ,D ,A ,R ,,,,F ,,,P ,,P ,R ,,,,R ,,,,R ,P ,,,,,,,,,,,P ,,,P ,,,P ,A ,,P ,,,,,,,P ,,,
339-U1391A-10H-CC-PAL-FORAM,339,U1391,A,10,10-CC,H,CC,PAL,FORAM,0,8,90.09,90.17,,,G ,B ,A ,R ,,,,A ,,,P ,,P ,P ,,,,,,,,P ,P ,,,,,,,,,,,P ,,P ,,,,P ,A ,,R ,,,,,,,R ,,,
