Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Agglutinated,Elongated,Planispiral,Trochospiral,Tapered,Comments,File Data,Zone name,Zone name (short)
342-U1403A-18X-1-W 36/38-FORAM,342,U1403,A,18,18-1,X,1,W,36/38-FORAM,0,2,148.36,148.38,M [P21],P [A60],B,P,B,D,R,,,,
342-U1403A-20X-1-W 78/80-FORAM,342,U1403,A,20,20-1,X,1,W,78/80-FORAM,0,2,166.48,166.5,G [P21],P [A60],B,B,P,D,P,,,,
342-U1403A-20X-2-W 10/12-FORAM,342,U1403,A,20,20-2,X,2,W,10/12-FORAM,0,2,167.3,167.32,M [P21],P [A60],B,B,B,D,P,,,,
342-U1403A-20X-3-W 56/58-FORAM,342,U1403,A,20,20-3,X,3,W,56/58-FORAM,0,2,169.26,169.28,G [P21],R [A60],B,B,B,D,P,,,,
342-U1403A-20X-4-W 78/80-FORAM,342,U1403,A,20,20-4,X,4,W,78/80-FORAM,0,2,170.98,171,G [P21],F [A60],B,P,B,D,B,,,,
342-U1403A-20X-5-W 86/88-FORAM,342,U1403,A,20,20-5,X,5,W,86/88-FORAM,0,2,172.56,172.58,G [P21],F [A60],B,B,B,D,B,,,,
342-U1403A-20X-6-W 75/77-FORAM,342,U1403,A,20,20-6,X,6,W,75/77-FORAM,0,2,173.95,173.97,M [P21],P [A60],P,B,B,D,P,,,,
342-U1403A-20X-7-W 49/51-FORAM,342,U1403,A,20,20-7,X,7,W,49/51-FORAM,0,2,175.09,175.11,P [P21],P [A60],B,P,B,D,B,,,,
342-U1403A-23X-4-W 120/122-FORAM,342,U1403,A,23,23-4,X,4,W,120/122-FORAM,0,2,200.4,200.42,G [P21],P [A60],P,R,P,D,P,,,,
342-U1403A-23X-5-W 65/67-FORAM,342,U1403,A,23,23-5,X,5,W,65/67-FORAM,0,2,201.25,201.27,G [P21],P [A60],P,F,B,D,P,,,,
342-U1403A-23X-6-W 48/48-FORAM,342,U1403,A,23,23-6,X,6,W,48/48-FORAM,0,2,202.58,202.6,G [P21],P [A60],P,F,P,D,P,,,,
342-U1403A-23X-7-W 15/17-FORAM,342,U1403,A,23,23-7,X,7,W,15/17-FORAM,0,2,203.65,203.67,G [P21],P [A60],B,R,P,D,B,,,,
342-U1403A-25X-2-W 89/91-FORAM,342,U1403,A,25,25-2,X,2,W,89/91-FORAM,0,2,212.09,212.11,G [P21],P [A60],P,R,B,D,P,,,,
342-U1403A-25X-3-W 72/74-FORAM,342,U1403,A,25,25-3,X,3,W,72/74-FORAM,0,2,213.42,213.44,M [P21],P [A60],P,B,B,D,P,,,,
342-U1403A-25X-4-W 50/52-FORAM,342,U1403,A,25,25-4,X,4,W,50/52-FORAM,0,2,214.7,214.72,G [P21],P [A60],P,P,B,D,P,,,,
342-U1403A-25X-5-W 75/77-FORAM,342,U1403,A,25,25-5,X,5,W,75/77-FORAM,0,2,216.45,216.47,M [P21],P [A60],B,B,B,D,R,,,,
342-U1403A-25X-6-W 24/26-FORAM,342,U1403,A,25,25-6,X,6,W,24/26-FORAM,0,2,217.44,217.46,P [P21],D [A60],B,B,B,D,P,,,,
342-U1403A-26X-2-W 18/20-FORAM,342,U1403,A,26,26-2,X,2,W,18/20-FORAM,0,2,216.18,216.2,G [P21],F [A60],F,R,B,D,P,,,,
342-U1403A-26X-3-W 88/89-FORAM,342,U1403,A,26,26-3,X,3,W,88/89-FORAM,0,1,218.38,218.39,G [P21],P [A60],B,F,B,D,P,,,,
342-U1403A-26X-4-W 20/21-FORAM,342,U1403,A,26,26-4,X,4,W,20/21-FORAM,0,1,219.2,219.21,M [P21],P [A60],P,R,P,D,P,,,,
342-U1403A-26X-5-W 22/24-FORAM,342,U1403,A,26,26-5,X,5,W,22/24-FORAM,0,2,220.72,220.74,G [P21],F [A60],P,R,B,D,B,,,,
342-U1403A-26X-5-W 3/4-FORAM,342,U1403,A,26,26-5,X,5,W,3/4-FORAM,0,1,220.53,220.54,M [P21],R [A60],P,P,B,D,B,,,,
342-U1403A-26X-7-W 33/34-FORAM,342,U1403,A,26,26-7,X,7,W,33/34-FORAM,0,1,223.59,223.6,M [P21],R [A60],P,P,B,D,B,,,,
342-U1403A-27X-1-W 96/98-FORAM,342,U1403,A,27,27-1,X,1,W,96/98-FORAM,0,2,225.16,225.18,G [P21],D [A60],F,P,P,D,F,,,,
342-U1403A-27X-2-W 84/85-FORAM,342,U1403,A,27,27-2,X,2,W,84/85-FORAM,0,1,226.54,226.55,M [P21],R [A60],B,B,B,D,B,,,,
342-U1403A-27X-3-W 121/123-FORAM,342,U1403,A,27,27-3,X,3,W,121/123-FORAM,0,2,228.41,228.43,M [P21],D [A60],R,P,P,D,F,,,,
342-U1403A-27X-4-W 122/124-FORAM,342,U1403,A,27,27-4,X,4,W,122/124-FORAM,0,2,229.92,229.94,G [P21],D [A60],P,B,B,F,R,,,,
342-U1403A-27X-5-W 104/106-FORAM,342,U1403,A,27,27-5,X,5,W,104/106-FORAM,0,2,231.24,231.26,M [P21],D [A60],P,P,B,D,B,,,,
342-U1403A-27X-6-W 102/104-FORAM,342,U1403,A,27,27-6,X,6,W,102/104-FORAM,0,2,232.72,232.74,G [P21],D [A60],P,P,B,D,R,,,,
342-U1403A-28X-1-W 89/91-FORAM,342,U1403,A,28,28-1,X,1,W,89/91-FORAM,0,2,234.79,234.81,G [P21],D [A60],P,P,P,D,R,,,,
342-U1403A-28X-2-W 108/110-FORAM,342,U1403,A,28,28-2,X,2,W,108/110-FORAM,0,2,236.48,236.5,G [P21],D [A60],P,P,P,D,R,,,,
342-U1403A-28X-3-W 106/108-FORAM,342,U1403,A,28,28-3,X,3,W,106/108-FORAM,0,2,237.96,237.98,G [P21],D [A60],R,P,P,D,R,,,,
342-U1403A-28X-4-W 72/74-FORAM,342,U1403,A,28,28-4,X,4,W,72/74-FORAM,0,2,239.12,239.14,M [P21],D [A60],P,B,P,D,P,,,,
342-U1403A-28X-5-W 125/127-FORAM,342,U1403,A,28,28-5,X,5,W,125/127-FORAM,0,2,241.15,241.17,M [P21],D [A60],B,B,P,D,R,,,,
342-U1403A-28X-6-W 34/36-FORAM,342,U1403,A,28,28-6,X,6,W,34/36-FORAM,0,2,241.74,241.76,M [P21],D [A60],P,P,P,D,R,,,,
