Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top depth [m],Bottom depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data
339-U1390A-1H-CC-PAL-FORAM,339,U1390,A,1,1-CC,H,CC,PAL,FORAM,0,5,3.58,3.63,,,G ,D ,P ,A ,P ,F ,A ,P ,,P ,P ,P ,R ,R ,P ,,,P ,,,,R ,,P ,,,,,,,,,,,,,P ,,,P ,P ,,,,,,,,,,Holocene,
339-U1390A-2H-CC-PAL-FORAM,339,U1390,A,2,2-CC,H,CC,PAL,FORAM,0,5,13.4,13.45,C ,,VG ,A ,A ,A ,,,,A ,,,,,,,,,,,,F ,,,R ,,,,,,,,,,,P ,,,,,,,A ,,,,,,,,,R ,,
339-U1390A-3H-CC-PAL-FORAM,339,U1390,A,3,3-CC,H,CC,PAL,FORAM,0,5,22.88,22.93,,,G ,A ,D ,P ,,,,A ,,,,P ,R ,,,,,P ,,,,R ,F ,,,,,,,,,,,P ,P ,,,,,,A ,P ,R ,,,,,,,,,
339-U1390A-4H-CC-PAL-FORAM,339,U1390,A,4,4-CC,H,CC,PAL,FORAM,0,5,32.25,32.3,,,G ,A ,D ,B ,,,,B ,,,,,,,,,,,,,,,F ,,,,,,,,,,,P ,,,,,,,A ,R ,P ,,,,,,,F ,,
339-U1390A-5H-CC-PAL-FORAM,339,U1390,A,5,5-CC,H,CC,PAL,FORAM,0,5,41.09,41.14,R ,,G ,A ,A ,,,,,A ,,,,,,,,,,,,,,,F ,,,,,,,,,,,R ,P ,,,,,,F ,R ,P ,,,,,,,,,
339-U1390A-6H-CC-PAL-FORAM,339,U1390,A,6,6-CC,H,CC,PAL,FORAM,0,5,50.95,51,R ,,G ,A ,F ,R ,,,,F ,,,,,P ,P ,,,,,,,,R ,R ,,,,,,,,,,,R ,,,,,,,D ,,F ,,,,,,,R ,,
339-U1390A-7H-CC-PAL-FORAM,339,U1390,A,7,7-CC,H,CC,PAL,FORAM,0,5,61.22,61.27,,,G ,A ,A ,R ,,,,A ,P ,,,,P ,P ,,,,,,,,R ,R ,,,,,,,,,,,R ,,P ,,,,,F ,D ,F ,,,,,,,P ,,
339-U1390A-8H-CC-PAL-FORAM,339,U1390,A,8,8-CC,H,CC,PAL,FORAM,0,5,70.48,70.53,,,VG ,A ,A ,R ,,,,A ,,,,,P ,,P ,,,,,,,P ,R ,,,,,,,,,,,R ,,P ,,,,,A ,P ,,,,,,,,P ,,
339-U1390A-9H-CC-PAL-FORAM,339,U1390,A,9,9-CC,H,CC,PAL,FORAM,0,5,76.65,76.7,,,VG ,A ,D ,,,,,P ,,,,,P ,P ,,,P ,P ,,P ,,P ,A ,,,,P ,,,,,,,R ,,P ,,,,,F ,,R ,,,,,,,P ,,
339-U1390A-10X-CC-PAL-FORAM,339,U1390,A,10,10-CC,X,CC,PAL,FORAM,0,5,84.32,84.37,,,VG ,D ,D ,R ,,,,A ,,,,,,R ,P ,,,,,,,R ,R ,,,,,,,,,,,R ,,,,,,,R ,,R ,,,,,,,,,
