Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Fissurina alveolata,Fissurina cf. radiata,Fissurina cf. staphyllearia,Fissurina spp.,Frondicularia sagittula,Frondicularia spp.,Fursenkoina bradyi,Fursenkoina complanata,Fursenkoina rotundata,Fursenkoina schreibersiana,Fursenkoina spp.,Gaudryina spp.,Gavelinella spp.,Gavelinopsis praegeri,Gavelinopsis? Sp.,Gavelinopsis translucens,Glabratella patelliformis,Glandulina ovula,Glandulina spp.,Globobulimina affinis,Globobulimina auriculata,Globobulimina cf. pacifica,Globobulimina pacifica,Globobulimina spinescens,Globobulimina spp.,Globobulimina turgida,Globocassidulina globosa,Globocassidulina oblonga,Globocassidulina spp.,Globocassidulina? sp. 1,Globulina gibba,Glomospira charoides,Glomospira gordialis,Glomospira spp.,Grigelis spp.,Guttulina spp.,Gyroidina orbicularis,Gyroidina cf. broeckhiana,Gyroidina spp.,Gyroidinoides octocameratus,Gyroidinoides soldanii,Gyroidinoides spp.,Hanzawaia concentrica,Hanzawaia rhodiensis,Hanzawaia? sp.,Hanzawaia spp.,Haplophragmoides spp.,Haynesina sp.,Heterolepa sp.,Hoeglundina elegans,Hopkinsina spp.,Hormosina globulifera,Hormosina spp.,Hyalina balthica,Hyaline indet.,Hyalinonetrion gracillimum,Hyperammina elongata,Hyperammina laevigata,Hyperammina spp.,Islandiella islandica,Jaculella obtusa,Karreriella bradyi,Karreriella spp.,Karrerulina spp.,Labrospira jeffreysi,Labrospira sp.,Laevidentalina spp.,Lagena costata,Lagena gracilis,Lagena hispidula,Lagena semistriata,Lagena spp.,Lagenammina spp.,Laticarinina pauperata,Lenticulina gibba,Lenticulina rotulata,Lenticulina spp.,Lingulina seminuda,Lingulina spp.,Loxostomina cf. major,Loxostomina major,Loxostomum spp.,Comment,File Data
339-U1385A-1H-CC-PAL,339,U1385,A,1,1-CC,H,CC,PAL,0,5,1.39,1.44,R ,,,,,,,R ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,R ,,,,P ,,,P ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1385A-2H-CC-PAL,339,U1385,A,2,2-CC,H,CC,PAL,0,5,11.3,11.35,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,A ,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1385A-3H-CC-PAL,339,U1385,A,3,3-CC,H,CC,PAL,0,5,20.87,20.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1385A-4H-CC-PAL,339,U1385,A,4,4-CC,H,CC,PAL,0,5,30.66,30.71,,,P ,P ,,,,,,,,,,,,,,,,P ,,,,,,,A ,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,
339-U1385A-5H-CC-PAL,339,U1385,A,5,5-CC,H,CC,PAL,0,5,39.92,39.97,,,,,,,,,,,R ,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,R ,,,,,P ,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1385A-6H-CC-PAL,339,U1385,A,6,6-CC,H,CC,PAL,0,5,49.43,49.48,,,,,,,,,,,,,,,,,,,,R ,,,,,,,F ,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1385A-7H-CC-PAL,339,U1385,A,7,7-CC,H,CC,PAL,0,6,58.71,58.77,,,,P ,,,,,,,,,,,P ,,,,,R ,,,,,,,R ,,,,,,,,,,,,,,R ,,,,,R ,,,,,,,,,P ,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,
339-U1385A-8H-CC-PAL,339,U1385,A,8,8-CC,H,CC,PAL,0,6,68.58,68.64,,,,P ,,,,,,,,,,,,,,,,A ,,,,,,,R ,,,,,,,,,,,,,,R ,,,,,,,,,P ,,,,,,P ,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,
339-U1385A-9H-CC-PAL,339,U1385,A,9,9-CC,H,CC,PAL,0,5,77.78,77.83,,P ,,,,,,,,,F ,,,,,,,,,R ,,,,,,,R ,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,
339-U1385A-10H-CC-PAL,339,U1385,A,10,10-CC,H,CC,PAL,0,5,87.73,87.78,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,R ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,
339-U1385A-11H-CC-PAL,339,U1385,A,11,11-CC,H,CC,PAL,0,5,96.78,96.83,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,P ,,,,R ,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1385A-12H-CC-PAL,339,U1385,A,12,12-CC,H,CC,PAL,0,5,106.29,106.34,,,,,R ,,,F ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,R ,,,,,,,,,,,,P ,,,,,,,,,,P ,,,,,,,,,,,,
339-U1385A-13H-CC-PAL,339,U1385,A,13,13-CC,H,CC,PAL,0,5,116.07,116.12,,,,,,,,F ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1385A-14H-CC-PAL,339,U1385,A,14,14-CC,H,CC,PAL,0,5,124.62,124.67,,,,,,,,R ,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,P ,P ,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,
339-U1385A-15H-CC-PAL,339,U1385,A,15,15-CC,H,CC,PAL,0,5,133.83,133.88,,,,,,,,R ,,,,,,,,,,,P ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,
339-U1385A-16H-CC-PAL,339,U1385,A,16,16-CC,H,CC,PAL,0,5,143.75,143.8,,,,,,,,,,,,,,,,,,,P ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,
339-U1385A-17H-CC-PAL,339,U1385,A,17,17-CC,H,CC,PAL,0,5,151.58,151.63,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,P ,P ,,,,,,P ,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,
