Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Calcidiscus leptoporus,Calcidiscus leptoporus (small 3-5 um),Calcidiscus macintyrei (>11 um),Calcidiscus premacintyrei (> 9 microns),Catinaster calyculus,Catinaster coalitus,Catinaster spp.,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus braarudii,Coronocyclus nitescens,Cyclicargolithus floridanus,Dictyococcites spp. (small),Dictyococcites spp. (medium),Discoaster berggrenii,Discoaster brouweri,Discoaster deflandrei,Discoaster hamatus,Discoaster kugleri,Discoaster pentaradiatus,Discoaster quinqueramus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster sp.,Emiliania huxleyi,Gephyrocapsa sp. (large),Gephyrocapsa sp. medium,Gephyrocapsa spp. (small),Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera sellii,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra minuta,Reticulofenestra minutula (3-5 microns),Reticulofenestra pseudoumbilica(5-7microns),Reticulofenestra pseudoumbilica (>7microns),Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus sp.,Triquetrorhabdulus rugosus,Triquetrorhabdulus sp.,comments
323-U1341C-10H-CC-PAL-NANNO32   ,323,U1341,C,10,10-CC,H,CC,PAL,NANNO32   ,0,0,89.95,89.95,M-P,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,
323-U1341C-11H-CC-PAL-NANNO8    ,323,U1341,C,11,11-CC,H,CC,PAL,NANNO8    ,0,0,96.93,96.93,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341C-12H-CC-PAL-NANNO13   ,323,U1341,C,12,12-CC,H,CC,PAL,NANNO13   ,0,0,105.64,105.64,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,
323-U1341C-13H-CC-PAL-NANNO18   ,323,U1341,C,13,13-CC,H,CC,PAL,NANNO18   ,0,0,115.05,115.05,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341C-14H-CC-PAL-NANNO23   ,323,U1341,C,14,14-CC,H,CC,PAL,NANNO23   ,0,0,124.56,124.56,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341C-15H-CC-PAL-NANNO28   ,323,U1341,C,15,15-CC,H,CC,PAL,NANNO28   ,0,0,133.96,133.96,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341C-16H-CC-PAL-NANNO86   ,323,U1341,C,16,16-CC,H,CC,PAL,NANNO86   ,0,0,139.55,139.55,P,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341C-17H-CC-PAL-NANNO91   ,323,U1341,C,17,17-CC,H,CC,PAL,NANNO91   ,0,0,147.08,147.08,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,
323-U1341C-18H-CC-PAL-NANNO96   ,323,U1341,C,18,18-CC,H,CC,PAL,NANNO96   ,0,0,157.0,157.0,M,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,
323-U1341C-19H-CC-PAL-NANNO1    ,323,U1341,C,19,19-CC,H,CC,PAL,NANNO1    ,0,0,166.5,166.5,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341C-20H-CC-PAL-NANNO6    ,323,U1341,C,20,20-CC,H,CC,PAL,NANNO6    ,0,0,175.98,175.98,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341C-21H-CC-PAL-NANNO30   ,323,U1341,C,21,21-CC,H,CC,PAL,NANNO30   ,0,0,185.45,185.45,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341C-23H-CC-PAL-NANNO35   ,323,U1341,C,23,23-CC,H,CC,PAL,NANNO35   ,0,0,196.96,196.96,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341C-24H-CC-PAL-NANNO74   ,323,U1341,C,24,24-CC,H,CC,PAL,NANNO74   ,0,0,201.58,201.58,M-P,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341C-25H-CC-PAL-NANNO79   ,323,U1341,C,25,25-CC,H,CC,PAL,NANNO79   ,0,0,211.17,211.17,M,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341C-26H-CC-PAL-NANNO84   ,323,U1341,C,26,26-CC,H,CC,PAL,NANNO84   ,0,0,220.82,220.82,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341C-27H-CC-PAL-NANNO21   ,323,U1341,C,27,27-CC,H,CC,PAL,NANNO21   ,0,0,230.44,230.44,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
