Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Diatom abundance,Actinocyclus curvatulus,Actinocyclus ellipticus,Actinocyclus elongatus,Actinocyclus ellipticus fa. lanceolata,Actynocyclus ellipticus var. javanica,Actinocyclus endoi,Actinocyclus ingens,Actinocyclus ochotensis,Actinocyclus octonarius,Actinocyclus subtilis,Actinoptychus senarius,Alveus marinus,Asterolampra acutiloba,Asterolampra eximia,Asterolampra marylandica,Asteromphalus arachne,Asteromphalus cleveanus,Asteromphalus elegans,Asteromphalus flabellatus,Asteromphalus grevillei,Asteromphalus heptactis,Asteromphalus hookerii,Asteromphalus robustus,Azpeitia aeginensis,Azpeitia africana,Azpeitia apiculata,Azpeitia barronii,Azpeitia neocrenulata,Azpeitia nodulifera,Azpeitia nodulifera fa. cyclopa,Azpeitia salisburyana,Azpeitia vetustissima,Azpeitia tabularis,Bacteriastrum sp.,Bacteriosira fragilis,Cavitatus jouseanus,Cestodiscus peplum,Cestodiscus pulchellus,Coscinodiscus argus,Coscinodiscus decrescens,Coscinodiscus gigas var. diorama,Coscinodiscus lewisianus,Coscinodiscus lewisianus var. spiralis,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Coscinodiscus radiatus,Craspedodiscus coscinodiscus,Crucidenticula nicobarica,Crucidenticula punctata,Cussia lancettula,Denticulopsis lauta,Ethmodiscus sp.,Fragilariopsis doliolus,Hemidiscus cuneiformis,Hemidiscus simplicissimus,Lioloma spp.,Nitzschia bicapitata,Nitzschia capuluspalae,Nitzschia cylindrica,Nitzschia fossilis,Nitzschia interruptestriata,Nitzschia jouseae,Nitzschia malinterpretaria,Nitzschia miocenica,Nitzschia pliocena,Nitzschia porteri,Nitzschia praereinholdii,Nitzschia reinholdii,Nitzschia rolandii,Nitzschia sicula,Planktoniella sol,Proboscia alata,Rhaphidodiscus marylandicus,Rhizosolenia bergonii,Rhizosolenia hebetata fa. hiemalis,Rhizosolenia praebergonii,Rhizosolenia stilyformis,Roperia tesselata,Rossiella paleaceae,Rossiella paleaceae var. elongata,Rouxia californica,Rouxia diploneides,Rouxia peragalli,Synedra miocenica,Synedra sp.1,Thalassionema bacillare,Thalassionema frauenfeldii,Thalassionema nitzschioides var. nitzschioides,Thalassionema nitzschioides var. capitulata,Thalassionema nitzschioides var. inflata,Thalassionema nitzschioides var. parva,Thalassionema robusta,Thalassiosira antiqua,Thalassiosira brunii,Thalassiosira burckliana,Thalassiosira convexa var. aspinosa,Thalassiosira decipiens,Thalassiosira eccentrica,Thalassiosira aff. eccentrica,Thalassiosira ferelineata,Thalassiosira fraga,Thalassiosira grunowii,Thalassiosira leptopus,Thalassiosira lineata,Thalassiosira miocenica,Thalssiosira nodulolineata,Thalassiosira oestrupii var. oestrupii,Thalassiosira oestrupii var. venrickae,Thalassiosira plicata,Thalassiosira spumellaroides,Thalassiosira symbolophora,Thalassiosira tappanae,Thalassiosira yabei,Thalassiosira sp. 1,Thalassiosira sp.4,Thalassiosira sp.5,Thalassiosira sp.6,Triceratium cinnamomeum,Triceratium cinnamomeum var. minor,Triceratium cinnamomeum var. quadrangulata,Corbisema hastata hastata,Distephanus crux,Dyctiocha fibula,Dictyocha pulchella,Dictyocha speculum,Mesocena elliptica,Naviculopsis eobiapiculata,Sillicoflagellate abundance,File data,
321-U1337A-1H-CC-PAL,321,U1337,A,1,1-CC,H,CC,PAL,,0,0,0.14,0.14,M ,C ,F ,,F ,,,,,,R ,,,R ,,,,,,,,,,,,,R ,,F ,,F ,,,,R ,,,,,,,,,,,,,,,,,,F ,C ,F ,R ,,C ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,R ,,F ,,,F ,,,,,,,,,,,,,,,,,F ,,,,,,,,,R ,,,,,,,,,,,,,
321-U1337A-2H-4-W 121/122-DIAT65,321,U1337,A,2,2-4,H,4,W,121/122-DIAT65,0,0,11.21,11.21,,C ,,,R ,,,,,,,,,,,,,,,,,,,,,,R ,,,F ,,,,,F ,,,,,,,,,,,,,,,,,,,F ,F ,R ,,F ,,,,,,,,,,,,R ,,,,,,R ,,,,,,,,,,,R ,,F ,F ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,F,,
321-U1337A-2H-6-W 50/51-DIAT85,321,U1337,A,2,2-6,H,6,W,50/51-DIAT85,0,0,13.5,13.5,M-G ,C ,R ,,R ,,,,,,,,,,,,,,,R ,,,,,,,,,,,F ,,,,R ,,,,,,,,,,,,,,,,,R ,,F ,F ,R ,,F ,,,,,R ,,,,,,,F ,,,,,,R ,,,,R ,,,,,,,,,R ,R ,,,F ,,,,,,,,,,,,,,,,F ,,,,R ,,,,,,,,,,,,,,R ,,,R,,
321-U1337A-2H-CC-PAL,321,U1337,A,2,2-CC,H,CC,PAL,,0,0,15.44,15.44,G-M ,C ,,,R ,,,,,,,,,,,,,,,R ,,,,,,,,,,,F ,,,,F ,,,,,,,,,,,,,F ,,,,,,C ,F ,,,C ,,,,,R ,,,,,,,F ,,R ,,,,R ,,,,R ,,,,,,,,,F ,F ,,,F ,,,,,,,,,R ,,,,,,,F ,F ,,,,,,R ,,,,,,,,,F ,,F ,,,F,,
321-U1337A-3H-3-W 51/52-DIAT24,321,U1337,A,3,3-3,H,3,W,51/52-DIAT24,0,0,18.51,18.51,G-M ,A ,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,F ,F ,,R ,F ,R ,,,R ,,,,,,,,,,,,,,R ,,,R ,R ,,,,,,,,,F ,F ,,,R ,,,,,,,,,,,,,,,C ,F ,,,,R ,,,,,,,,,,,,F ,,R ,R ,,F,,
321-U1337A-3H-5-W 46/47-DIAT26,321,U1337,A,3,3-5,H,5,W,46/47-DIAT26,0,0,21.46,21.46,M-G ,C ,,,,,,,,,,,,F ,,,R ,,R ,,,,,,,,R ,,F ,R ,F ,,,,,,,,,,R ,,,,,,,,,,,,,,F ,,,C ,,,,,,,,,,,,R ,,,,,,R ,,,,,,,,,,,,,R ,F ,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,R ,,,,,,,,F ,,F,,
321-U1337A-3H-CC-PAL,321,U1337,A,3,3-CC,H,CC,PAL,,0,0,24.91,24.91,G-M ,C ,F ,,F ,,,,,,,,,F ,,,,,F ,F ,,,,,,,F ,,F ,,F ,,,,,R ,,,,,,R ,,,,,R ,R ,,,,,,C ,C ,,,C ,,,,,,,,,,,,F ,,,,,,F ,,,,F ,,,,,,,,,,C ,,,,,,,,,,,,F ,,,F ,,,,F ,F ,,,,,,,,,,,,,,,F ,,,,,F,,
321-U1337A-4H-2-W 55/56-DIAT29,321,U1337,A,4,4-2,H,2,W,55/56-DIAT29,0,0,26.55,26.55,M-G ,A ,,,R ,,,,,,,,,R ,,,,,,R ,,,,,,,R ,,,R ,,,,,F ,,,,,,,,,,,,,,,,,,,F ,F ,R ,,C ,R ,,,F ,,,,,,,,R ,,R ,,,,R ,,,,,,,,,,,,R ,R ,F ,,,R ,,,,,,,,,,,,R ,,,R ,R ,F ,,,R ,,,,,,,F ,,,,,F ,R ,R ,,,R,,
321-U1337A-4H-4-W 55/56-DIAT30,321,U1337,A,4,4-4,H,4,W,55/56-DIAT30,0,0,29.55,29.55,M-G ,C ,R ,,,,,,,,,,,R ,,,,,,,,R ,,R ,,,,,,R ,F ,,,,T,R ,,,,,,,,,,,,,,,,,,F ,F ,F ,,F ,R ,,,R ,,,,,,,,R ,,R ,,,,R ,,,,R ,,,,,,,,R ,,F ,,R ,,,,,,,,,,R ,,,,,,,R ,R ,R ,,,,,,,,,R ,,,,,F ,,R ,,,F,,
321-U1337A-4H-CC-PAL,321,U1337,A,4,4-CC,H,CC,PAL,,0,0,34.44,34.44,M ,C ,,F ,F ,,,,,,,,,,,,,,,,,,,,,,F ,,,R ,F ,,,,,,,,,,,,,,,,,,,,,,,F ,,R ,,C ,,,,F ,R ,,,,,,,F ,,F ,,,,,,F ,R ,,,,,,,,,,R ,F ,,,F ,,,,,,,,,R ,,,,,,,C ,,R ,,,,,,,,,,,,,,F ,,,,,F,,
321-U1337A-5H-2-W 110/111-DIAT0,321,U1337,A,5,5-2,H,2,W,110/111-DIAT0,0,0,36.6,36.6,M ,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,R ,,,,,,,,,,,,,,,,,,,,,,,C ,,R ,,,,,,R ,R ,,,,,,,,,R ,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-5H-4-W 110/111-DIAT1,321,U1337,A,5,5-4,H,4,W,110/111-DIAT1,0,0,39.6,39.6,M ,F ,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,F ,,R ,,F ,,,,R ,,,,,,,,,,,,,,R ,,,,R ,,,,,,,,,,F ,,,,,,,,R ,,,,R ,,,,,,,,R ,,,,,,,,,,,,,,,,R ,,,,R,,
321-U1337A-5H-CC-PAL,321,U1337,A,5,5-CC,H,CC,PAL,,0,0,43.8,43.8,M-G ,C ,R ,,,,,,,,,,,,,,,,,,,,,,,,R ,,,F ,,,,,,,,,,,,,,,,,,,,,,R ,,C ,,F ,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,F ,,,F ,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,R ,,,,F ,,,,,F,,
321-U1337A-6H-2-W 13/14-DIAT61,321,U1337,A,6,6-2,H,2,W,13/14-DIAT61,0,0,45.13,45.13,M-G ,C ,R ,R ,R ,,,,,,,R ,,R ,,,,,,,,,,,,,R ,,,R ,R ,,,,R ,,,,,,,,,,,,,R ,,,,,,,,F ,,C ,,,,R ,,F ,,,,,,,,,,,,R ,,R ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,R ,,,,R ,,,,,,,,,,,R ,,,,,R ,,,,,R,,
321-U1337A-6H-6-W 126/127-DIAT62,321,U1337,A,6,6-6,H,6,W,126/127-DIAT62,0,0,52.26,52.26,M ,C ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,F ,,F ,,R ,,,,,R ,R ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,R ,R ,,,,,R ,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,R ,,,,R,,
