Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Acervulinid taxa,Agglutinates (indeterminant fragments),Ammobaculites sp.,Ammonia beccarii,Ammonia sp.,Ammonia tepida,Amphicoryna spp.,Amphistegina gibbosa ,Amphistegina lessonii,Amphistegina radiata,Amphistegina sp.,Astacolus sp.,Asterigerina sp.,Bigenerina sp.,Biloculina sp.,Bolivina spp.,Bolivinita quadrilatera,Bulimina aculeata,Bulimina costata,Bulimina marginata,Bulimina pupoides,Bulimina sp.,Cassidulina sp.,Cassidulina teretis,Chilostomella sp.,Cibicides  bradyi,Cibicides pachyderma,Cibicides refulgens,Cibicides sp.,Cibicides wuellerstorfi,Cibicidoides bradyi,Cibicidoides lobatulus,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides spp.,Cibicidoides wuellerstorfi,Cornuspira sp.,Cribrononion kerguelenense,Cribrononion sp.,Cyclorbiculina compressa,Cymbaloporetta sp.,Dentalina advena,Dentalina inornata,Dentalina sp.,Dentalina subemaciata,Dentalina subsoluta,Discorbina sp.,Dorothia exilis,Eggerella sp.,Ehrenbergina sp.,Elphidium excavatum,Eponides repandus,Fissurina marginata,Fissurina orbignyana,Fissurina semimarginata,Fissurina sp.,Fissurina wiesneri,Florilus spp.,Fursenkoina sp.,Gavelinopsis sp.,Globobulimina sp.,Globocassidulina sp.,Globocassidulina subglobosa,Gyroidinoides soldanii,Gyroidinoides spp,Hauerinella inconstans,Heterostegina sp.,Hoeglundina elegans,Karreriella bradyi,Lagena laevis,Lagena sp.,Lagena striata,Laticarinina pauperata,Lenticulina iota,Lenticulina orbicularis,Lenticulina peregrina,Lenticulina spp.,Liebusella soldanii,Lingulina seminuda,Marinittiella sp.,Melonis spp.,Myllostomella costai,Myllostomella huygaensis,Myllostomella spp.?,Nodosaria albatrossi,Nodosaria sp. ,Oolina melo,Oolina spp.,Oridorsalis umbonatus,Orthomorphina cf. jedlitschkai,Orthomorphina perversa,Orthomorphina sp.,Osangularia spp.,Parasorites orbitolitoides,Peneroplis sp.,Planctostoma luculenta,Planispirinoides bucculentus,Planulina ariminensis,Planulina sp.,Pleurostomella alternans,Pleurostomella sp.,Proxifrons inaequalis,Pullenia bulloides,Pyrgo comata,Pyrgo depressa,Pyrgo elongata,Pyrgo murrhina,Pyrgo serrata,Pyrgo sp.,Pyrgoella irregularis,Pyrgoella sp.,Pyrulina cylindroides,Quinqueloculina agglutinans,Quinqueloculina bicostata,Quinqueloculina bosciana,Quinqueloculina bradyana,Quinqueloculina candeiana,Quinqueloculina granulocostata,Quinqueloculina seminulum,Quinqueloculina sp.,Rectobolivina sp.,Rectoglandulina sp.,Reophax sp.,Robertina bradyi,Robertina sp. A,Robertinoides spp.,Rupertina stabilis,Sigmavirgulina tortuosa,Sigmoilopsis spp.,Siphonina bradyana,Siphonina sp.,Siphonodosaria cooperensis,Siphonodosaria insecta,Siphonodosaria pomuligera,Siphonodosaria sargrinensis,Siphonodosaria sp.,Siphouvigerina ampullacea,Sphaerogypsina globulus,Sphaeroidina bulloides,Spirillina sp.,Spiroloculina sp.,Stilostomella antillea,Stilostomella fistuca,Stilostomella sp.,Trifarina sp.,Triloculina insignis,Triloculina spp.,Uvigerina auberiana,Uvigerina cf. canariensis,Uvigerina hispida,Uvigerina hollicki,Uvigerina peregrina,Uvigerina peregrina f. parvula,Uvigerina sp.,Vaginulina americana,Vertebralina sp.,Virgulina cf texturata,Vulvulina pennatula,Comment,File Data
340-U1396C-1H-CC-PAL-FORAMB,340,U1396,C,1,1-CC,H,CC,PAL,FORAMB,0,0,8.33,8.33,P,F,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1396C-2H-CC-PAL-FORAMB,340,U1396,C,2,2-CC,H,CC,PAL,FORAMB,0,0,18.42,18.42,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1396C-3H-CC-PAL-FORAMB,340,U1396,C,3,3-CC,H,CC,PAL,FORAMB,0,0,27.87,27.87,M,D,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,R,,,,,,,,,,P,,,,,,,F,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,P,,F,,,R,,,,,,,,,,,,,,,,,,,,,,,
340-U1396C-4H-CC-PAL-FORAMB,340,U1396,C,4,4-CC,H,CC,PAL,FORAMB,0,0,37.29,37.29,G,D,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,A,P,A,,,,,,,,P,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,P,,,F,,,,,P,,,,,,,,,,,,,,,,,,,,,R,,
340-U1396C-5H-CC-PAL-FORAMB,340,U1396,C,5,5-CC,H,CC,PAL,FORAMB,0,0,46.95,46.95,M,F,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1396C-6H-CC-PAL-FORAMB,340,U1396,C,6,6-CC,H,CC,PAL,FORAMB,0,0,56.37,56.37,M,A,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,P,,,,,R,,,,,,,,R,R,,,,,,,,P,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,,R,,,,,,,,,,,,,,,,,,,R,,
340-U1396C-7H-CC-PAL-FORAMB,340,U1396,C,7,7-CC,H,CC,PAL,FORAMB,0,0,65.95,65.95,G,D,,,P,,,,,,,,,,,P,,,,,R,,,,,,,,P,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,R,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,F,,R,,,,,,,,,,,,,,,,,,,,R,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1396C-8H-CC-PAL-FORAMB,340,U1396,C,8,8-CC,H,CC,PAL,FORAMB,0,0,75.41,75.41,G,D,,,R,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,P,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,R,,,,,F,P,,R,,,,,,,,,,,,,,,,,,,,,,,
340-U1396C-9H-CC-PAL-FORAMB,340,U1396,C,9,9-CC,H,CC,PAL,FORAMB,0,0,84.82,84.82,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,R,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1396C-10H-CC-PAL-FORAMB,340,U1396,C,10,10-CC,H,CC,PAL,FORAMB,0,0,94.45,94.45,M,D,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,P,R,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,
