Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance, Circodiscus (Porodiscus) circularis, Cycladophora nakasekoi , Cycladophora sakaii, Lithelius barbatus, Lychnocanoma parallelipes,Acrobotrys tritubus,Acrosphaera spinosa,Actinomma delicatulum ,Actinomma leptodermum,Antarctissa denticulata,Anthocyrtidium angulare,Anthocyrtidium ophirense,Bortyostrobus auritus/australis,Botryostrobus aquilonaris,Botryostrobus miralestense,Calocycletta costata,Calocycletta virginis,Ceratospyris borealis,Cycladophora bicornis,Cycladophora davisiana ,Cyrtocapsella cornuta ,Cyrtocapsella japonica ,Cyrtocapsella tetrapera ,Dendrospyris?,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyocoryne profunda ,Dictyophimus bullatus,Dictyophimus hirundo ,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris ateuchus,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris simplex,Euchitonia furcata/elegans,Euchitonia triangulatum,Eucyrtidium asanoi,Eucyrtidium calvertense,Eucyrtidium diaphanes,Eucyrtidium inflatum,Eucyrtidium matuyamai ,Giraffospyris angulata ,Heliodiscus astericus,Hexacontium enthacanthus,Hymeniastrum euclidis ,Lamprocyclas junonis ,Lamprocyrtis hannai,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Larcopyle buetschlii,Liriospyris reticulata,Lithelius minor,Lithopera neotera,Lithopera renzae ,Lithopera thornbergi,Lychnocanoma nipponica magnacornuta,Lychnocanoma sakaii ,Octopyle/Tetrapyle Group,Phomostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Porodiscus (?) sp. B ,Prunopyle antartica,Pterocanium praetextum,Pterocanium prismatium,Pterocanium sp.,Pterocorys group,Pterocorys minythorax,Siphostichartus corona,Sphaeropyle langii,Sphaeropyle robusta ,Spongaster berminghami,Spongaster pentas,Spongaster tetras,Spongopyle osculosa,Spongurus (?) sp.,Spongurus cf. elliptica ,Spongurus pylomaticus,Stichocorys armata,Stichocorys delmontensis,Stichocorys diploconus,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wollfii,Stylacontarium acquilonium,Stylatractus universus,Stylochlamydium asteriscus ,Thecosphaera akitaensis,Thecosphaera japonica,Theocorys redondoensis,Theocorythium trachelium,Theocorythium vetulum,Tholospyris scaphipes,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
341-U1419B-1H-CC-PAL-RADS,0,5,8.48,8.53,B. aquilonaris,Botyrostrobus aquilonaris,,M,F,,,,,,,,R,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,R,R,,R,,,,,,,,,,,,,,,R,,,,,341,U1419,B,1,H,CC,PAL
341-U1419B-2H-CC-PAL-RADS,0,5,11.94,11.99,B. aquilonaris,Botyrostrobus aquilonaris,,P,R,,,,,,,,,R,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,341,U1419,B,2,H,CC,PAL
341-U1419B-3H-CC-PAL-RADS,0,5,19.3,19.35,B. aquilonaris,Botyrostrobus aquilonaris,,M,C,,,,,,,,C,F,,,,,,,,,A,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,R,,,,,,R,,,,,,,,R,,,,,,,,,A,,R,,,,,,,,,,,,,,,,F,,,,,341,U1419,B,3,H,CC,PAL
341-U1419B-4H-CC-PAL-RADS,0,5,37.74,37.79,B. aquilonaris,Botyrostrobus aquilonaris,,M,C,,,,,,,,R,C,,,,,,,,,C,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,,,,,,C,,,,,,,,R,,,,,,,,,F,R,,,,,,,,,,,,,,,,,F,,,,,341,U1419,B,4,H,CC,PAL
341-U1419B-5H-CC-PAL-RADS,0,5,47.27,47.32,B. aquilonaris,Botyrostrobus aquilonaris,,P,R,,,,,,,,R,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,B,5,H,CC,PAL
341-U1419B-6H-CC-PAL-RADS,0,5,50.34,50.39,B. aquilonaris,Botyrostrobus aquilonaris,,M,A,,,,,,,,R,R,,,,,,,,,A,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,A,,R,,,,,,A,,,,,,,,R,,,,,,,,,C,,,R,,,,,,,,,,,,,,,C,,,,,341,U1419,B,6,H,CC,PAL
341-U1419B-7H-CC-PAL-RADS,0,5,60.51,60.56,B. aquilonaris,Botyrostrobus aquilonaris,,P,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,B,7,H,CC,PAL
341-U1419B-8H-CC-PAL-RADS,0,5,69.56,69.61,B. aquilonaris,Botyrostrobus aquilonaris,,P,R,,,,,,,,R,,,,,,,,,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,341,U1419,B,8,H,CC,PAL
341-U1419B-9H-CC-PAL-RADS,0,5,78.18,78.23,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,B,9,H,CC,PAL
341-U1419B-10H-CC-PAL-RADS,0,5,81.7,81.75,B. aquilonaris,Botyrostrobus aquilonaris,,M,F,,,,,,,,F,F,,,,,,,,,A,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,A,,R,,,,,,A,,,,,,,,F,,,,,,,,,A,F,F,,,,,,,,,,,,,,,,,,,,,341,U1419,B,10,H,CC,PAL
341-U1419B-11H-CC-PAL-RADS,0,5,86.7,86.75,B. aquilonaris,Botyrostrobus aquilonaris,,G,C,,,,,,,,,R,,,,,,,,,A,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,,,,,,R,,,,,,R,,R,,,,,,,,,A,F,F,,,,,,,,,,,,,,,,,,,,,341,U1419,B,11,H,CC,PAL
341-U1419B-12H-CC-PAL-RADS,0,5,89.62,89.67,B. aquilonaris,Botyrostrobus aquilonaris,,P,C,,,,,,,,,,,,,,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,,,,,R,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,341,U1419,B,12,H,CC,PAL
341-U1419B-13H-CC-PAL-RADS,0,7,95.5,95.57,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,B,13,H,CC,PAL
341-U1419B-14H-CC-PAL-RADS,0,5,100.34,100.39,B. aquilonaris,Botyrostrobus aquilonaris,,P,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,B,14,H,CC,PAL
341-U1419B-15H-CC-PAL-RADS,0,5,105.11,105.16,B. aquilonaris,Botyrostrobus aquilonaris,,P,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,B,15,H,CC,PAL
341-U1419B-16H-CC-PAL-RADS,0,5,109.68,109.73,B. aquilonaris,Botyrostrobus aquilonaris,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,B,16,H,CC,PAL
341-U1419B-19H-CC-PAL-RADS,0,5,113.98,114.03,B. aquilonaris,Botyrostrobus aquilonaris,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,B,19,H,CC,PAL
