Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Amaurolithus amplificus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus sp.,Amaurolithus spp.,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (5-8 microns),Calcidiscus macintyrei,Calciosolenia murrayi,Catinaster calyculus,Catinaster coalitus,Ceratolithoides aculeus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Ceratolithus separatus,Ceratolithus simplex,Ceratolithus telesmus,Coccolithus pelagicus,Crenalithus doronicoides,Cyclicargolithus abisectus,Cyclicargolithus cf. floridanus,Dictyococcites bisectus,"Discoaster ""six-rayed""",Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster deflandrei (5-ray),Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster neohamatus,Discoaster neorectus,Discoaster nodifer,Discoaster perplexus,Discoaster prepentaradiatus,Discoaster quadramus,Discoaster quinqueramus,Discoaster saipanensis,Discoaster sp. (3-rayed),Discoaster sp. (5-rayed),Discoaster sp. (6-rayed),Discoaster sp. (9-rayed),Discoaster surculus,Discoaster tamalis,Discoaster tanii nodifer,Discoaster triradiatus,Discoaster variabilis (5-rays asymmetric),Discoaster variabilis,Discolithina japonica,Discosphaera tubifera,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa caribbeanica (>5.5 microns),Gephyrocapsa caribbeanica (>6 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa large,Gephyrocapsa lumina,Gephyrocapsa muellerae,Gephyrocapsa oceanica (>5 microns),Gephyrocapsa oceanica (<5 microns),Gephyrocapsa oceanica (>5.5 microns),Gephyrocapsa oceanica (>6 microns),Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa oceanica,Gephyrocapsa omega,Gephyrocapsa parallela,Gephyrocapsa sinuosa,Hayaster perplexus,Helicosphaera carteri,Helicosphaera carteri var. walichii,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera kamptneri,Helicosphaera sellii,Helicosphaera wallichii,Pontosphaera discopora,Pontosphaera indooceanica,Pontosphaera japonica,Pontosphaera multipora,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi (>6 microns),Reticulofenestra cf. pseudoumbilica,Reticulofenestra daviesii,Reticulofenestra doronicoides,Reticulofenestra pseudoumbilicus (circular outline),Rhabdosphaera clavigera,Rhabdosphaera procera,Rhabdosphaera sp.,Rhabdosphaera tenuis,Schyphosphaera spp.,Syracosphaera pulchra,small Gephyrocapsa spp.,Small Gephyrocapsa spp. ,Small Sphenolithus spp.,Sphenolithus abies/neoabies,Sphenolithus belemnos,Sphenolithus distentus/ciperoensis,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus neoabies,reworked taxa,Comments,File Data,Zone name,Zone name (short)
340-U1393A-1H-CC-PAL-NANNO,340,U1393,A,1,1-CC,H,CC,PAL,NANNO,0,0,4.24,4.24,M,R,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1393A-7X-CC-PAL-NANNO,340,U1393,A,7,7-CC,X,CC,PAL,NANNO,0,0,38,38,M,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
