Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Actinomma boreale,Actinomma medianum,Amphimelissa setosa,Axoprunum acquilonium,Botryostrobus aquilonaris,Ceratospyris borealis,Collosphaera pyloma,Cycladophora cornutoides,Cycladophora cosma,Cycladophora davisiana,Cycladophora sakaii,Cyrtocapsella japonica,Dendrospyris sakaii,Dictyophimus bullatus,Dictyophimus hirundo,Eucyrtidium asanoi,Eucyrtidium inflatum,Eucyrtidium matuyamai,Lamprocyrtis heteroporos,Larcopyle buetschlii,Lipmanella redondoensis,Lithelius barbatus,Lychnocanomma magnacornuta,Lychnocanomma nipponica sakaii,Lychnocanomma parallelipes,Phormostichoartus fistula,Porodiscus circularis,Sphaeropyle langii/robusta group,Spongodiscus sp.,Spongopyle osculosa,Spongotrochus glacialis,Spongurus pylomaticus,Stichocorys delmontensis,Stichocorys peregrina,Stylatractus universus,Stylochlamydium venustum,Stylodictya validispina,Thecosphaera akitaensis,physical_constituent_name,Shore File Links,pc_fossil_group,pc_abundance_name_mode,pc_preservation_name_average,File Data
323-U1341B-1H-CC-PAL-RADS72    ,323,U1341,B,1,1-CC,H,CC,PAL,RADS72    ,0,0 ,8.62,8.62,,G,F,,,,,,F,,,,F,,,,,,,,,,,,,,F,,,,,F,,F,,,,,F,F,,,,,,,
323-U1341B-2H-CC-PAL-RADS5     ,323,U1341,B,2,2-CC,H,CC,PAL,RADS5     ,0,0 ,18.48,18.48,,G,C,,,F,,F,F,,,,A,,,,,F,,,,,,,,,F,,,,,,,F,,,,,F,F,,,,,,,
323-U1341B-3H-CC-PAL-RADS10    ,323,U1341,B,3,3-CC,H,CC,PAL,RADS10    ,0,0 ,28.08,28.08,,G,C,F,,F,,,C,,F,,A,,,,,,,,,,,,,,C,,,,,F,,F,,,,,,F,,,,,,,
323-U1341B-4H-CC-PAL-RADS21    ,323,U1341,B,4,4-CC,H,CC,PAL,RADS21    ,0,0 ,37.6,37.6,,G,C,F,,F,,,F,,F,,C,,,,,,,,,,,,,,F,,,,,,,,,,,,F,F,,,,,,,
323-U1341B-5H-CC-PAL-RADS15    ,323,U1341,B,5,5-CC,H,CC,PAL,RADS15    ,0,0 ,47.04,47.04,,G,C,C,,,,,F,,F,,A,,,,,F,,,,,,,,,,,,,F,F,F,F,,,,,,,,,,,,,
323-U1341B-6H-CC-PAL-RADS16    ,323,U1341,B,6,6-CC,H,CC,PAL,RADS16    ,0,0 ,56.58,56.58,,G,C,C,,,,,F,,,,C,,,,,,,,,,,,,,F,,,,F,,,,,,,,,,,,,,,,
323-U1341B-7H-CC-PAL-RADS73    ,323,U1341,B,7,7-CC,H,CC,PAL,RADS73    ,0,0 ,66.08,66.08,,G,F,F,,,F,,,,F,,F,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,
323-U1341B-8H-CC-PAL-RADS21    ,323,U1341,B,8,8-CC,H,CC,PAL,RADS21    ,0,0 ,75.65,75.65,,G,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,,,,,,,
323-U1341B-9H-CC-PAL-RADS26    ,323,U1341,B,9,9-CC,H,CC,PAL,RADS26    ,0,0 ,85.14,85.14,,M,C,F,,F,F,,F,,F,,A,,,,,,,,,,,,,,,,,,F,F,,F,,,,,,F,,,,,,,
323-U1341B-10H-CC-PAL-RADS31    ,323,U1341,B,10,10-CC,H,CC,PAL,RADS31    ,0,0 ,94.1,94.1,,G,F,F,,,,F,F,,,,F,,,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,
323-U1341B-11H-CC-PAL-RADS36    ,323,U1341,B,11,11-CC,H,CC,PAL,RADS36    ,0,0 ,104.15,104.15,,G,F,,,,,F,F,,,,F,F,,,,,,,,,F,,,,,,,,,F,,,,,,,,,,,,,,,
323-U1341B-12H-CC-PAL-RADS78    ,323,U1341,B,12,12-CC,H,CC,PAL,RADS78    ,0,0 ,113.49,113.49,,G,C,F,,,F,,C,,F,,C,F,,,,,,,F,,,,,,,,,,F,F,F,C,,,,,,F,,,,,,,
323-U1341B-13H-CC-PAL-RADS83    ,323,U1341,B,13,13-CC,H,CC,PAL,RADS83    ,0,0 ,123.14,123.14,,M,F,,,,,,F,,F,,F,,,,,,,,F,,,,,,,,,,,,,F,,,,,,,,,,,,,
323-U1341B-14H-CC-PAL-RADS88    ,323,U1341,B,14,14-CC,H,CC,PAL,RADS88    ,0,0 ,132.74,132.74,,G,F,,,,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341B-15H-CC-PAL-RADS54    ,323,U1341,B,15,15-CC,H,CC,PAL,RADS54    ,0,0 ,142.26,142.26,,G,F,,,,F,,F,,F,,F,,,,,,,,F,,,,,,,,,,,,F,,,,,F,,,,,,,,,
323-U1341B-16H-CC-PAL-RADS59    ,323,U1341,B,16,16-CC,H,CC,PAL,RADS59    ,0,0 ,151.58,151.58,,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341B-17H-CC-PAL-RADS64    ,323,U1341,B,17,17-CC,H,CC,PAL,RADS64    ,0,0 ,158.09,158.09,,G,F,,,,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341B-18H-CC-PAL-RADS69    ,323,U1341,B,18,18-CC,H,CC,PAL,RADS69    ,0,0 ,166.71,166.71,,M,F,,,,,,F,,,,C,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,
323-U1341B-19H-CC-PAL-RADS45    ,323,U1341,B,19,19-CC,H,CC,PAL,RADS45    ,0,0 ,176.55,176.55,,M,F,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,
323-U1341B-20H-CC-PAL-RADS50    ,323,U1341,B,20,20-CC,H,CC,PAL,RADS50    ,0,0 ,180.07,180.07,,M,F,,,,,,F,,,,,,,,,,,,,,F,,,,,,,,,,C,C,F,,,,,,,,,,,,
323-U1341B-21H-CC-PAL-RADS55    ,323,U1341,B,21,21-CC,H,CC,PAL,RADS55    ,0,0 ,190.62,190.62,,G,F,,,,F,,F,,,,F,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,
323-U1341B-22H-CC-PAL-RADS60    ,323,U1341,B,22,22-CC,H,CC,PAL,RADS60    ,0,0 ,199.87,199.87,,G,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,,,,,,,,,,,,
323-U1341B-23H-CC-PAL-RADS15    ,323,U1341,B,23,23-CC,H,CC,PAL,RADS15    ,0,0 ,209.68,209.68,,M,F,,,,,,F,,,,C,F,,,,F,,,,,,,,,,,,,,,,F,,,,,,F,,,,,,,
