Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],PF Preservation,PF Group Abundance,Beella digitata,Beella praedigitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis ,Catapsydrax parvulus,Catapsydrax stainforthi,Catapsydrax unicavus,Clavatorella bermudezi,Clavatorella nicobarensis,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globosa,Dentoglobigerina praedehiscens,Dentoglobigerina venezuelana,Fohsella birnageae,Fohsella fohsi,Fohsella kugleri,Fohsella lobata,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globigerina angulisuturalis,Globigerina angustiumbilicata,Globigerina bulloides,Globigerina ciperoensis,Globigerina eamesi,Globigerina falconensis,Globigerina glutinata,Globigerina praebulloides,Globigerina quinqueloba,Globigerina rubescens,Globigerina umbilicata,Globigerinatella insueta,Globigerinella aequilateralis,Globigerinella calida,Globigerinella obesa,Globigerinella praesiphonifera,Globigerinella pseudobesa,Globigerinita iota,Globigerinoides altiaperturus,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides elongatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides kennetti,Globigerinoides mitra,Globigerinoides obliquus,Globigerinoides parawoodi,Globigerinoides primordius,Globigerinoides pyramidalis,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer ,Globigerinoides seigliei,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoconella conoidea,Globoconella conomiozea,Globoconella incognita,Globoconella inflata,Globoconella miozea,Globoconella nana,Globoconella panda,Globoconella praescitula,Globoconella puncticulata,Globoconella sphericomiozea,Globoconella zealandica,Globoquadrina dehiscens,Globoquadrina venezuelana ,Globorotalia bermudezi,Globorotalia flexuosa,Globorotalia hirsuta,Globorotalia inflata,Globorotalia lenguaensis,Globorotalia menardii,Globorotalia merotumida,Globorotalia paralenguaensis ,Globorotalia plesiotumida,Globorotalia scitula,Globorotalia theyeri,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagonus,Globorotaloides suteri,Globorotaloides variabilis,Hastigerina pelagica,Hastigerinopsis riedeli,Hirsutella challengeri,Hirsutella cibaoensis,Hirsutella hirsuta,Hirsutella juanai,Hirsutella margaritae,"Hirsutella scitula (Brady, 1882)",Jenkinsella acrostoma,Jenkinsella bella,Jenkinsella mayeri,Jenkinsella semivera,Jenkinsella siakensis,Menardella archeomenardii,Menardella exilis,Menardella limbata,Menardella menardii,Menardella miocenica,Menardella multicamerata,Menardella pertenuis,Menardella praemenardii,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma,Orbulina bilobata,Orbulina universa,Praeorbulina circularis,Praeorbulina curva,Praeorbulina glomerosa,Praeorbulina transitoria,Protentella prolixa,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina praecursor,Pulleniatina primalis (dex.),Pulleniatina primalis (sin.),Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis disjuncta,Sphaeroidinellopsis kochi,Sphaeroidinellopsis paenedehiscens,Sphaeroidinellopsis seminulina,Streptochilus globigerum,Tenuitella anfracta,Tenuitella clemenciae,Tenuitella munda,Truncorotalia cavernula,Truncorotalia crassaformis,Truncorotalia crassula,Truncorotalia tosaensis,Truncorotalia truncatulinoides,Turborotalita cristata ,Turborotalita humilis,Zeaglobigerina apertura,Zeaglobigerina brazieri,Zeaglobigerina connecta,Zeaglobigerina decoraperta,Zeaglobigerina druryi,Zeaglobigerina nepenthes,Zeaglobigerina rubescens,Zeaglobigerina woodi,PF Comment,File Data
340-U1395A-11H-CC-PAL-FORAMP,340,U1395,A,11,11-CC,H,CC,PAL,FORAMP,0,0,90.21,90.21,G [P20],D [A49],,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,P,,P,,,,,,,,,,,,A,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,,,,,,,,,P,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,
340-U1395A-12H-CC-PAL-FORAMP,340,U1395,A,12,12-CC,H,CC,PAL,FORAMP,0,0,99.91,99.91,G [P20],A [A49],,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,P,,,,,P,,,,R,,F,,,,,,,,,,,R,A,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,P,,,,,,R,,P,R,,,,,P,,,,,,,,,,,,R,,,,,,,,,,,,,
340-U1395A-13H-CC-PAL-FORAMP,340,U1395,A,13,13-CC,H,CC,PAL,FORAMP,0,0,109.4,109.4,G [P20],A [A49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,,,,,R,,,,,,,,,R,,F,,,,,,,,,,,,D,F,,,,,,,,,,,,,,,,,,,,,,,,P,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,P,,,,,,R,,,R,,,,,P,,,,,,,,,,,,R,,,,,,,,,,,,,
340-U1395A-14H-CC-PAL-FORAMP,340,U1395,A,14,14-CC,H,CC,PAL,FORAMP,0,0,116.9,116.9,M [P20],R [A49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,,,,,,,,,,,,,,,F,,R,,,,,,,,,,,,D,F,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,P,,,P,,,,,R,,,,,,,,,,,,R,P,,,,,,,,,,,,
340-U1395A-15H-CC-PAL-FORAMP,340,U1395,A,15,15-CC,H,CC,PAL,FORAMP,0,0,120.83,120.83,G [P20],R [A49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,P,,,,,,P,,,,,,,,,A,,F,,,,,,,,,,,,A,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,F,,,F,,,,,R,,,,,,,,,,P,,R,,,,,,,,,,,,,
340-U1395A-17X-CC-PAL-FORAMP,340,U1395,A,17,17-CC,X,CC,PAL,FORAMP,0,0,126.21,126.21,G [P20],R [A49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,P,,,,,,,,,R,,R,,,,,,,,,,,,D,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,R,,,,,R,,,,,,,,,,P,,R,P,,,,,,,,,,,,
340-U1395A-18X-CC-PAL-FORAMP,340,U1395,A,18,18-CC,X,CC,PAL,FORAMP,0,0,140.17,140.17,G [P20],A [A49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,P,,,,,,,,,P,,R,,,,,,,,,,,,D,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,
340-U1395A-19X-CC-PAL-FORAMP,340,U1395,A,19,19-CC,X,CC,PAL,FORAMP,0,0,145.24,145.24,P [P20],P [A49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340-U1395A-20X-CC-PAL-FORAMP,340,U1395,A,20,20-CC,X,CC,PAL,FORAMP,0,0,154.8,154.8,G [P20],P [A49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,
340-U1395A-21X-CC-PAL-FORAMP,340,U1395,A,21,21-CC,X,CC,PAL,FORAMP,0,0,165.38,165.38,G [P20],D [A49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,A,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,P,,,,,,R,,,R,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,
340-U1395A-22X-CC-PAL-FORAMP,340,U1395,A,22,22-CC,X,CC,PAL,FORAMP,0,0,170.12,170.12,G [P20],A [A49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,D,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,
340-U1395A-23X-CC-PAL-FORAMP,340,U1395,A,23,23-CC,X,CC,PAL,FORAMP,0,0,173.9,173.9,G [P20],D [A49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,R,,,,,,,P,,,,,,,,,,,,,,A,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,R,,,,,R,,,,,,,,,,,,F,,,,,,,,,,,,,
340-U1395A-24X-CC-PAL-FORAMP,340,U1395,A,24,24-CC,X,CC,PAL,FORAMP,0,0,183.61,183.61,M [P20],D [A49],,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,F,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,R,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,F,,,,,,,,,,,P,,
340-U1395A-25X-CC-PAL-FORAMP,340,U1395,A,25,25-CC,X,CC,PAL,FORAMP,0,0,194.22,194.22,M [P20],F [A49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,
340-U1395A-26X-CC-PAL-FORAMP,340,U1395,A,26,26-CC,X,CC,PAL,FORAMP,0,0,207.14,207.14,P [P20],A [A49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,
340-U1395A-27X-CC-PAL-FORAMP,340,U1395,A,27,27-CC,X,CC,PAL,FORAMP,0,0,213.48,213.48,P [P20],D [A49],,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,R,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,
340-U1395A-28X-CC-PAL-FORAMP,340,U1395,A,28,28-CC,X,CC,PAL,FORAMP,0,0,223.2,223.2,P [P20],A [A49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,P,,,,,,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,P,,,,,,,F,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,
