Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Bolivina sp.,Alabamina dissonata,Alabamina cf. dissonata,Alabamina sp.,Anomalina praeacuta,Anomalina sp.,Anomalinoides semicribratus,Anomalinoides sp.,Arenobulimina ?,Astacolus parallelus,Astacolus sp.,Bathysiphon sp.,Bulbobaculites ?,Bulimina sp.,Bulimina thanetensis,Buliminella sp.,Cancris ?,Cassidulina subglobosa,Chrysalogonium sp.,Cibicidoides subspiratus,Cibicidoides aff. laurisae,Cibicidoides eocaenus,Cibicidoides cf. eocaenus,Cibicidoides cf. havanensis,Cibicidoides grimsdalei,Cibicidoides havanensis ,Cibicidoides kullenbergi,Cibicidoides praemundulus,Gaudryina pyramidata,Cibicidoides sp.,Gavelinella sp.,Gavelinella hyphalus,Dentalina sp.,Dorothia trochoides,Eggerella bradyi,Eggerella sp.,Ellipsodimorphina macrocephala,Ellipsodimorphina spp.,Ellipsoidella  sp.,Epistominella sp.,Epistominella umbonifera ?,Eponides regularis,Eponides sp.,Fissurina sp.,Globobulimina sp.,Globobulimina pacifica,Globocassidulina globosa,Glomospira sp. ,Guttulina sp.,Gyroidina sp. ,Gyroidinoides globosus,Gyroidinoides spp.,Hoeglundina ?,Kalamopsis (?) ,Karreriella sp. ,Laevidentalina sp.,Lagena sp.,Laticarinina pauperata,Lenticulina cf. adenalensis,Lenticulina sp.,Melonis pompilioides,Melonis sp.,Neoeponides procerus,Neoeponides sp.,Neoflabellina sp.,Nuttallides truempyi,Nodosaria aspera,Nodosaria sp.,Nonion spp.,Oridorsalis sp. ,Oridorsalis umbonatus,Plectofrondicularia cf. kerni,Plectofrondicularia lirata,Pleurostomella acuta,Paralabamina hillebrandti,Pleurostomella tenuis,Pleurostomella sp. ,Polymorphina sp.,Pullenia bulloides,Pleurostomella paleocenica,Pullenia cf. jarvisis,Pullenia quinqueloba,Pyramidulina sp.,Pyrgo sp.,Pyrulina sp.,Quinqueloculina sp.,Saracenaria sp.,Spiroplectammina spectabilis,Spiroloculina depressa,Spiroplectammina sp.,Stilostomella gracillima,Stilostomella lepidula,Stilostomella paleocenica,Stilostomella sp. ,Stilostomella subspinosa,Strictocostella scharbergana,Tritaxia sp.,Trochammina sp.,Turrilina sp.,Uvigerina sp. ,Uvigerina elongata,Valvulina spinosa?,Others,Comments,File Data,Extra Sample ID Data
342-U1403B-24X-CC-PAL,342,U1403,B,24,24-CC,X,CC,PAL,0,5,186.07,186.12,,B [A60],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403B-29X-CC-PAL,342,U1403,B,29,29-CC,X,CC,PAL,0,5,234.63,234.68,G [P21],D [A60],,,,,A [A21],P [A21],,,,,,,,,,,,,,,,,,,,,,,P [A21],R,P [A21],,P [A21],R,,R,,P [A21],,,,,,,,,,,R,F [A21],A [A21],,,,,,,,P [A21],,,,,,,D [A21],P [A21],,,P [A21],R,,,,P [A21],,,,,,,,,,,,,P [A21],,,,,,,,,,,,,,P [A21],,,,
342-U1403B-30X-CC-PAL,342,U1403,B,30,30-CC,X,CC,PAL,0,5,241.59,241.64,M [P21],D [A60],,,,,P [A21],,,P [A21],,,,,,F [A21],,,,,,,,,,,,,,,A [A21],P [A21],,,P [A21],P [A21],,P [A21],,,,,,,,,,,,,P [A21],R,R,,,,,,P [A21],,,,,,,,,A [A21],,P [A21],,,R,,,,R,,,,,,,,,,,,,R,,,,,,,,,P [A21],,,,,,,,,
342-U1403B-31X-CC-PAL,342,U1403,B,31,31-CC,X,CC,PAL,0,5,251.87,251.92,G [P21],D [A60],,,,,F [A21],,,P [A21],,,,F [A21],,R,,,,,,,,,,,,,,,A [A21],R,F [A21],,P [A21],F [A21],,,P [A21],,,,,,R,,,,,R,P [A21],R,R,,,,,,P [A21],,P [A21],,,,,,,A [A21],,,,,F [A21],,,,F [A21],,,,,,,,,,,,,P [A21],,,,,,,,,,,,,,,,,,
342-U1403B-32X-CC-PAL,342,U1403,B,32,32-CC,X,CC,PAL,0,5,261.86,261.91,M [P21],F [A60],,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,only a few specimens so all rated present,,
