Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,Preservation,Group abundance,Agglutinated,Elongated,Planispiral,Trochospiral,Tapered,Comments,File Data,Zone name,Zone name (short)
342-U1408A-2H-5-W 100/102-FORAM,342,U1408,A,2,2-2,H,2,W,100/102-FORAM,0,2,6.8,6.82,6.81,VG,P,,,,,,,,,
342-U1408A-3H-2-W 100/102-FORAM,342,U1408,A,2,2-5,H,5,W,100/102-FORAM,0,2,11.3,11.32,11.31,P,F,,,,,,,,,
342-U1408A-3H-5-W 100/102-FORAM,342,U1408,A,3,3-2,H,2,W,100/102-FORAM,0,2,16.3,16.32,16.31,P,D,,,,,,,,,
342-U1408A-4H-2-W 100/102-FORAM,342,U1408,A,3,3-5,H,5,W,100/102-FORAM,0,2,20.8,20.82,20.81,P,D,,,,,,,,,
342-U1408A-4H-5-W 50/52-FORAM,342,U1408,A,4,4-2,H,2,W,100/102-FORAM,0,2,25.8,25.82,25.81,P,D,,,,,,,,,
342-U1408A-5H-2-W 100/102-FORAM,342,U1408,A,4,4-5,H,5,W,50/52-FORAM,0,2,29.8,29.82,29.81,VG,P,,,,,,,,,
342-U1408A-5H-5-W 100/102-FORAM,342,U1408,A,5,5-2,H,2,W,100/102-FORAM,0,2,35.3,35.32,35.31,VG,P,,,,,,,,,
342-U1408A-6H-2-W 100/102-FORAM,342,U1408,A,5,5-5,H,5,W,100/102-FORAM,0,2,39.8,39.82,39.81,VG,R,,,,,,,,,
342-U1408A-6H-5-W 100/102-FORAM,342,U1408,A,6,6-2,H,2,W,100/102-FORAM,0,2,44.8,44.82,44.81,VG,P,,,,,,,,,
342-U1408A-7H-2-W 100/102-FORAM,342,U1408,A,6,6-5,H,5,W,100/102-FORAM,0,2,49.3,49.32,49.31,G,P,,,,,,,,,
342-U1408A-7H-5-W 100/102-FORAM,342,U1408,A,7,7-2,H,2,W,100/102-FORAM,0,2,54.3,54.32,54.31,VG,F,,,,,,,,,
342-U1408A-8H-2-W 100/102-FORAM,342,U1408,A,7,7-5,H,5,W,100/102-FORAM,0,2,58.8,58.82,58.81,VG,F,,,,,,,,,
342-U1408A-8H-5-W 100/102-FORAM,342,U1408,A,8,8-2,H,2,W,100/102-FORAM,0,2,63.8,63.82,63.81,G,R,,,,,,,,,
