Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance, Circodiscus (Porodiscus) circularis, Cycladophora nakasekoi , Cycladophora sakaii, Lithelius barbatus, Lychnocanoma parallelipes,Acrobotrys tritubus,Acrosphaera spinosa,Actinomma delicatulum ,Actinomma leptodermum,Antarctissa denticulata,Anthocyrtidium angulare,Anthocyrtidium ophirense,Bortyostrobus auritus/australis,Botryostrobus aquilonaris,Botryostrobus miralestense,Calocycletta costata,Calocycletta virginis,Ceratospyris borealis,Cycladophora bicornis,Cycladophora davisiana ,Cyrtocapsella cornuta ,Cyrtocapsella japonica ,Cyrtocapsella tetrapera ,Dendrospyris?,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyocoryne profunda ,Dictyophimus bullatus,Dictyophimus hirundo ,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris ateuchus,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris simplex,Euchitonia furcata/elegans,Euchitonia triangulatum,Eucyrtidium asanoi,Eucyrtidium calvertense,Eucyrtidium diaphanes,Eucyrtidium inflatum,Eucyrtidium matuyamai ,Giraffospyris angulata ,Heliodiscus astericus,Hexacontium enthacanthus,Hymeniastrum euclidis ,Lamprocyclas junonis ,Lamprocyrtis hannai,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Larcopyle buetschlii,Liriospyris reticulata,Lithelius minor,Lithopera neotera,Lithopera renzae ,Lithopera thornbergi,Lychnocanoma nipponica magnacornuta,Lychnocanoma sakaii ,Octopyle/Tetrapyle Group,Phomostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Porodiscus (?) sp. B ,Prunopyle antartica,Pterocanium praetextum,Pterocanium prismatium,Pterocanium sp.,Pterocorys group,Pterocorys minythorax,Siphostichartus corona,Sphaeropyle langii,Sphaeropyle robusta ,Spongaster berminghami,Spongaster pentas,Spongaster tetras,Spongopyle osculosa,Spongurus (?) sp.,Spongurus cf. elliptica ,Spongurus pylomaticus,Stichocorys armata,Stichocorys delmontensis,Stichocorys diploconus,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wollfii,Stylacontarium acquilonium,Stylatractus universus,Stylochlamydium asteriscus ,Thecosphaera akitaensis,Thecosphaera japonica,Theocorys redondoensis,Theocorythium trachelium,Theocorythium vetulum,Tholospyris scaphipes,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
341-U1418A-1H-CC-PAL-RADS,0,7,4.8,4.87,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],F [A81],,,,,,,,R [A82],R [A82],,,,,,,,,F [A82],R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,R [A82],,,,,,R [A82],,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,1,H,CC,PAL,RADS
341-U1418A-2H-CC-PAL-RADS,0,5,13.91,13.96,B. aquilonaris [K07],Botyrostrobus aquilonaris,,M [P28],R [A81],,,,,,,,R [A82],R [A82],,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,,,,R [A82],,,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,2,H,CC,PAL,RADS
341-U1418A-3H-CC-PAL-RADS,0,5,23.92,23.97,B. aquilonaris [K07],Botyrostrobus aquilonaris,,M [P28],R [A81],,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,341,U1418,A,3,H,CC,PAL,RADS
341-U1418A-4H-CC-PAL-RADS,0,5,33.53,33.58,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],A [A81],,,,,,,,F [A82],F [A82],,,,,,,,,A [A82],,F [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A82],,,,,,,F [A82],,R [A82],,,,,,R [A82],,,,,,,,C [A82],,,,C [A82],,,,,F [A82],,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,4,H,CC,PAL,RADS
341-U1418A-5H-CC-PAL-RADS,0,5,42.91,42.96,B. aquilonaris [K07],Botyrostrobus aquilonaris,,M [P28],F [A81],,,,,,,,R [A82],C [A82],,,,,,,,,F [A82],,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,R [A82],,R [A82],,,,,,R [A82],,,,,,,,,,,,R [A82],,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,5,H,CC,PAL,RADS
341-U1418A-6H-CC-PAL-RADS,0,5,52.68,52.73,B. aquilonaris [K07],Botyrostrobus aquilonaris,,P [P28],R [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],R [A82],,,,,,,,,,,,,,,,,,,,,,341,U1418,A,6,H,CC,PAL,RADS
341-U1418A-7H-CC-PAL-RADS,0,5,62.14,62.19,B. aquilonaris [K07],Botyrostrobus aquilonaris,,M [P28],R [A81],,,,,,,,,R [A82],,,,,,,,,,,R [A82],,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,R [A82],,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,7,H,CC,PAL,RADS
341-U1418A-8H-CC-PAL-RADS,0,5,71.3,71.35,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],F [A81],,,,,,,,F [A82],R [A82],,,,,,,,,R [A82],,F [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,R [A82],,F [A82],,,,,,F [A82],,,,,,,,,,,,R [A82],,,,,A [A82],R [A82],,R [A82],,,,,,,,,,,,,,,,,,,,341,U1418,A,8,H,CC,PAL,RADS
341-U1418A-9H-CC-PAL-RADS,0,5,80.95,81,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],F [A81],,,,,,,,R [A82],F [A82],,,,,,,,,F [A82],,A [A82],,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,C [A82],,,,,,,C [A82],,F [A82],,,,,,C [A82],,,,,,,,R [A82],,,,F [A82],,,,,R [A82],R [A82],,,,,,,,,,,,,,,,,,,,,,341,U1418,A,9,H,CC,PAL,RADS
341-U1418A-10H-CC-RADS,0,0,89.54,89.54,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],F [A81],,,,,,,,,R [A82],,,,,,,,,R [A82],,R [A82],,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,F [A82],,,,,,,R [A82],,F [A82],,,,,,,,,,,,,,R [A82],,,,,,,,,F [A82],,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,10,H,CC,RADS,
341-U1418A-11H-CC-RADS,0,0,99.92,99.92,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,11,H,CC,RADS,
341-U1418A-12H-CC-RADS,0,0,109.39,109.39,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,12,H,CC,RADS,
341-U1418A-13H-CC-PAL-RADS,0,0,118.34,118.34,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],C [A81],,,,,,,,R [A82],C [A82],,,,,,,,,R [A82],,F [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,R [A82],,,,,,,,,F [A82],,,,,,,,,,,,,,R [A82],,,,R [A82],,,,,C [A82],R [A82],,,,,,,,,,,R [A82],,,,,,,,,,,341,U1418,A,13,H,CC,PAL,RADS
341-U1418A-14H-CC-PAL-RADS,0,0,123.36,123.36,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],F [A81],,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,,,R [A82],,,,,R [A82],,,,,,,,,,,,,,,,,,F [A82],,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,14,H,CC,PAL,RADS
341-U1418A-15H-CC-PAL-RADS,0,0,128.12,128.12,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],R [A81],,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,15,H,CC,PAL,RADS
341-U1418A-16H-CC-PAL-RADS,0,0,132.7,132.7,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],R [A81],,,,,,,,,R [A82],,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A82],,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,16,H,CC,PAL,RADS
341-U1418A-17H-CC-PAL-RADS,0,0,137.53,137.53,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],R [A81],,,,,,,,R [A82],R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,17,H,CC,PAL,RADS
341-U1418A-18H-CC-PAL-RADS,0,0,141.83,141.83,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],R [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,18,H,CC,PAL,RADS
341-U1418A-19H-CC-PAL-RADS,0,0,146.88,146.88,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],R [A81],,,,,,,,R [A82],F [A82],,,,,,,,,R [A82],,R [A82],,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A82],,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,19,H,CC,PAL,RADS
341-U1418A-20H-CC-PAL-RADS,0,0,151.47,151.47,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],R [A81],,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,20,H,CC,PAL,RADS
341-U1418A-21H-CC-PAL-RADS,0,0,156.31,156.31,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],A [A81],,,,,,,,,C [A82],,,,,,,,,A [A82],,A [A82],,,,,,,,,,F [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A82],,R [A82],,,,,A [A82],C [A82],,,,,,,,C [A82],,,,F [A82],,,,,F [A82],C [A82],,,,,,,,,,,,,,,,,,,,,,341,U1418,A,21,H,CC,PAL,RADS
341-U1418A-22H-CC-PAL-RADS,0,0,161.01,161.01,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],R [A81],,,,,,,,,R [A82],,,,R [A82],R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,22,H,CC,PAL,RADS
341-U1418A-23H-CC-PAL-RADS,0,5,165.63,165.68,B. aquilonaris [K07],Botyrostrobus aquilonaris,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,23,H,CC,PAL,RADS
341-U1418A-24H-CC-PAL-RADS,0,5,170.45,170.5,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],A [A81],,,,,,,,R [A82],C [A82],,,,,A [A82],,,,A [A82],,A [A82],,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,A [A82],,C [A82],,,,,R [A82],F [A82],,,,,,,,,,,,F [A82],,,,,A [A82],A [A82],,R [A82],,,,,,,,,,,,,,,,,,,,341,U1418,A,24,H,CC,PAL,RADS
341-U1418A-25H-CC-PAL-RADS,0,5,175.04,175.09,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,25,H,CC,PAL,RADS
