Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Braarudosphaera bigelowii,Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (>8 micron),Calcidiscus leptoporus (5-8 microns),Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus spp. azorinus,Coccolithus pelagicus spp. braarudii,Coccolithus pelagicus ssp. pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster gr. variabilis,Discoaster hamatus,Discoaster intercalaris,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Emiliania huxleyi (<5 microns),Emiliania huxleyi (>5 microns),Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa caribbeanica,medium Gephyrocapsa group,Gephyrocapsa oceanica (>5 micron),Gephyrocapsa oceanica (<5 micron),Gephyrocapsa omega,Gephyrocapsa spp. (<3 microns),Helicosphaera acuta,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera mediterranea,Helicosphaera pavimentum,Helicosphaera sellii,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Minylitha convallis,Oolithotus spp.,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra antarctica,Reticulofenestra asanoi (>6 microns),Reticulofenestra asanoi (<6 microns),Reticulofenestra cisnerosii,Reticulofenestra haqii,Reticulofenestra minuta (<3 microns),Reticulofenestra minuta,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5-7 microns),Reticulofenestra rotaria,Rhabdosphaera spp.,Scyphosphaera apsteinii,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus neoabies,Syracosphaera spp.,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,File Data,Zone name,Zone name (short)
339-U1387A-1H-CC-PAL-NANNO,339,U1387,A,1,1-CC,H,CC,PAL,NANNO,0,5,5.02,5.07,G ,A ,,,,,,,,,,,,,,,,,,F ,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,C ,R ,,,A ,,,,VA ,,,F ,,,,,,,,F ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,
339-U1387A-2H-CC-PAL-NANNO,339,U1387,A,2,2-CC,H,CC,PAL,NANNO,0,5,14.87,14.92,G ,A ,,,,,,R ,R ,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,C ,,,,C ,,R ,,A ,,,C ,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,
339-U1387A-3H-CC-PAL-NANNO,339,U1387,A,3,3-CC,H,CC,PAL,NANNO,0,4,24.27,24.31,G ,VA ,,,,,,F ,R ,F ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,F ,C ,,,A ,,R ,,VA ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,F ,,,,
339-U1387A-4H-CC-PAL-NANNO,339,U1387,A,4,4-CC,H,CC,PAL,NANNO,0,5,34.03,34.08,G ,VA ,,,,,P ,,,F ,,,,,,,,,,R ,R ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,F ,,,,A ,,,,VA ,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,
339-U1387A-5H-CC-PAL-NANNO,339,U1387,A,5,5-CC,H,CC,PAL,NANNO,0,5,42.64,42.69,G ,VA ,,,,,,,,R ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,F ,,R ,A ,,,,VA ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,
339-U1387A-6H-CC-PAL-NANNO,339,U1387,A,6,6-CC,H,CC,PAL,NANNO,0,5,47.71,47.76,G ,VA ,,,,,,C ,F ,F ,,,,,,,,,,F ,R ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,R ,,,,C ,F ,F ,,VA ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,
339-U1387A-7X-CC-PAL-NANNO,339,U1387,A,7,7-CC,X,CC,PAL,NANNO,0,5,52.51,52.56,G ,VA ,,,,,,,,R ,,,,,,,,,,R ,R ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,F ,,,F ,F ,C ,,VA ,,,,,,,,,,,R ,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,R ,,,,,,,,,,
339-U1387A-8X-CC-PAL-NANNO,339,U1387,A,8,8-CC,X,CC,PAL,NANNO,0,5,63.12,63.17,M-P ,A ,,,,,R ,,F ,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,F ,,F ,,,A ,,,R ,,,,,,,,,,R ,R ,,,,,,,A ,,,,,,R ,,,,,,,,,,,,R ,,,,,,,,,,
339-U1387A-9X-CC-PAL-NANNO,339,U1387,A,9,9-CC,X,CC,PAL,NANNO,0,4,74.72,74.76,G ,VA ,,,,,,,F ,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA ,A ,,C ,,A ,,,,,,,,,,,,,,,,,,,,,A ,,,,,,R ,,,,,,,,,,,,R ,,,,,,,,,,
339-U1387A-10X-CC-PAL-NANNO,339,U1387,A,10,10-CC,X,CC,PAL,NANNO,0,5,80.48,80.53,M-P ,A ,,,,,,,R ,R ,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,F ,C ,,F ,,,A ,,,F ,,,,,,,,,,F ,F ,,,,,,,A ,,,,,,F ,,,,,,,,,,,,F ,,,,,,,,,,
