Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Group preservation,Group abundance,XBroken,XCorroded,XCrumpled,Unknown taxa,Exotic,Pinus,Cedrus,Abies,Picea,Acer,Alnus,Betula,Carpinus,Castanea,Corylus,Fagus,Fraxinus excelsior type,Fraxinus ornus type,Ilex,Juglans,Platanus,Populus,Pterocarya,Taxus,Tilia,Ulmus,Ulmus Zelkova,Quercus deciduous type,Quercus evergreen type,Quercus suber type,Buxus,Cistus,Coriaria myrtifolia,Daphne,Olea,Phillyrea,Pistacia,Rhamnus type,Rhus type,Ulex type,Cupressaceae,Euonymus,Helianthemum,Halimium_Tuberaria,Hedera helix,Hippophäe,Myrica,Salix,Sambucus,Tamarix,Viburnum,Vitis,Ericaceae,Calluna,Chenopodiaceae,Ephedra distachya type,Ephedra fragilis type,Artemisia,Ambrosia type,Anthemis type,Aster type,Centaurea cyanus type,Centaurea nigra type,Centaurea scabiosa type,Cirsium type,Echinops,Serratula type,Taraxacum,Apiaceae,Brassicaceae,Cannabis_Humulus,Convolvulus,Caryophyllaceae,Corrigiola litoralis,Epilobium,Lamiaceae,Liliaceae,Asphodelus,Mercurialis type,Plantago,Plantago lanceolata type,Plumbaginaceae,Poaceae,Lygeum spartum,Ranunculaceae,Rumex,Sanguisorba minor,Sanguisorba officinalis,Saxifragaceae,Scabiosa,Arceuthobium,Boraginaceae,Bupleurum type,Campanulaceae,Centaurium,Crassulaceae,Cereal type,Cyperaceae,Erodium,Euphorbia,Fabaceae,Filipendula,Galium type,Gentianaceae,Geranium,Herniaria type,Jasione type,Knautia type,Linum,Littorella uniflora,Lythrum,Melampyrum,Mentha type,Papaveraceae,Pedicularis,Polygonum aviculare type,Primulaceae,Resedaceae,Rosaceae,Scrofulariaceae,Sedum type,Solanaceae,Spartium junceum,Spergularia type,Thalictrum,Urtica,Valerianaceae,Veronica type,Vicia type,Viscum,Podocarpus,Stereisporites,Tsuga,Cryptomeria,Zelkova,Carya,Nyssa,Liquidambar,Sciadopitis,Taxodium,Sequoia,Engelhardia,Aesculus,Eleagnus,Palmae,Symplocos,Phellodendron,Eucommia,Ostrya,Alisma type,Lemna,Menyanthes trifoliata,Myriophyllum alterniflorum,Myriophyllum verticillatum,Nuphar,Nymphaea alba type,Polygonum persicaria type,Potamogeton,Typha_Sparganium,Isoetes,Polypodium vulgare type,Monolete psilate,Monolete ornamented,Anogramma leptophylla,Botrychium type,Cryptogramma,Huperzia selago,Lycopodium clavatum type,Ophioglossum lusitanicum,Osmunda,Pilularia globulifera,Pteridium,Selaginella denticulata,Selaginella selaginoides,Sphagnum,Taxodiaceae/Cupressaceae,Trilete ornamented,Trilete psilate,Trilete reworked,Comments,File Data
339-U1386A-1H-CC-PAL-PALY,339,U1386,A,1,1-CC,H,CC,PAL,PALY,0,5,3.81,3.86,G ,A ,,6,,,116,A ,R ,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,R ,,,,,,C ,,,,,,,,,,,,R ,,F ,R ,F ,F ,,,F ,,,,,,,C ,,R ,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,R ,,,,,,,,,,,,,,,,F ,,Also observed microcharcoal particles and dinocysts,
339-U1386A-5H-CC-PAL-PALY,339,U1386,A,5,5-CC,H,CC,PAL,PALY,0,5,42.18,42.23,G ,A ,,13,,,88,A ,,,,,F ,F ,,,,,,,,,,,,,,,,F ,C ,,,,,,C ,,F ,,,,,,,,,,,F ,,,,,F ,,F ,,,,,C ,C ,,,,,,,A ,,F ,,,,,,,,,,F ,,,C ,,,,,,,,,,,,,,,C ,,,,,F ,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,A ,,F ,,,F ,,,,,,,,,,,,,F ,,Also observed microcharcoal particles and dinocysts,
339-U1386A-8H-CC-PAL-PALY,339,U1386,A,8,8-CC,H,CC,PAL,PALY,0,5,70.62,70.67,G ,A ,,13,,,50,A ,,,,,F ,,,,,,F ,,,,,,,,,,,C ,C ,,,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,F ,A ,,C ,F ,,,,,,,C ,,F ,,,,,,,,,,,,,C ,,F ,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,F ,,,Also observed microcharcoal particles and dinocysts,
339-U1386A-15H-CC-PAL-PALY,339,U1386,A,15,15-CC,H,CC,PAL,PALY,0,5,136.96,137.01,G ,A ,,15,,,22,A ,,,,,,F ,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,C ,,F ,,,,,,,,,,C ,,A ,A ,F ,A ,,F ,F ,,,,,,,C ,,F ,,,,,,,,,,C ,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,F ,,,,,,,,,,,,,,,,,,Also observed microcharcoal particles and dinocysts,
339-U1386A-20H-CC-PAL-PALY,339,U1386,A,20,20-CC,H,CC,PAL,PALY,0,5,178.0,178.05,G ,A ,,7,,,88,A ,C ,,,,,F ,,,,,,,,,,,,,,,,C ,C ,,,,,,F ,,,,,,F ,,,,,,,,,,,,F ,,C ,C ,F ,C ,,F ,F ,,,,,,,C ,F ,F ,,,F ,,,,,,,,,,C ,,,,F ,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,Also observed microcharcoal particles and dinocysts,
339-U1386A-26X-CC-PAL-PALY,339,U1386,A,26,26-CC,X,CC,PAL,PALY,0,5,224.53,224.58,M ,A ,,9,,,113,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,F ,F ,R ,F ,,,R ,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,Also observed microcharcoal particles and dinocysts,
339-U1386A-32X-CC-PAL-PALY,339,U1386,A,32,32-CC,X,CC,PAL,PALY,0,5,282.61,282.66,G ,A ,,23,,,100,A ,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,F ,,,,,,C ,,,,,,,,,,,,F ,,A ,F ,,C ,,F ,F ,,,,,,,A ,,,,,F ,,,,,F ,,F ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,Also observed microcharcoal particles and dinocysts,
339-U1386A-35X-CC-PAL-PALY,339,U1386,A,35,35-CC,X,CC,PAL,PALY,0,5,310.59,310.64,M ,A ,,28,,,60,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,A ,C ,C ,,F ,C ,,,,,,,A ,,,,,F ,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Also observed microcharcoal particles and dinocysts,
