Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,Preservation,Group abundance,Nonionellina labradorica,Nonionella sp.,Quinqueloculina sp.,Stainforthia sp.,Nonion ?,Cassidulina minuta,Islandiella australis,Lagena caudata,Fissurina sp.,Praeglobobulimina ovata,Sigmoilina obesa,Melonis affine,Nonionella turgida,Ship File Links,Shore File Links
342-U1402B-1H-CC-PAL,342,U1402,B,1,1-CC,H,CC,PAL,,0,5,6.97,7.02,7.00,VG [P21],R [A60],F,,P,,A,D,D,P,,P,P,F,F,,
342-U1402B-2H-CC-W 0/5-PAL,342,U1402,B,2,2-CC,H,CC,W,0/5-PAL,0,5,14.21,14.26,14.24,VG [P21],R [A60],F,P,F,F,F,A,D,,P,,,,,,
