Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Catapsydrax dissimilis,Catapsydrax unicavus,Globigerina bulloides,Globigerina ciperoensis,Globigerina parabulloides,Globigerina umbilicata,Globigerinita glutinata,Globigerinita uvula,Globoquadrina duterei,Globorotalia incisa,Globorotalia (Globoconella) praescitula,Globorotalia (Hirsutella) scitula,Globorotalia suterae,Neogloboquadrina atlantica atlantica,Neogloboquadrina atlantica praeatlantica,Neogloboquadrina dutertri subcretacea,Neogloboquadrina pachyderma (sin),Neogloboquadrina pachyderma(dex),Orbulina universa,Turborotalia quinqueloba,pc_fossil_group,physical_constituent_name,pc_fossil_name,pc_abundance_name_mode,pc_preservation_name_average,File Data
323-U1341A-1H-CC-PAL26     -FORAM68   ,323,U1341,A,1,1-CC,H,CC,PAL26,FORAM68   ,0,0,2.92,2.92,"abundant IRD, abundant diatoms, rare sponge spicules",G,D,,,,,,F,,,,,,,,,,,D,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R,,
323-U1341A-2H-CC-PAL72     -FORAM73   ,323,U1341,A,2,2-CC,H,CC,PAL72,FORAM73   ,0,0,12.54,12.54,"abundant IRD (large rock fragments > 0.5 mm), abundant diatoms, rare sponge spicules",M,A,,,,,,,,,,,,,,,,,A,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R,,
323-U1341A-3H-CC-PAL70     -FORAM78   ,323,U1341,A,3,3-CC,H,CC,PAL70,FORAM78   ,0,0,22.33,22.33,"abundant IRD, few diatoms, rare sponge spicules",G,F,,,,,,,,,,,,,,,,,F,,,,,,,,,
323-U1341A-4H-CC-PAL57     -FORAM83   ,323,U1341,A,4,4-CC,H,CC,PAL57,FORAM83   ,0,0,31.67,31.67,"dominant IRD, abundant diatoms, rare sponge spicules",G,A,,,,,,P,,,,,,,,,,,A,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",F,,
323-U1341A-5H-CC-PAL42     -FORAM67   ,323,U1341,A,5,5-CC,H,CC,PAL42,FORAM67   ,0,0,41.22,41.22,dominant IRD,,B,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341A-6H-CC-PAL16     -FORAM81   ,323,U1341,A,6,6-CC,H,CC,PAL16,FORAM81   ,0,0,50.85,50.85,dominant IRD,G,A,,,,,,R,,,,,,,,,,,A,,,,,,,,,
323-U1341A-7H-CC-PAL70     -FORAM86   ,323,U1341,A,7,7-CC,H,CC,PAL70,FORAM86   ,0,0,60.41,60.41,dominant IRD,G,A,,,,,,P,,,,,,,,,,,A,,,,,,,,,
323-U1341A-8H-CC-PAL23     -FORAM91   ,323,U1341,A,8,8-CC,H,CC,PAL23,FORAM91   ,0,0,69.31,69.31,dominant IRD,G,A,,,,,,,,,,,,,,,,,D,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R,,
323-U1341A-9H-CC-PAL92     -FORAM0    ,323,U1341,A,9,9-CC,H,CC,PAL92,FORAM0    ,0,0,79.56,79.56,dominant IRD,G,D,,,,,,R,,,,,,,,,,,D,R,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R,,
323-U1341A-10H-CC-PAL-FORAM66   ,323,U1341,A,10,10-CC,H,CC,PAL,FORAM66   ,0,0,89.02,89.02,dominant IRD,G,A,,,,,,P,,,,,,,,,,,A,,,,,,,,,
323-U1341A-11H-CC-PAL-FORAM63   ,323,U1341,A,11,11-CC,H,CC,PAL,FORAM63   ,0,0,98.41,98.41,dominant IRD,G,A,,,,,,,,,,,,,,,,,F,F,,,,,,,,
323-U1341A-12H-CC-PAL-FORAM68   ,323,U1341,A,12,12-CC,H,CC,PAL,FORAM68   ,0,0,108.06,108.06,dominant IRD,,B,,,,,,,,,,,,,,,,,,,,,,,,,,
