Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data,Zone name,Zone name (short)
339-U1385A-1H-CC-PAL-FORAM,339,U1385,A,1,1-CC,H,CC,PAL,FORAM,0,5,1.39,1.44,B ,,G ,D ,A ,A ,R ,,P ,A ,,R ,,R ,R ,F ,,,,P ,,F ,,F ,P ,P ,,,,,,,,,,P ,,,,,,P ,F ,P ,F ,,,,,P ,,P ,,,,
339-U1385A-2H-CC-PAL-FORAM,339,U1385,A,2,2-CC,H,CC,PAL,FORAM,0,5,11.3,11.35,B ,,M ,D ,A ,F ,R ,,,A ,,R ,,P ,P ,F ,,,,P ,,A ,,F ,,,,,,,,,,,,R ,,P ,,,,P ,P ,,R ,P ,,,,,,P ,,,,
339-U1385A-3H-CC-PAL-FORAM,339,U1385,A,3,3-CC,H,CC,PAL,FORAM,0,5,20.87,20.92,B ,,M ,D ,A ,A ,F ,P ,R ,A ,R ,B ,,P ,P ,F ,,,,,,,,P ,R ,P ,,,,,,,,,,R ,P ,P ,,,,,A ,,F ,,,,,P ,,,,,,
339-U1385A-4H-CC-PAL-FORAM,339,U1385,A,4,4-CC,H,CC,PAL,FORAM,0,5,30.66,30.71,B ,,G ,D ,A ,P ,,,,F ,,,,,R ,,,,,P ,,A ,,P ,,,,,,,,,,,,,,P ,P ,,,P ,F ,,F ,,,,,,,P ,,,,
339-U1385A-5H-CC-PAL-FORAM,339,U1385,A,5,5-CC,H,CC,PAL,FORAM,0,5,39.92,39.97,B ,,G ,D ,A ,P ,,,,R ,P ,,,,R ,,,,,,,F ,,,,,,,,,,,,,,P ,,P ,P ,,,F ,R ,,R ,,,,,P ,,F ,,,,
339-U1385A-6H-CC-PAL-FORAM,339,U1385,A,6,6-CC,H,CC,PAL,FORAM,0,5,49.43,49.48,B ,,M ,D ,F ,F ,,,,A ,,,,,A ,P ,P ,,,,,,,P ,,,,,,,,,,,,R ,P ,,,,,,D ,,F ,,,,,,,P ,,,,
339-U1385A-7H-CC-PAL-FORAM,339,U1385,A,7,7-CC,H,CC,PAL,FORAM,0,5,58.71,58.76,B ,,M ,D ,F ,P ,P ,B ,,F ,,,,P ,P ,,,,,,,,,,P ,,,,,,,,,,,P ,,,,,,,D ,P ,R ,,,,,,,,,,,
339-U1385A-8H-CC-PAL-FORAM,339,U1385,A,8,8-CC,H,CC,PAL,FORAM,0,6,68.58,68.64,B ,,M ,D ,D ,F ,R ,,,R ,,,B ,P ,P ,P ,P ,,,,,,,P ,P ,,,,,,,,,,,P ,,,,,,,D ,P ,R ,,P ,,,,,P ,,,,
339-U1385A-9H-CC-PAL-FORAM,339,U1385,A,9,9-CC,H,CC,PAL,FORAM,0,5,77.78,77.83,B ,,M ,D ,A ,P ,,,,F ,,,,R ,R ,R ,,,,,,,,P ,P ,,,,,,,,,,,R ,P ,,,,,P ,A ,R ,F ,,,,,,,P ,,,,
339-U1385A-10H-CC-PAL-FORAM,339,U1385,A,10,10-CC,H,CC,PAL,FORAM,0,5,87.73,87.78,B ,,G ,D ,A ,P ,,,,F ,,,,P ,R ,R ,,,,,,,,P ,P ,,,,,,,,,,,R ,P ,,,,,,F ,R ,A ,,,,,,,R ,,,,
