Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Braarudosphaera bigelowii,Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (>8 micron),Calcidiscus leptoporus (5-8 microns),Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus spp. azorinus,Coccolithus pelagicus spp. braarudii,Coccolithus pelagicus ssp. pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster gr. variabilis,Discoaster hamatus,Discoaster intercalaris,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Emiliania huxleyi (<5 microns),Emiliania huxleyi (>5 microns),Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa caribbeanica,medium Gephyrocapsa group,Gephyrocapsa oceanica (>5 micron),Gephyrocapsa oceanica (<5 micron),Gephyrocapsa omega,Gephyrocapsa spp. (<3 microns),Helicosphaera acuta,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera mediterranea,Helicosphaera pavimentum,Helicosphaera sellii,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Minylitha convallis,Oolithotus spp.,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra antarctica,Reticulofenestra asanoi (>6 microns),Reticulofenestra asanoi (<6 microns),Reticulofenestra cisnerosii,Reticulofenestra haqii,Reticulofenestra minuta (<3 microns),Reticulofenestra minuta,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5-7 microns),Reticulofenestra rotaria,Rhabdosphaera spp.,Scyphosphaera apsteinii,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus neoabies,Syracosphaera spp.,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,File Data,
339-U1387B-1H-CC-PAL-NANNO,339,U1387,B,1,1-CC,H,CC,PAL,NANNO,0,5,8.87,8.92,G ,A ,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,C ,,,,C ,,,,C ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,
339-U1387B-2H-CC-PAL-NANNO,339,U1387,B,2,2-CC,H,CC,PAL,NANNO,0,5,18.66,18.71,G ,R ,,,,,R ,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,C ,,,,,,C ,,A ,,,F ,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,R ,,,,,,,,,
339-U1387B-3H-CC-PAL-NANNO,339,U1387,B,3,3-CC,H,CC,PAL,NANNO,0,5,28.09,28.14,G ,A ,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,C ,,A ,,,F ,,,,,,,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,,,F ,,,,,,F ,,,
339-U1387B-4H-CC-PAL-NANNO,339,U1387,B,4,4-CC,H,CC,PAL,NANNO,0,5,37.76,37.81,M-P ,A ,,,,,,,F ,F ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,R ,,,,,,C ,,A ,,,F ,,,,,,,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,,,F ,,,,,,F ,,,
339-U1387B-5H-CC-PAL-NANNO,339,U1387,B,5,5-CC,H,CC,PAL,NANNO,0,5,47.17,47.22,M-P ,VA ,,,,,R ,,,C ,,,,,,,,,,,C ,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,F ,,VA ,,,F ,,,,,,,,,,,,,,,,,,VA ,,,,,,R ,,,,,,,,,,,,F ,,,,,,R ,,,
339-U1387B-6X-CC-PAL-NANNO,339,U1387,B,6,6-CC,X,CC,PAL,NANNO,0,5,56.09,56.14,M-P ,C ,,,,,,,,R ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,C ,,C ,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,R ,,,,,,,,,
339-U1387B-7X-CC-PAL-NANNO,339,U1387,B,7,7-CC,X,CC,PAL,NANNO,0,5,64.13,64.18,M-P ,A ,,,,,,,,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,C ,,C ,,VA ,,,R ,,,,,,,,,,,F ,,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387B-8X-CC-PAL-NANNO,339,U1387,B,8,8-CC,X,CC,PAL,NANNO,0,5,75.04,75.09,G ,VA ,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA ,,,,,,R ,,,,,,,,,,,,,,,,,,,,,
339-U1387B-9X-CC-PAL-NANNO,339,U1387,B,9,9-CC,X,CC,PAL,NANNO,0,5,76.55,76.6,G ,A ,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,C ,C ,,C ,,A ,,,,,,,,,,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,,,R ,,,,,,R ,,,
339-U1387B-10X-CC-PAL-NANNO,339,U1387,B,10,10-CC,X,CC,PAL,NANNO,0,5,94.21,94.26,G ,VA ,,,,,,,,,,,F ,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,C ,,C ,,VA ,,,R ,,,,,,,,,,,,,,,,,,VA ,,,,,,,,,,,,,,,,,,C ,,,,,,F ,,,
