Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance, Circodiscus (Porodiscus) circularis, Cycladophora nakasekoi , Cycladophora sakaii, Lithelius barbatus, Lychnocanoma parallelipes,Acrobotrys tritubus,Acrosphaera spinosa,Actinomma delicatulum ,Actinomma leptodermum,Antarctissa denticulata,Anthocyrtidium angulare,Anthocyrtidium ophirense,Bortyostrobus auritus/australis,Botryostrobus aquilonaris,Botryostrobus miralestense,Calocycletta costata,Calocycletta virginis,Ceratospyris borealis,Cycladophora bicornis,Cycladophora davisiana ,Cyrtocapsella cornuta ,Cyrtocapsella japonica ,Cyrtocapsella tetrapera ,Dendrospyris?,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyocoryne profunda ,Dictyophimus bullatus,Dictyophimus hirundo ,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris ateuchus,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris simplex,Euchitonia furcata/elegans,Euchitonia triangulatum,Eucyrtidium asanoi,Eucyrtidium calvertense,Eucyrtidium diaphanes,Eucyrtidium inflatum,Eucyrtidium matuyamai ,Giraffospyris angulata ,Heliodiscus astericus,Hexacontium enthacanthus,Hymeniastrum euclidis ,Lamprocyclas junonis ,Lamprocyrtis hannai,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Larcopyle buetschlii,Liriospyris reticulata,Lithelius minor,Lithopera neotera,Lithopera renzae ,Lithopera thornbergi,Lychnocanoma nipponica magnacornuta,Lychnocanoma sakaii ,Octopyle/Tetrapyle Group,Phomostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Porodiscus (?) sp. B ,Prunopyle antartica,Pterocanium praetextum,Pterocanium prismatium,Pterocanium sp.,Pterocorys group,Pterocorys minythorax,Siphostichartus corona,Sphaeropyle langii,Sphaeropyle robusta ,Spongaster berminghami,Spongaster pentas,Spongaster tetras,Spongopyle osculosa,Spongurus (?) sp.,Spongurus cf. elliptica ,Spongurus pylomaticus,Stichocorys armata,Stichocorys delmontensis,Stichocorys diploconus,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wollfii,Stylacontarium acquilonium,Stylatractus universus,Stylochlamydium asteriscus ,Thecosphaera akitaensis,Thecosphaera japonica,Theocorys redondoensis,Theocorythium trachelium,Theocorythium vetulum,Tholospyris scaphipes,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
341-U1419C-3H-CC-PAL-RADS,0,5,21.06,21.11,B. aquilonaris [K07],Botyrostrobus aquilonaris,,P [P28],F [A81],,,,,,,,R [A82],R [A82],,,,,,,,,A [A82],R [A82],F [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,,R [A82],,,,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,341,U1419,C,3,H,CC,P
341-U1419C-4H-CC-PAL-RADS,0,5,31.33,31.38,B. aquilonaris [K07],Botyrostrobus aquilonaris,,P [P28],F [A81],,,,,,,,R [A82],F [A82],,,,,,,,,A [A82],R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,R [A82],,,,,,,,F [A82],,,,,,R [A82],,,,,,,,,,,F [A82],,R [A82],,,,,,,,,,,,,,,,,,,,,341,U1419,C,4,H,CC,P
341-U1419C-5H-CC-PAL-RADS,0,5,39.73,39.78,B. aquilonaris [K07],Botyrostrobus aquilonaris,,P [P28],F [A81],,,,,,,,,R [A82],,,,,,,,,F [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,R [A82],,,,,,F [A82],,,,,,,,,,,,,,,,,C [A82],,,,,,,,,,,,,,,,,,,,,,,341,U1419,C,5,H,CC,P
341-U1419C-6H-CC-PAL-RADS,0,5,49.27,49.32,B. aquilonaris [K07],Botyrostrobus aquilonaris,,P [P28],R [A81],,,,,,,,R [A82],,,,,,,,,,R [A82],R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A82],,,,,,,,F [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,C,6,H,CC,P
341-U1419C-7H-CC-PAL-RADS,0,3,53.51,53.54,B. aquilonaris [K07],Botyrostrobus aquilonaris,,M [P28],F [A81],,,,,,,,F [A82],R [A82],,,,,,,,,C [A82],R [A82],R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,R [A82],,,,,,,A [A82],,,,,,,,F [A82],,,,,,,,,,,,,,,,,C [A82],,,,,,,,,,,,,,,,,,,,,,,341,U1419,C,7,H,CC,P
341-U1419C-8H-CC-PAL-RADS,0,5,63.77,63.82,B. aquilonaris [K07],Botyrostrobus aquilonaris,,M [P28],F [A81],,,,,,,,R [A82],R [A82],,,,,,,,,A [A82],R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A82],,,,,,,,R [A82],,,,,,,,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,341,U1419,C,8,H,CC,P
341-U1419C-9H-CC-PAL-RADS,0,5,72.46,72.51,B. aquilonaris [K07],Botyrostrobus aquilonaris,,P [P28],R [A81],,,,,,,,R [A82],,,,,,,,,,F [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A82],,,,,,,,C [A82],,,,,,,,,,,,,,,,,R [A82],,,,,,,,,,,,R [A82],,,,,,R [A82],,,,,341,U1419,C,9,H,CC,P
341-U1419C-10H-CC-PAL-RADS,0,7,77.09,77.16,B. aquilonaris [K07],Botyrostrobus aquilonaris,,M [P28],F [A81],,,,,,,,,R [A82],,,,,,,,,A [A82],,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A82],,R [A82],,,,,,C [A82],,,,,,,,R [A82],,,,,,,,,R [A82],,,,,,,,,,,,,,,,,,R [A82],,,,,341,U1419,C,10,H,CC,P
341-U1419C-11H-cc-PAL-RADS,0,5,78.65,78.7,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],A [A81],,,,,,,,R [A82],F [A82],,,,,R [A82],,,,A [A82],C [A82],R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A82],,,,,,,,A [A82],,,,,,R [A82],,,,,,,,,,,R [A82],,R [A82],,,,,,,,,,R [A82],,,,,,C [A82],,,,,341,U1419,C,11,H,cc,P
341-U1419C-12H-CC-PAL-RADS,0,5,83.66,83.71,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],A [A81],,,,,,,,F [A82],,,,,,,,,,A [A82],,R [A82],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A82],,,,,,,,,A [A82],,,,,,,,C [A82],,,,,,,,R [A82],,,,,,,,,F [A82],,R [A82],,,,,,,,,,,,,,,,A [A82],,,,,341,U1419,C,12,H,CC,P
