Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Technitella sp.,Textularia pseudogramen,Textularia spp.,Textulariella spp.?,Tolypammina vagans,Trifarina angulosa,Trifarina bradyi,Trifarina fornasinii,Trifarina spp.,Triloculina sp. 1,Triloculina spp.,Triloculina tricarinata,Triloculinella obliquinodus,Tritaxa spp.,Tritaxis fusca,Trochammina bellingshauseni,Trochammina earlandi,Trochammina globigeriniformis,Trochammina spp.,Trochammina squammata,Trochamminoides spp.,Uvigerina auberiana,Uvigerina cf. auberiana,Uvigerina cf. hispida,Uvigerina cf. mexicana,Uvigerina cf. proboscidea,Uvigerina bradyana,Uvigerina elongatastriata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina peregrina,Uvigerina spp.,Uvigerinidae indet.,Vaginulina spp.,Vaginulinopsis spp.,Vaginulinidae indet.,Vaginulina subelegans,Valvulineria spp.,Verneuinulla spp.?,Virgulinella spp.,Vulvulina pennatula,Comment,File Data
339-U1390A-1H-CC-PAL-FORAM,339,U1390,A,1,1-CC,H,CC,PAL,FORAM,0,5,3.58,3.63,,,R ,,,,R ,,,,P ,,,,,,,,,,,,,,,,,,,,,P ,,,,P ,,,,,,,
339-U1390A-2H-CC-PAL-FORAM,339,U1390,A,2,2-CC,H,CC,PAL,FORAM,0,5,13.4,13.45,,,,,,R ,,,P ,,,P ,,,,,,,,,,,,,,,,,,P ,P ,,,,,P ,,,,,,,
339-U1390A-3H-CC-PAL-FORAM,339,U1390,A,3,3-CC,H,CC,PAL,FORAM,0,5,22.88,22.93,,,R ,,,R ,,,P ,,,,,,,,,,,,,,,,,P ,,,,,,R ,,,,,,R ,,,,,
339-U1390A-4H-CC-PAL-FORAM,339,U1390,A,4,4-CC,H,CC,PAL,FORAM,0,5,32.25,32.3,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,
339-U1390A-5H-CC-PAL-FORAM,339,U1390,A,5,5-CC,H,CC,PAL,FORAM,0,5,41.09,41.14,,P ,,,,P ,,,R ,,P ,,,,,,,,,,,,,,,,,,,,,A ,,,,,,,,,,,
339-U1390A-6H-CC-PAL-FORAM,339,U1390,A,6,6-CC,H,CC,PAL,FORAM,0,5,50.95,51.0,,,R ,,,R ,P ,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,,,,,,,,,
339-U1390A-7H-CC-PAL-FORAM,339,U1390,A,7,7-CC,H,CC,PAL,FORAM,0,5,61.22,61.27,,,,,,R ,P ,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,,,,,,,,,
339-U1390A-8H-CC-PAL-FORAM,339,U1390,A,8,8-CC,H,CC,PAL,FORAM,0,5,70.48,70.53,,,F ,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,,,,,,,,,
339-U1390A-9H-CC-PAL-FORAM,339,U1390,A,9,9-CC,H,CC,PAL,FORAM,0,5,76.65,76.7,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,
339-U1390A-10X-CC-PAL-FORAM,339,U1390,A,10,10-CC,X,CC,PAL,FORAM,0,5,84.32,84.37,,,R ,,,P ,,,,,,,,,,,,,,,,R ,P ,,,,,,,A ,,R ,,,,,,,,,,,
