Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Marginulina pediformis,Marginulina spp.,Marginulinopsis spp.,Marsipella elongata,Martinotiella bacillaris,Martinottiella communis,Martinottiella spp.,Massilina sp.,Melonis barleeanus,Melonis pompilioides,Melonis spp.,Melonis zaandamae,Miliammina spp.,Miliolid taxa (large),Miliolid taxa,Miliolinella sp.,Miliolinella subrotunda,Myllostomella cf. advena,Myllostomella fijiensis,Myllostomella spp.?,Neoconorbina spp.,Neoeponides spp.?,Neolenticulina variabilis,Neodiscorbinella rarescens,Nodosariidae indet.,Nodogenerina spp.,Nodosaria spp.,Nonion asterizans,Nonion commune,Nonion spp.,Nonionella cf. bradii,Nonionella labradorica,Nonionidae indet.,Nonionella spp.,Nonionella turgida,Nothia latissima,Nummoloculina contraria,Nuttallides sp,Oolina spp.,Operculina sp.,Oridorsalis spp.,Oridorsalis umbonatus,Orthomorphina challengeriana,Orthomorphina cf. jedlitschkai,Orthomorphina spp.,Osangularia sp.,Osangulariella? sp.,Pattelina corrugata,Parafissurina sp.,Parafissurina spp.,Pararotalia spp.,Paratrochamminoides spp.,Placopsilina confusa,Planulina ariminensis,Planulina sp.,Planoglabratella cf. opercularis,Planorbulina mediterranensis,Plectofrondicularia spp.,Pleurostomella alternans,Pleurostomella cf. alternans,Pleurostomellidae indet.,Pleurostomella recens,Pleurostomella spp.,Porosononion sp.,Praebulimina spp.,Praeglobobulimina ovata,Protelphidium sp.,Proxifrons inaequalis,Psammosphaera spp.,Pseudoclavulina spp.,Pseudoglandulina spp.,Pseudoglandulina spp.?,Pullenia bulloides,Pullenia quinqueloba,Pullenia spp.,Pyramidulina sp.,Pyrgo anomala,Pyrgo laevis,Pyrgo lucernula,Pyrgo murrinha,Pyrgo oblonga,Pyrgo spp.,Pyrgoella sphaera,Pyrgoella spp.?,Pyrulina? angusta,Comment,File Data
339-U1391C-2R-CC-PAL-FORAM,339,U1391,C,2,2-CC,R,CC,PAL,FORAM,0,5,345,345.05,,,,,,,,,,,,,,,,,,,P ,R ,,,,,,,,,,,,,,,,,,,,,,,,P ,P ,,,,,,,,,,,,,,P ,,,,,,,,,,,,P ,,,,,,,,,,,R ,,,,,
339-U1391C-3R-CC-PAL-FORAM,339,U1391,C,3,3-CC,R,CC,PAL,FORAM,0,5,354.48,354.53,,,,,,,,,P ,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,P ,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,R ,,,,,
339-U1391C-4R-CC-PAL-FORAM,339,U1391,C,4,4-CC,R,CC,PAL,FORAM,0,7,357.91,357.98,,,,,,,R ,,F ,P ,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,P ,,,,,P ,,,,,,,,,,,P ,,,,R ,,,,,,,,,P ,,,,,,P ,R ,,,,,,,P ,,,,,
339-U1391C-5R-CC-PAL-FORAM,339,U1391,C,5,5-CC,R,CC,PAL,FORAM,0,5,374.48,374.53,,,,,,,P ,,A ,R ,,,,,,,,,R ,,,,,,,,,,,P ,,,,,,,,,R ,,,,,P ,,,,,,,,,,,P ,,,,R ,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,
339-U1391C-6R-CC-PAL-FORAM,339,U1391,C,6,6-CC,R,CC,PAL,FORAM,0,5,377.32,377.37,,,,,,,P ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1391C-7R-CC-PAL-FORAM,339,U1391,C,7,7-CC,R,CC,PAL,FORAM,0,5,391.44,391.49,,,,,,,R ,,F ,P ,,,,,,,,,,R ,,,,,P ,,,,,,,,P ,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1391C-8R-CC-PAL-FORAM,339,U1391,C,8,8-CC,R,CC,PAL,FORAM,0,5,399.87,399.92,,,,,,,R ,,R ,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,R ,P ,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,
339-U1391C-10R-CC-PAL-FORAM,339,U1391,C,10,10-CC,R,CC,PAL,FORAM,0,5,419.55,419.6,,,,,,,F ,,R ,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1391C-12R-CC-PAL-FORAM,339,U1391,C,12,12-CC,R,CC,PAL,FORAM,0,5,441.6,441.65,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,P ,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,P ,,,,,,,,,,,,
339-U1391C-14R-CC-PAL-FORAM,339,U1391,C,14,14-CC,R,CC,PAL,FORAM,0,5,460.79,460.84,,,,,,,P ,,P ,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,
