Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Catapsydrax dissimilis,Catapsydrax unicavus,Globigerina bulloides,Globigerina ciperoensis,Globigerina parabulloides,Globigerina umbilicata,Globigerinita glutinata,Globigerinita uvula,Globoquadrina duterei,Globorotalia incisa,Globorotalia (Globoconella) praescitula,Globorotalia (Hirsutella) scitula,Globorotalia suterae,Neogloboquadrina atlantica atlantica,Neogloboquadrina atlantica praeatlantica,Neogloboquadrina dutertri subcretacea,Neogloboquadrina pachyderma (sin),Neogloboquadrina pachyderma(dex),Orbulina universa,Turborotalia quinqueloba,pc_fossil_group,physical_constituent_name,pc_fossil_name,pc_abundance_name_mode,pc_preservation_name_average,File Data
323-U1339B-1H-CC-PAL1-FORAM42   ,323,U1339,B,1,1-CC,H,CC,PAL1,FORAM42   ,0,0,3.91,3.91,abundant IRD,G [323_PF],A [323_PFs],,,,,,,,,,,,,,,,,P,F,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",D [323_PFs],,
323-U1339B-2H-CC-PAL3-FORAM53   ,323,U1339,B,2,2-CC,H,CC,PAL3,FORAM53   ,0,0,13.65,13.65,abundant IRD,G [323_PF],R [323_PFs],,,,,,,,,,,,,,,,,,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,
323-U1339B-3H-CC-PAL80-FORAM75   ,323,U1339,B,3,3-CC,H,CC,PAL80,FORAM75   ,0,0,23.36,23.36,few IRD,G [323_PF],A [323_PFs],,,,,,,,,,,,,,,,,,R,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",A [323_PFs],,
323-U1339B-4H-CC-PAL54-FORAM91   ,323,U1339,B,4,4-CC,H,CC,PAL54,FORAM91   ,0,0,32.91,32.91,abundant IRD,G [323_PF],A [323_PFs],,,,,,,,,,,,,,,,,P,F,,P,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",A [323_PFs],,
323-U1339B-5H-CC-PAL79-FORAM52   ,323,U1339,B,5,5-CC,H,CC,PAL79,FORAM52   ,0,0,42.17,42.17,"abundant IRD. Test are yellow, Fe coated?",G [323_PF],A [323_PFs],,,,,,P,,,,,,,,,,,P,R,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",D [323_PFs],,
323-U1339B-6H-CC-PAL53-FORAM2    ,323,U1339,B,6,6-CC,H,CC,PAL53,FORAM2    ,0,0,52.23,52.23,few IRD,G [323_PF],P [323_PFs],,,,,,,,,,,,,,,,,,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,
323-U1339B-7H-CC-PAL94-FORAM7    ,323,U1339,B,7,7-CC,H,CC,PAL94,FORAM7    ,0,0,61.5,61.5,few IRD,G [323_PF],F [323_PFs],,,,,,,,,,,,,,,,,P,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",F [323_PFs],,
323-U1339B-8H-CC-PAL33-FORAM45   ,323,U1339,B,8,8-CC,H,CC,PAL33,FORAM45   ,0,0,70.85,70.85,abundant IRD,G [323_PF],P [323_PFs],,,,,,,,,,,,,,,,,,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,
323-U1339B-9H-CC-PAL37-FORAM50   ,323,U1339,B,9,9-CC,H,CC,PAL37,FORAM50   ,0,0,80.37,80.37,abundant IRD,G [323_PF],P [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1339B-10H-CC-PAL18-FORAM41   ,323,U1339,B,10,10-CC,H,CC,PAL18,FORAM41   ,0,0,89.88,89.88,dominant IRD. Rock fragment >1cm,G [323_PF],R [323_PFs],,,,,,,,,,,,,,,,,,P,,P,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,
