Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Actinomma boreale,Actinomma medianum,Amphimelissa setosa,Axoprunum acquilonium,Botryostrobus aquilonaris,Ceratospyris borealis,Collosphaera pyloma,Cycladophora cornutoides,Cycladophora cosma,Cycladophora davisiana,Cycladophora sakaii,Cyrtocapsella japonica,Dendrospyris sakaii,Dictyophimus bullatus,Dictyophimus hirundo,Eucyrtidium asanoi,Eucyrtidium inflatum,Eucyrtidium matuyamai,Lamprocyrtis heteroporos,Larcopyle buetschlii,Lipmanella redondoensis,Lithelius barbatus,Lychnocanomma magnacornuta,Lychnocanomma nipponica sakaii,Lychnocanomma parallelipes,Phormostichoartus fistula,Porodiscus circularis,Sphaeropyle langii/robusta group,Spongodiscus sp.,Spongopyle osculosa,Spongotrochus glacialis,Spongurus pylomaticus,Stichocorys delmontensis,Stichocorys peregrina,Stylatractus universus,Stylochlamydium venustum,Stylodictya validispina,Thecosphaera akitaensis,physical_constituent_name,pc_fossil_name,pc_fossil_group,pc_abundance_name_mode,pc_preservation_name_average,File Data,Zone name,Zone name (short)
323-U1340C-1H-CC-PAL-RADS68    ,323,U1340,C,1,1-CC,H,CC,PAL,RADS68    ,0,0.00 ,9.75,9.75,,G [323_Rs],A [323_Rs],F,,,,,C,,,,A,,,,,C,,,,,,,,,C,,,,,F,,,,,,,C,C,,,,,,,,,
323-U1340C-2H-CC-PAL-RADS85    ,323,U1340,C,2,2-CC,H,CC,PAL,RADS85    ,0,0.00 ,19.47,19.47,,G [323_Rs],C [323_Rs],,,,,,C,,,,F,,,,,F,,,,,F,,,,C,,,,,,,F,,,,,F,F,,,,,,,,,
323-U1340C-3H-CC-PAL-RADS73    ,323,U1340,C,3,3-CC,H,CC,PAL,RADS73    ,0,0.00 ,28.98,28.98,,G [323_Rs],C [323_Rs],F,,F,,,C,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,F,F,,,,,,,,,
