Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data
339-U1386C-2R-CC-PAL-FORAM,339,U1386,C,2,2-CC,R,CC,PAL,FORAM,0,5,168.76,168.81,,,G ,D ,A ,F ,,,,F ,,,,P ,R ,,,,,,,,,P ,R ,,,,,,,,,,,R ,P ,,,,,,F ,,F ,,P ,,,,,F ,,
339-U1386C-4R-CC-PAL-FORAM,339,U1386,C,4,4-CC,R,CC,PAL,FORAM,0,5,213.86,213.91,,,G ,D ,A ,A ,,P ,,F ,,,,R ,F ,,,,,,,,,,P ,,,,,,,,,,,R ,,,,,,,F ,,F ,,,,,,,P ,,
339-U1386C-5W-CC-PAL-FORAM,339,U1386,C,5,5-CC,W,CC,PAL,FORAM,0,5,218.37,218.42,,,M ,D ,A ,A ,,,,F ,,,,R ,R ,,,,,,,,,P ,P ,,,,,,,,,,,R ,,,,,,,F ,,,,,,,,,P ,,
339-U1386C-6R-CC-PAL-FORAM,339,U1386,C,6,6-CC,R,CC,PAL,FORAM,0,5,406.38,406.43,,,M ,R ,A ,A ,,,,F ,,,,P ,,,,,,,,,,P ,R ,P ,,,,,,,,,,,,,,F ,,,F ,,R ,,,,,,,P ,,
339-U1386C-7R-CC-PAL-FORAM,339,U1386,C,7,7-CC,R,CC,PAL,FORAM,0,5,421.7,421.75,,,G ,P ,A ,F ,,,,F ,,,,B ,,,,,,,,,,,P ,P ,,,,,,,,,,,,,,R ,,,A ,,,,,,,,,P ,,
339-U1386C-8R-CC-PAL-FORAM,339,U1386,C,8,8-CC,R,CC,PAL,FORAM,0,5,426.03,426.08,,,G ,A ,F ,P ,,,,R ,,,,,P ,,,,,,,,,,P ,,,,,,,,,,,P ,,,,R ,,,D ,P ,B ,,,,,,,R ,,
339-U1386C-9R-CC-PAL-FORAM,339,U1386,C,9,9-CC,R,CC,PAL,FORAM,0,5,438.5,438.55,,,G ,D ,A ,P ,,,,F ,,,,P ,,,,,,,,,,,P ,,,,,,,,,,,P ,,,,P ,,,F ,A ,R ,,,,,,,R ,,
339-U1386C-10R-CC-PAL-FORAM,339,U1386,C,10,10-CC,R,CC,PAL,FORAM,0,5,451.59,451.64,,,G ,P ,A ,F ,,,,A ,,,R ,P ,,,,,,P ,,,,,,,,,,,,,,,,,,,,R ,,,F ,P ,F ,,,,,,,,small pebbles; shell fragments,
339-U1386C-11R-1-W 31/33-PAL-FORAM,339,U1386,C,11,11-1,R,1,W,31/33-PAL-FORAM,0,31,453.21,453.52,,,G ,D ,A ,R ,,,,A ,,,,,,,,,,,,,,P ,P ,,,,,,,,,,,P ,,,,,,,A ,,R ,,,,,,,,,
339-U1386C-11R-CC-PAL-FORAM,339,U1386,C,11,11-CC,R,CC,PAL,FORAM,0,5,454.03,454.08,,,G ,D ,A ,P ,,,,F ,,,,,,,,,,,,,,,R ,,,,,,,,,,,P ,,,,,,,D ,,R ,,,,,,,P ,pyritic molds of diatoms,
