Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data,
339-U1389E-2R-CC-PAL-FORAM,339,U1389,E,2,2-CC,R,CC,PAL,FORAM,0,6,337.33,337.39,B ,,G ,F ,A ,F ,,,,R ,,,P ,P ,R ,,,,,P ,,,,R ,,,,,,,,,,,,,,,,,,,A ,P ,R ,,,,,,,P ,,,
339-U1389E-3R-CC-PAL-FORAM,339,U1389,E,3,3-CC,R,CC,PAL,FORAM,0,5,344.32,344.37,B ,,G ,R ,A ,R ,,,,A ,,,,,R ,,,,P ,,,,,R ,P ,,,,,,,,,,,,,,,,,,F ,R ,,P ,,,,,,,,,
339-U1389E-4R-CC-PAL-FORAM,339,U1389,E,4,4-CC,R,CC,PAL,FORAM,0,5,352.64,352.69,B ,,G ,D ,A ,P ,,,,R ,,,,,P ,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,A ,R ,,,,,,,,P ,,,
339-U1389E-5R-CC-PAL-FORAM,339,U1389,E,5,5-CC,R,CC,PAL,FORAM,0,5,362.54,362.59,B ,,G ,D ,A ,F ,,,,A ,,,P ,,R ,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,F ,P ,R ,,,,,,,P ,,,
339-U1389E-6R-1-W 60/62-7438-FORAM,339,U1389,E,6,6-1,R,1,W,60/62-7438-FORAM,0,2,368.6,368.62,B ,,G ,D ,A ,R ,,,,F ,,,,P ,R ,,,,,,,,,P ,P ,,,,,,,,,,,P ,,,,,,,A ,P ,P ,,,,,,,R ,,,
339-U1389E-6R-CC-PAL-FORAM,339,U1389,E,6,6-CC,R,CC,PAL,FORAM,0,5,369.49,369.54,B ,,G ,D ,A ,F ,,R ,,F ,,,,P ,R ,,,,,,,,,R ,P ,,,,,,,,,,,,,,,,,,F ,,R ,,,,,,,,,,
339-U1389E-7R-1-PAL-FORAM,339,U1389,E,7,7-1,R,1,PAL,FORAM,0,5,377.61,377.66,B ,,M ,F ,F ,F ,,F ,,R ,,,,,F ,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,R ,,P ,P ,P ,,,,,,,,
339-U1389E-8R-CC-PAL-FORAM,339,U1389,E,8,8-CC,R,CC,PAL,FORAM,0,6,391.54,391.6,B ,,G ,F ,A ,F ,,,,R ,,,,P ,P ,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,A ,,P ,,,,,,,,,,
339-U1389E-9R-CC-PAL-FORAM,339,U1389,E,9,9-CC,R,CC,PAL,FORAM,0,5,402.65,402.7,B ,,G ,F ,A ,R ,,,P ,A ,,,,P ,,,,,,,,,,F ,P ,P ,,,,,,,,,,,,,,R ,,,A ,,P ,,,,,,,P ,,,
339-U1389E-10R-CC-PAL-FORAM,339,U1389,E,10,10-CC,R,CC,PAL,FORAM,0,7,408.1,408.17,B ,,G ,D ,A ,R ,,,P ,A ,,,,,P ,,,,,,,,,,P ,P ,,,,,,,,,,,,,,R ,,,F ,,R ,,,,,,,,,,
