Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,Preservation,Group abundance,Bolivina sp.,Alabamina dissonata,Alabamina cf. dissonata,Alabamina sp.,Anomalina praeacuta,Anomalina sp.,Anomalinoides semicribratus,Anomalinoides sp.,Arenobulimina ?,Astacolus parallelus,Astacolus sp.,Bathysiphon sp.,Bulbobaculites ?,Bulimina sp.,Bulimina thanetensis,Buliminella sp.,Cancris ?,Cassidulina subglobosa,Chrysalogonium sp.,Cibicidoides subspiratus,Cibicidoides aff. laurisae,Cibicidoides eocaenus,Cibicidoides cf. eocaenus,Cibicidoides cf. havanensis,Cibicidoides grimsdalei,Cibicidoides havanensis ,Cibicidoides kullenbergi,Cibicidoides praemundulus,Gaudryina pyramidata,Cibicidoides sp.,Gavelinella sp.,Gavelinella hyphalus,Dentalina sp.,Dorothia trochoides,Eggerella bradyi,Eggerella sp.,Ellipsodimorphina macrocephala,Ellipsodimorphina spp.,Ellipsoidella  sp.,Epistominella sp.,Epistominella umbonifera ?,Eponides regularis,Eponides sp.,Fissurina sp.,Globobulimina sp.,Globobulimina pacifica,Globocassidulina globosa,Glomospira sp. ,Guttulina sp.,Gyroidina sp. ,Gyroidinoides globosus,Gyroidinoides spp.,Hoeglundina ?,Kalamopsis (?) ,Karreriella sp. ,Laevidentalina sp.,Lagena sp.,Laticarinina pauperata,Lenticulina cf. adenalensis,Lenticulina sp.,Melonis pompilioides,Melonis sp.,Neoeponides procerus,Neoeponides sp.,Neoflabellina sp.,Nuttallides truempyi,Nodosaria aspera,Nodosaria sp.,Nonion spp.,Oridorsalis sp. ,Oridorsalis umbonatus,Plectofrondicularia cf. kerni,Plectofrondicularia lirata,Pleurostomella acuta,Paralabamina hillebrandti,Pleurostomella tenuis,Pleurostomella sp. ,Polymorphina sp.,Pullenia bulloides,Pleurostomella paleocenica,Pullenia cf. jarvisis,Pullenia quinqueloba,Pyramidulina sp.,Pyrgo sp.,Pyrulina sp.,Quinqueloculina sp.,Saracenaria sp.,Spiroplectammina spectabilis,Spiroloculina depressa,Spiroplectammina sp.,Stilostomella gracillima,Stilostomella lepidula,Stilostomella paleocenica,Stilostomella sp. ,Stilostomella subspinosa,Strictocostella scharbergana,Tritaxia sp.,Trochammina sp.,Turrilina sp.,Uvigerina sp. ,Uvigerina elongata,Valvulina spinosa?,Others,Comments,File Data
342-U1405A-1H-CC-PAL,342,U1405,A,1,1-CC,H,CC,PAL,,0,5,6.15,6.2,6.2,G [P21],P [A60],,,,P [A21],,,,P [A21],,,,,,,,,,,,,,,,F [A21],,F [A21],F [A21],,,P [A21],,,P [A21],,F [A21],,,,,,,F [A21],,,,,F [A21],,,,,P [A21],,,,F [A21],F [A21],F [A21],,,P [A21],P [A21],,,,,,,,F [A21],,,,,,,,,F [A21],,P [A21],,,P [A21],,,,,,F [A21],,,,,P [A21],,,,,,,,P [A21],,
342-U1405A-2H-CC-PAL,342,U1405,A,2,2-CC,H,CC,PAL,,0,5,16.1,16.15,16.1,G [P21],P [A60],,,,,,,,,,,,,,,,,,,,,,,,P [A21],,,,,,F [A21],,,,,,,,,,,,,,,,,,,,,,F [A21],,,,,,,,,,,P [A21],,,,,,,P [A21],F [A21],,,,,,,,,,P [A21],,,,,,,,,,,,,,,,,,,,,,,,
342-U1405A-3H-CC-PAL,342,U1405,A,3,3-CC,H,CC,PAL,,0,5,25.69,25.74,25.7,,P [A60],,,,,,,,,,,,D [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1405A-4H-2-W 100/102-FORAM,342,U1405,A,4,4-2,H,2,W,100/102-FORAM,0,2,27.7,27.72,27.7,G [P21],P [A60],,,,,,,,,,,,,,,,,,A [A21],P [A21],,,,,,,,,,,,,,,,,,,,,,F [A21],,,P [A21],,,,,,,,A [A21],,,,,,,,,,,,,,,,,,F [A21],,,,,,,,,,,,F [A21],,,,,,,,,,,,,F [A21],,,,,,,,,,
342-U1405A-4H-6-W 100/102-FORAM,342,U1405,A,4,4-6,H,6,W,100/102-FORAM,0,2,33.7,33.72,33.7,G [P21],P [A60],,,,,,,,,,,,,,,,,,P [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A21],,,,,,,,,,,,,,,,,,,,,,,P [A21],,,,,,,,,,"few specimens, so all rated present",
342-U1405A-4H-CC-PAL,342,U1405,A,4,4-CC,H,CC,PAL,,0,5,35.26,35.31,35.3,G [P21],P [A60],,,,,,,,,,,,,,,,,,P [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A21],,,,,,,,,,,,,,,,,,,,,,P [A21],,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1405A-5H-2-W 110/112-FORAM,342,U1405,A,5,5-2,H,2,W,110/112-FORAM,0,2,37.3,37.32,37.3,VG [P21],P [A60],,,,,,P [A21],,P [A21],,,,,,,,,,,,,,,,,,,,,,,,,P [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A21],,,P [A21],,,,,,,,,P [A21],,,,P [A21],,,,,,,,,"few specimens, so all rated present",
342-U1405A-5H-4-W 110/112-FORAM,342,U1405,A,5,5-4,H,4,W,110/112-FORAM,0,2,40.3,40.32,40.3,G [P21],P [A60],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A21],"few specimens, so all rated present",
342-U1405A-5H-6-W 110/112-FORAM,342,U1405,A,5,5-6,H,6,W,110/112-FORAM,0,2,43.3,43.32,43.3,G [P21],F [A60],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A21],P [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A21],,,,,,,,,,,,,,,P [A21],,,,,,,,,,"few specimens, so all rated present",
342-U1405A-5H-CC-PAL,342,U1405,A,5,5-CC,H,CC,PAL,,0,5,44.62,44.67,44.6,M [P21],P [A60],,,,,,,,,,,,P [A21],,,,,,,,,,,,,,,,,,P [A21],,,,,,,,,,,P [A21],,,,,,,,,,,P [A21],,D [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
