Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Calcidiscus leptoporus,Calcidiscus leptoporus (small 3-5 um),Calcidiscus macintyrei (>11 um),Calcidiscus premacintyrei (> 9 microns),Catinaster calyculus,Catinaster coalitus,Catinaster spp.,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus braarudii,Coronocyclus nitescens,Cyclicargolithus floridanus,Dictyococcites spp. (small),Dictyococcites spp. (medium),Discoaster berggrenii,Discoaster brouweri,Discoaster deflandrei,Discoaster hamatus,Discoaster kugleri,Discoaster pentaradiatus,Discoaster quinqueramus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster sp.,Emiliania huxleyi,Gephyrocapsa sp. (large),Gephyrocapsa sp. medium,Gephyrocapsa spp. (small),Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera sellii,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra minuta,Reticulofenestra minutula (3-5 microns),Reticulofenestra pseudoumbilica(5-7microns),Reticulofenestra pseudoumbilica (>7microns),Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus sp.,Triquetrorhabdulus rugosus,Triquetrorhabdulus sp.,comments,,
323-U1340D-1H-CC-PAL-NANNO43   ,323,U1340,D,1,1-CC,H,CC,PAL,NANNO43   ,0,0,7.19,7.19,M-P [323_Na],A [323_Na],,,,,,,,,,,A [323_Na],,,,,,,,,,,,,,,,,,F [323_Na],,,,,,,,,,,,,,,,,,,,large (>4 microns) and small (<4 microns) spec of E. huxleyi,,
323-U1340D-2H-CC-PAL-NANNO48   ,323,U1340,D,2,2-CC,H,CC,PAL,NANNO48   ,0,0,17.11,17.11,M-P [323_Na],F [323_Na],,,,,,,,,,,F [323_Na],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340D-3H-CC-PAL-NANNO53   ,323,U1340,D,3,3-CC,H,CC,PAL,NANNO53   ,0,0,26.73,26.73,G [323_Na],A [323_Na],,,,,,,,,,,A [323_Na],,,,,,,,,,,,,,,,,,F [323_Na],,A [323_Na],D [323_Na],,,,,,,,,,,,,,,,,more than 50 spc/FOV,,
