dupes and comments,Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Acuturris scotus,Ahmuellerella regularis,Algirosphaera robusta,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Arkhangelskiella confusa,Arkhangelskiella cymbiformis,Arkhangelskiella maastrichtiana,Biantholithus sparsus,Biantholithus? flosculus,Biscutum coronum,Biscutum magnum,Blackites amplus bases,Blackites creber,Blackites gladius,Blackites herculesii,Blackites inflatus,Blackites perlongus,Blackites spinosus,Blackites tenuis,Bomolithus elegans,Bomolithus megastypus,Bomolithus supremus,Braarudosphaera bigelowii,Bramletteius serraculoides,Broinsonia parca constricta,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus pacificanus,Calcidiscus premacintyrei,Calcidiscus protoannulus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia aperta,Calciosolenia brasiliensis,Calciosolenia fossilis,Calciosolenia murrayi,calcispheres,Calculites obscurus,Campylosphaera dela,Catinaster calyculus,Catinaster coalitus,Catinaster mexicanus,Ceratolithoides kamptneri,Ceratolithoides spp.,Ceratolithoides ultimus,Ceratolithus acutus,Ceratolithus armatus (acutus),Ceratolithus atlanticus,Ceratolithus cristatus,Ceratolithus cristatus (rugosus),Ceratolithus cristatus var. telesmus,Ceratolithus larrymayeri,Ceratolithus rugosus,Chiasmolithus altus,Chiasmolithus bidens,Chiasmolithus californicus (>13µm),Chiasmolithus consuetus,Chiasmolithus danicus,Chiasmolithus expansus,Chiasmolithus gigas,Chiasmolithus grandis,Chiasmolithus nitidus,Chiasmolithus oamaruensis,Chiasmolithus solitus,Chiasmolithus titus,Chiastozygus amphipons,Chiastozygus litterarius,Chiphragmolithus acanothodes,Chiphragmolithus armatus,Chiphragmolithus barbatus,Chiphragmolithus calathus,Clausicoccus fenestratus,Clausicoccus fenestratus (subdist),Clausicoccus subdistichus,Clausicoccus vanheckiae,Coccolithus bownii,Coccolithus cachaoi,Coccolithus eopelagicus ( >14µm),Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Corollithion completum,Corollithion exiguum,Coronocyclus nitescens,Coronocyclus nitescens (elliptical),Cretarhabdus conicus,Cribrocorona gallica,Cribrosphaerella daniae,Cribrosphaerella ehrenbergii,Cruciplacolithus asymmetricus,Cruciplacolithus cruciformis,Cruciplacolithus edwardsii,Cruciplacolithus frequens,Cruciplacolithus intermedius,Cruciplacolithus latipons,Cruciplacolithus primus,Cryptococcolithus mediaperforate,Cyclagelosphaera reinhardtii,Cyclicargolithus abisectus,Cyclicargolithus abisectus (11 µm),Cyclicargolithus floridanus,Cyclicargolithus floridanus (5-11µm),Cyclicargolithus floridanus small (<5µm),Cyclicargolithus? luminis,Cylindralithus echinus,Cylindralithus nudus,Cylindralithus serratus,Daktylethra punctulata,Dictyococcites antarcticus,Dictyococcites bisectus,Dictyococcites bisectus (>10 µm),Dictyococcites scrippsae (<10µm),Discoaster altus,Discoaster anartios,Discoaster araneus,Discoaster asymmetricus,Discoaster backmanii,Discoaster barbadiensis,Discoaster bellus,Discoaster bergenii,Discoaster berggrenii,Discoaster bifax,Discoaster binodosus,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster deflandrei,Discoaster delicatus,Discoaster diastypus,Discoaster distinctus,Discoaster druggii,Discoaster exilis,Discoaster falcatus,Discoaster hamatus,Discoaster kuepperi,Discoaster kugleri,Discoaster lenticularis,Discoaster lodoensis,Discoaster loeblichii,Discoaster mahmoudii,Discoaster mediosus,Discoaster mohleri,Discoaster multiradiatus,Discoaster musicus,Discoaster neorectus,Discoaster nodifer,Discoaster ornatus,Discoaster pacificus,Discoaster paelikei,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster saipanensis,Discoaster salisburgensis,Discoaster sp.,Discoaster spp.,Discoaster sublodoensis,Discoaster surculus,Discoaster tamalis,Discoaster tanii,Discoaster triradiatus,Discoaster variabilis,Discoaster wemmelensis,Discorhabdus ignotus,Discosphaera tubifera,Eiffellithus eximius,Eiffellithus turriseiffelii,Ellipsolithus anadoluensis,Ellipsolithus distichus,Ellipsolithus macellus,Emiliania huxleyi,Ericsonia robusta,Ericsonia robusta (small),Ericsonia subpertusa,Fasciculithus alanii,Fasciculithus clinatus,Fasciculithus involutus,Fasciculithus lilianae,Fasciculithus magnus,Fasciculithus pileatus,Fasciculithus richardii,Fasciculithus shaubii,Fasciculithus spp.,Fasciculithus tympaniformis,Fasciculithus ullii,Florisphaera profunda,Futyania petalosus,Gartnerago segmentatum,Gephyrocapsa (<4 µm),Gephyrocapsa (>4 µm),Gephyrocapsa (>5.5 µm),Gephyrocapsa aperta,Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa muellerae,Gephyrocapsa oceanica,Gephyrocapsa omega,Gephyrocapsa sinuosa,Gephyroscapsa lumina,Girgisia gammation,Gladiolithus flabellatus,Goniolithus fluckigeri,Gorkaea pseudoanthophorus,Hayaster perplexus,Hayella challengeri,Hayella situliformis,Helicolithus anceps,Helicolithus trabeculatus,Helicosphaera ampliaperta,Helicosphaera bramlettei,Helicosphaera carteri,Helicosphaera clarissima,Helicosphaera compacta,Helicosphaera ethologa,Helicosphaera euphratis,Helicosphaera gartneri,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera heezenii,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera lophota,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera neogranulata,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera pavimentum,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera reticulata,Helicosphaera scissura,Helicosphaera sellii,Helicosphaera seminulum,Helicosphaera sp.,Helicosphaera spp.,Helicosphaera stalis,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Helicosphaera waltrans,Helicosphaera wilcoxonii,Heliolithus cantabriae,Heliolithus kleinpellii,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Isthmolithus recurvus,Jakubowskia leoniae,Lanternilithus duocavus,Lanternithus minutus,Lapideacassis sp.,Lithraphidites carniolensis,Lithraphidites quadratus,Lophodolithus acutus,Lophodolithus mochlophorus,Lophodolithus nascens,Lophodolithus reniformis,Lophodolithus rotundus,Loxolithus armilla,Manivitella pemmatoidea,Markalius apertus,Markalius inversus,Micrantholithus attenuatus,Micrantholithus flos,Microrhabdulus spp.,Micula murus,Micula praemurus,Micula prinsii,Micula staurophora,Micula swastika,Minylitha convallis,Misceomarginatus pleniporus,Monomarginatus quaternarius,Nannotetrina  fulgens,Nannotetrina cristata,Neobiscutum spp.,Neochiastozygus junctus,Neochiastozygus modestus,Neochiastozygus perfectus,Neochiastozygus rosenkrantzii,Neochiastozygus saepes,Neococcolithes dubius,Neococcolithes protenus,Neocrepidolithus cruciatus,Neocrepidolithus dirimosus,Neocrepidolithus fossus,Neocrepidolithus neocrassus,Nephrolithus frequens,Nephrolithus miniporus,Nicklithus amplificus,Octolithus multiplus,Oolithotus fragilis,Orastrum campanensis,Orthorhabdus serratus,Pedinocyclus larvalis,Pemma basquense,Pemma papillatum,Perchnielsenella stradneri,Petrarhabdus copulatus,Placozygus fibuliformis,Pontosphaera discopora,Pontosphaera exilis,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera plana,Pontosphaera syracusana,Pontosphaera versa,Prediscosphaera cretacea,Prediscosphaera grandis,Prediscosphaera spinosa,Prediscosphaera stoveri,Prinsius bisulcus,Prinsius martinii,Prinsius tenuiculus,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Pseudomicula quadrata,Pseudotriquetrorhabdulus inversus,Reinhardtites anthophorus,Reinhardtites levis,Retecapsa angustiforata,Retecapsa crenulata,Retecapsa schizobrachiata,Retecapsa surirella,Reticulofenestra asanoi,Reticulofenestra daviesii,Reticulofenestra dictyoda  (10-14µm),Reticulofenestra dictyoda  (3-10µm),Reticulofenestra haqii,Reticulofenestra lockeri,Reticulofenestra minuta,Reticulofenestra minuta (<3µm),Reticulofenestra minutula,Reticulofenestra productella,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus   (>7µm),Reticulofenestra pseudoumbilicus  (5-7µm),Reticulofenestra reticulata,Reticulofenestra rotaria,Reticulofenestra small,Reticulofenestra umbilicus (>14µm),Rhabdosphaera clavigera,Rhabdosphaera poculii,Rhabdosphaera stylifera,Rhagodiscus angustus,Rhagodiscus indistinctus,Rhagodiscus reniformis,Rhomboaster bramlettei,Rhomboaster calcitrapa,Rhomboaster cuspis,Rhomboaster spp.,Rucinolithus magnus,Scyphosphaera apsteinii,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera globulata,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera pulcherrima,Scyphosphaera ventriosa,Semihololithus biskayae,Seribiscutum primitivum,small Gephyrocapsa (<4µm),Solidopons petrae,Sphenolithus abies,Sphenolithus akropodus,Sphenolithus anarrhopus,Sphenolithus arthurii,Sphenolithus belemnos,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus conspicuus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus distentus,Sphenolithus editus,Sphenolithus furcatolithoides,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus obtusus,Sphenolithus orphanknollensis,Sphenolithus predistentus,Sphenolithus pseudoradians,Sphenolithus radians,Sphenolithus runus,Sphenolithus spiniger,Sphenolithus spp.,Sphenolithus strigosus,Sphenolithus tribulosus,Sphenolithus verensis,Sphenolithus villae,Staurolithites spp.,Syracolithus schilleri,Syracosphaera histrica,Syracosphaera lamina,Syracosphaera pulchra,Tegumentum stradneri,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Tetrapodorhabdus decorus,Tortolithus caistorensis,Toweius callosus,Toweius crassus,Toweius eminens,Toweius magnicrassus,Toweius occultatus,Toweius pertusus,Toweius serontinus,Tranolithus minimus,Tranolithus orionatus,Tribrachiatus contortus,Tribrachiatus digitalis,Tribrachiatus orthostylus,Triquetrorhabdulus carinatus,Triquetrorhabdulus challengeri,Triquetrorhabdulus extensus,Triquetrorhabdulus finifer,Triquetrorhabdulus milowii,Triquetrorhabdulus rioi,Triquetrorhabdulus rugosus,Triquetrorhabdulus sp. (long needle like),Triquetrorhabdulus sp. (long),Triquetrorhabdulus striatus,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera bramlettei,Umbilicosphaera foliosa,Umbilicosphaera hulburtiana,Umbilicosphaera jafari,Umbilicosphaera jordanii,Umbilicosphaera rotula,Umbilicosphaera sibogae,Uniplanarius gothicus,Uniplanarius trifidus,Watznaueria barnesiae,Zeugrhabdotus bricresenticus,Zeugrhabdotus embergeri,Zeugrhabdotus sigmoides,Zygodiscus plectopons,Zygrhablithus bijugatus,Comments,File Data,Ship File Links,Shore File Links,Zone name,Zone name (short)
,344-U1413C-2R-CC-PAL-NANNO,344,U1413,C,2,2-CC,R,CC,PAL,NANNO,0,5,185.04,185.09,M [P07],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,344-U1413C-3R-CC-PAL-NANNO,344,U1413,C,3,3-CC,R,CC,PAL,NANNO,0,5,190.81,190.86,M [P07],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq [A23],,,,,,,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A23],Freq [A23],,,,,,Freq [A23],,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,C [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,
,344-U1413C-4R-CC-PAL-NANNO,344,U1413,C,4,4-CC,R,CC,PAL,NANNO,0,5,197.4,197.45,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,344-U1413C-5R-CC-PAL-NANNO,344,U1413,C,5,5-CC,R,CC,PAL,NANNO,0,5,211.7,211.75,M [P07],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],A [A23],,,C [A23],,,C [A23],,,,,,,,,,,,,,,Freq [A23],,,,,,,,,,,,,,,,,,,,,,,,,C [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A23],,,,,,,,,,,,,,A [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,* [A53],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,
,344-U1413C-7R-CC-PAL-NANNO,344,U1413,C,7,7-CC,R,CC,PAL,NANNO,0,5,236.29,236.34,G [P07],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],C [A23],,,,,,A [A23],,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,Freq [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,
,344-U1413C-8R-CC-PAL-NANNO,344,U1413,C,8,8-CC,R,CC,PAL,NANNO,0,5,246,246.05,P [P07],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,* [A53],,,,,,,,,,,,,,,,,,,,,,,,,* [A53],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,344-U1413C-10R-CC-PAL-NANNO,344,U1413,C,10,10-CC,R,CC,PAL,NANNO,0,5,264.33,264.38,M [P07],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A23],,,,Freq [A23],,,C [A23],,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,C [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,344-U1413C-11R-CC-PAL-NANNO,344,U1413,C,11,11-CC,R,CC,PAL,NANNO,0,5,270.76,270.81,M [P07],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],,,,,,,C [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,,,C [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,* [A53],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,344-U1413C-12R-CC-PAL-NANNO,344,U1413,C,12,12-CC,R,CC,PAL,NANNO,0,5,284.99,285.04,P [P07],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A23],R [A23],,,,,,C [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,
,344-U1413C-13R-CC-PAL-NANNO,344,U1413,C,13,13-CC,R,CC,PAL,NANNO,0,5,291.65,291.7,M [P07],F [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,* [A53],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A23],,,,,,,C [A23],,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,,,,,,,,,,,,C [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A23],,,,,,,,,,,,,,Freq [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
