Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Prediscosphaera spinosa,Prediscosphaera stoveri,Prolatipatella multicarinata,Pseudomicula quadrata,Quadrum bengalensis,Quadrum eneabrachium,Quadrum eptabrachium,Quadrum gartneri,Quadrum giganteum,Quadrum intermedium,Quadrum octobrachium,Quadrum,Quadrum sissinghii,Quadrum svabenickae,Quadrum trifidum,Radiolithus hollandicus,Radiolithus planus,Radiolithus undosus,Reinhardtites anthophorus,Reinhardtites levis,Repagalum parvidentatum,Retecapsa angustiforata,Retecapsa crenulata,Retecapsa ficula,Retecapsa octofenestra,Retecapsa radiata,Retecapsa schizobrachiata,Retecapsa surirella,Rhagodiscus achylostaurion,Rhagodiscus adinfinitus,Rhagodiscus amplus,Rhagodiscus angustus,Rhagodiscus asper,Rhagodiscus dekaenelii,Rhagodiscus gallagheri,Rhagodiscus indistinctus,Rhagodiscus infinitus,Rhagodiscus plebeius,Rhagodiscus pseudoangustus,Rhagodiscus reniformis,Rhagodiscus robustus,Rhagodiscus sageri,Rhagodiscus splendens,Rotelapillus biarcus,Rotelapillus crenulatus,Rotelapillus laffittei,Rotelapillus,Rotelapillus radians,Rucinolithus hayi,Rucinolithus magnus,Rucinolithus wisei,Semihololithus dens,Seribiscutum gaultensis,Seribiscutum primitivum,Sollasites,Sollasites horticus,Speetonia sp.,Speetonia colligata,Staurolithites aenigma,Staurolithites angustus,Staurolithites,Staurolithites curx,Staurolithites flavus,Staurolithites gausorhethium,Staurolithites glaber,Staurolithites imbricatus,Staurolithites laffittei,Staurolithites minutus,Staurolithites mutterlosei,Staurolithites rotatus,Staurolithites siesseri,Stoverius achylosus,Stradnerlithus silvaradius,Tegulalithus tesselatus,Tegumentum lucidum,Tegumentum stradneri,Tegumentum,Tetrapodorhabdus coptensis,Tetrapodorhabdus decorus,Thoracosphaera operculata,Thoracosphaera saxea,Tortolithus pagei,Tranolithus gabalus,Tranolithus minimus,Tranolithus orionatus,Tranolithus phacelosus,Tubodiscus bellii,Tubodiscus burnettiae,Tubodiscus frankiae,Tubodiscus jurapelagicus,Tubodiscus,Tubodiscus verenae,Umbria granulosa,Uniplanarius clarkei,Uniplanarius gothicus,Uniplanarius,Uniplanarius sissinghii,Uniplanarius trifidus,Watznaueria barnesae,Watznaueria bayackii,Watznaueria biporta,Watznaueria britannica,Watznaueria cynthae,Watznaueria fossacincta,Watznaueria manivitae,Watznaueria ovata,Watznaueria quadriradiata,Watznaueria,Zeugrhabdotus bicrescenticus,Zeugrhabdotus biperforatus,Zeugrhabdotus burwellensis,Zeugrhabdotus cf. P. fibuliformis,Zeugrhabdotus clarus,Zeugrhabdotus diplogrammus,Zeugrhabdotus embergeri,Zeugrhabdotus erectus,Zeugrhabdotus fissus,Zeugrhabdotus howei,Zeugrhabdotus kerguelenensis,Zeugrhabdotus noeliae,Zeugrhabdotus petrizzoae,Zeugrhabdotus praesigmoides,Zeugrhabdotus pseudanthophorus,Zeugrhabdotus,Zeugrhabdotus scutula,Zeugrhabdotus sigmoides,Zeugrhabdotus spiralis,Zeugrhabdotus trivectis,Zeugrhabdotus xenotus,File Data
330-U1374A-2R-4-W 32/32-NANNO 1 LT-NANNO,330,U1374,A,2,2-4,R,4,W,32/32-NANNO 1 LT-NANNO,0,0,13.75,13.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330-U1374A-2R-4-W 32/32-NANNO 2 DK-NANNO,330,U1374,A,2,2-4,R,4,W,32/32-NANNO 2 DK-NANNO,0,0,13.75,13.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330-U1374A-3R-1-W 70/70-NANNO 1-NANNO-NANNO,330,U1374,A,3,3-1,R,1,W,70/70-NANNO 1-NANNO-NANNO,0,0,15.1,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330-U1374A-3R-1-W 70/70-NANNO 2-NANNO,330,U1374,A,3,3-1,R,1,W,70/70-NANNO 2-NANNO,0,0,15.1,15.1,R[330],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[330],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
