Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Fissurina alveolata,Fissurina cf. radiata,Fissurina cf. staphyllearia,Fissurina spp.,Frondicularia sagittula,Frondicularia spp.,Fursenkoina bradyi,Fursenkoina complanata,Fursenkoina rotundata,Fursenkoina schreibersiana,Fursenkoina spp.,Gaudryina spp.,Gavelinella spp.,Gavelinopsis praegeri,Gavelinopsis? Sp.,Gavelinopsis translucens,Glabratella patelliformis,Glandulina ovula,Glandulina spp.,Globobulimina affinis,Globobulimina auriculata,Globobulimina cf. pacifica,Globobulimina pacifica,Globobulimina spinescens,Globobulimina spp.,Globobulimina turgida,Globocassidulina globosa,Globocassidulina oblonga,Globocassidulina spp.,Globocassidulina? sp. 1,Globulina gibba,Glomospira charoides,Glomospira gordialis,Glomospira spp.,Grigelis spp.,Guttulina spp.,Gyroidina orbicularis,Gyroidina cf. broeckhiana,Gyroidina spp.,Gyroidinoides octocameratus,Gyroidinoides soldanii,Gyroidinoides spp.,Hanzawaia concentrica,Hanzawaia rhodiensis,Hanzawaia? sp.,Hanzawaia spp.,Haplophragmoides spp.,Haynesina sp.,Heterolepa sp.,Hoeglundina elegans,Hopkinsina spp.,Hormosina globulifera,Hormosina spp.,Hyalina balthica,Hyaline indet.,Hyalinonetrion gracillimum,Hyperammina elongata,Hyperammina laevigata,Hyperammina spp.,Islandiella islandica,Jaculella obtusa,Karreriella bradyi,Karreriella spp.,Karrerulina spp.,Labrospira jeffreysi,Labrospira sp.,Laevidentalina spp.,Lagena costata,Lagena gracilis,Lagena hispidula,Lagena semistriata,Lagena spp.,Lagenammina spp.,Laticarinina pauperata,Lenticulina gibba,Lenticulina rotulata,Lenticulina spp.,Lingulina seminuda,Lingulina spp.,Loxostomina cf. major,Loxostomina major,Loxostomum spp.,Comment,File Data
339-U1388B-2X-CC-PAL-FORAM,339,U1388,B,2,2-CC,X,CC,PAL,FORAM,0,3,7.7,7.73,,,,P ,,,,,,,R ,,,,,,,,,,,,,,R ,,R ,P ,,,,,,,,,,,,,P ,,,,,,,,,R ,,,,R ,,,,,,,,,R ,,,,,,,,,R ,,,,,R ,,,,,,,
339-U1388B-3X-CC-PAL-FORAM,339,U1388,B,3,3-CC,X,CC,PAL,FORAM,0,3,17.7,17.73,,,,R ,,,,,,,,,,,P ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,P ,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1388B-4X-CC-PAL-FORAM,339,U1388,B,4,4-CC,X,CC,PAL,FORAM,0,5,28.95,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,
339-U1388B-6X-CC-PAL-FORAM,339,U1388,B,6,6-CC,X,CC,PAL,FORAM,0,5,47.42,47.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,
339-U1388B-7X-CC-PAL-FORAM,339,U1388,B,7,7-CC,X,CC,PAL,FORAM,0,5,56.09,56.14,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,R ,,,,,P ,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,,,,,
339-U1388B-8X-CC-PAL-FORAM,339,U1388,B,8,8-CC,X,CC,PAL,FORAM,0,10,63.3,63.4,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,P ,,,,,,,
339-U1388B-9X-CC-PAL-FORAM,339,U1388,B,9,9-CC,X,CC,PAL,FORAM,0,5,74.13,74.18,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,
339-U1388B-10X-CC-PAL-FORAM,339,U1388,B,10,10-CC,X,CC,PAL,FORAM,0,5,85.87,85.92,,,,P ,,,,,,,R ,,,,,,,,,,,,,P ,,F ,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,
339-U1388B-11X-1-PAL-FORAM,339,U1388,B,11,11-1,X,CC,PAL,FORAM,0,5,92.01,92.06,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1388B-12X-CC-PAL-FORAM,339,U1388,B,12,12-CC,X,1,PAL,FORAM,0,5,110.88,110.93,,,,P ,,,,,,,R ,,,,,,,,,,,,,P ,P ,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
