Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,Preservation,Group abundance,Agglutinated,Elongated,Planispiral,Trochospiral,Tapered,Comments,File Data,Zone name,Zone name (short)
342-U1407A-2H-4-W 50/52-FORAM,342,U1407,A,2,2-4,H,4,W,50/52-FORAM,0,2,11.6,11.62,11.61,P,A,,,,,,,,,
342-U1407A-3H-4-W 110/112-FORAM,342,U1407,A,3,3-4,H,4,W,110/112-FORAM,0,2,21.9,21.92,21.91,G,P,,,,,,,,,
342-U1407A-4H-4-W 100/102-FORAM,342,U1407,A,4,4-4,H,4,W,100/102-FORAM,0,2,31.3,31.32,31.31,VG,P,,,,,,,,,
342-U1407A-5H-4-W 110/112-FORAM,342,U1407,A,5,5-4,H,4,W,110/112-FORAM,0,2,40.9,40.92,40.91,VG,P,,,,,,,,,
342-U1407A-6H-4-W 110/112-FORAM,342,U1407,A,6,6-4,H,4,W,110/112-FORAM,0,2,50.4,50.42,50.41,VG,P,,,,,,,,,
342-U1407A-7H-4-W 110/112-FORAM,342,U1407,A,7,7-4,H,4,W,110/112-FORAM,0,2,59.9,59.92,59.91,VG,P,,,,,,,,,
342-U1407A-8H-4-W 100/102-FORAM,342,U1407,A,8,8-4,H,4,W,100/102-FORAM,0,2,69.3,69.32,69.31,G,P,,,,,,,,,
342-U1407A-9H-2-W 100/102-FORAM,342,U1407,A,9,9-2,H,2,W,100/102-FORAM,0,2,75.8,75.82,75.81,VG,P,,,,,,,,,
342-U1407A-9H-4-W 100/102-FORAM,342,U1407,A,9,9-4,H,4,W,100/102-FORAM,0,2,78.8,78.82,78.81,G,P,,,,,,,,,
342-U1407A-10H-2-W 110/112-FORAM,342,U1407,A,10,10-2,H,2,W,110/112-FORAM,0,2,85.4,85.42,85.41,G,P,,,,,,,,,
342-U1407A-10H-4-W 100/102-FORAM,342,U1407,A,10,10-4,H,4,W,100/102-FORAM,0,2,88.3,88.32,88.31,VG,P,,,,,,,,,
342-U1407A-11H-2-W 100/102-FORAM,342,U1407,A,11,11-2,H,2,W,100/102-FORAM,0,2,94.8,94.82,94.81,VG,P,,,,,,,,,
342-U1407A-11H-4-W 100/102-FORAM,342,U1407,A,11,11-4,H,4,W,100/102-FORAM,0,2,97.8,97.82,97.81,G,P,,,,,,,,,
342-U1407A-12H-1-W 25/27-FORAM,342,U1407,A,12,12-1,H,1,W,25/27-FORAM,0,2,102.05,102.07,102.06,VG,P,,,,,,,,,
342-U1407A-16X-1-W 35/37-FORAM,342,U1407,A,16,16-1,X,1,W,35/37-FORAM,0,2,122.25,122.27,122.26,G,P,,,,,,,,,
342-U1407A-18X-1-W 76/78-FORAM,342,U1407,A,18,18-1,X,1,W,76/78-FORAM,0,2,136.66,136.68,136.67,VG,P,,,,,,,,,
342-U1407A-18X-2-W 106/108-FORAM,342,U1407,A,18,18-2,X,2,W,106/108-FORAM,0,2,138.46,138.48,138.47,VG,P,,,,,,,,,
342-U1407A-19X-1-W 77/78-FORAM,342,U1407,A,19,19-1,X,1,W,77/78-FORAM,0,1,146.27,146.28,146.28,VG,P,,,,,,,,,
342-U1407A-19X-3-W 1/3-FORAM,342,U1407,A,19,19-3,X,3,W,1/3-FORAM,0,2,148.32,148.34,148.33,VG,P,,,,,,,,,
342-U1407A-20X-2-W 49/51-FORAM,342,U1407,A,20,20-2,X,2,W,49/51-FORAM,0,2,157.09,157.11,157.10,G,P,,,,,,,,,
342-U1407A-20X-4-W 4/6-FORAM,342,U1407,A,20,20-4,X,4,W,4/6-FORAM,0,2,159.64,159.66,159.65,M,F,,,,,,,,,
342-U1407A-21X-2-W 38/40-FORAM,342,U1407,A,21,21-2,X,2,W,38/40-FORAM,0,2,166.58,166.6,166.59,VG,P,,,,,,,,,
342-U1407A-21X-4-W 32/34-FORAM,342,U1407,A,21,21-4,X,4,W,32/34-FORAM,0,2,169.52,169.54,169.53,VG,P,,,,,,,,,
342-U1407A-22X-2-W 85/87-FORAM,342,U1407,A,22,22-2,X,2,W,85/87-FORAM,0,2,176.65,176.67,176.66,G,P,,,,,,,,,
342-U1407A-22X-4-W 100/102-FORAM,342,U1407,A,22,22-4,X,4,W,100/102-FORAM,0,2,179.8,179.82,179.81,M,R,,,,,,,,,
342-U1407A-22X-CC-W 10/12-FORAM,342,U1407,A,22,22-CC,X,CC,W,10/12-FORAM,0,2,181.91,181.93,181.92,G,P,,,,,,,,,
342-U1407A-22X-CC-W 30/32-FORAM,342,U1407,A,22,22-CC,X,CC,W,30/32-FORAM,0,2,182.11,182.13,182.12,M,P,,,,,,,,,
342-U1407A-23X-2-W 114/115-FORAM,342,U1407,A,23,23-2,X,2,W,114/115-FORAM,0,1,186.54,186.55,186.55,G,P,,,,,,,,,
342-U1407A-23X-2-W 126/127-FORAM,342,U1407,A,23,23-2,X,2,W,126/127-FORAM,0,1,186.66,186.67,186.67,M,P,,,,,,,,,
342-U1407A-23X-2-W 135/136-FORAM,342,U1407,A,23,23-2,X,2,W,135/136-FORAM,0,1,186.75,186.76,186.76,G,P,,,,,,,,,
342-U1407A-23X-2-W 33/35-FORAM,342,U1407,A,23,23-2,X,2,W,33/35-FORAM,0,2,185.73,185.75,185.74,VG,P,,,,,,,,,
342-U1407A-23X-4-W 13/15-FORAM,342,U1407,A,23,23-4,X,4,W,13/15-FORAM,0,2,188.53,188.55,188.54,M,P,,,,,,,,,
342-U1407A-24X-2-W 81/85-FORAM,342,U1407,A,24,24-2,X,2,W,81/85-FORAM,0,4,195.81,195.85,195.83,G,D,,,,,,,,,
342-U1407A-24X-4-W 19/21-FORAM,342,U1407,A,24,24-4,X,4,W,19/21-FORAM,0,2,198.19,198.21,198.20,P,D,,,,,,,,,
342-U1407A-25X-1-W 66/68-FORAM,342,U1407,A,25,25-1,X,1,W,66/68-FORAM,0,2,203.76,203.78,203.77,G,P,,,,,,,,,
342-U1407A-25X-3-W 38/40-FORAM,342,U1407,A,25,25-3,X,3,W,38/40-FORAM,0,2,206.04,206.06,206.05,G,P,,,,,,,,,
342-U1407A-27X-2-W 39/41-FORAM,342,U1407,A,27,27-2,X,2,W,39/41-FORAM,0,2,224.19,224.21,224.20,G,R,,,,,,,,,
342-U1407A-27X-4-W 65/67-FORAM,342,U1407,A,27,27-4,X,4,W,65/67-FORAM,0,2,227.45,227.47,227.46,M,P,,,,,,,,,
342-U1407A-27X-6-W 26/27-FORAM,342,U1407,A,27,27-6,X,6,W,26/27-FORAM,0,1,230.06,230.07,230.07,G,P,,,,,,,,,
342-U1407A-28X-2-W 14/15-FORAM,342,U1407,A,28,28-2,X,2,W,14/15-FORAM,0,1,233.54,233.55,233.55,G,P,,,,,,,,,
342-U1407A-28X-4-W 44/45-FORAM,342,U1407,A,28,28-4,X,4,W,44/45-FORAM,0,1,236.84,236.85,236.85,G,P,,,,,,,,,
342-U1407A-29X-2-W 85/86-FORAM,342,U1407,A,29,29-2,X,2,W,85/86-FORAM,0,1,243.85,243.86,243.86,G,P,,,,,,,,,
342-U1407A-29X-4-W 85/86-FORAM,342,U1407,A,29,29-4,X,4,W,85/86-FORAM,0,1,246.85,246.86,246.86,M,R,,,,,,,,,
342-U1407A-30X-2-W 90/91-FORAM,342,U1407,A,30,30-2,X,2,W,90/91-FORAM,0,1,253.5,253.51,253.51,G,P,,,,,,,,,
342-U1407A-30X-4-W 90/91-FORAM,342,U1407,A,30,30-4,X,4,W,90/91-FORAM,0,1,256.5,256.51,256.51,G,P,,,,,,,,,
342-U1407A-31X-3-W 106/107-FORAM,342,U1407,A,31,31-3,X,3,W,106/107-FORAM,0,1,264.76,264.77,264.77,G,P,,,,,,,,,
342-U1407A-31X-5-W 70/71-FORAM,342,U1407,A,31,31-5,X,5,W,70/71-FORAM,0,1,267.4,267.41,267.41,P,P,,,,,,,,,
