Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],BF preservation,BF Group abundance,Agglutinated spp. (indeterminate),Adelosina dubia?,Alabamina spp.,Ammobaculites agglutinans,Ammobaculites spp.,Ammodiscus anguillae,Ammodiscus spp.,Ammodiscus tenuis,Ammolagena clavata,Ammonia beccarii,Ammoscalaria foliacea,Ammoscalaria tenuimargo,Amphicoryna scalaris,Amphicoryna spp.,Amphistegina spp,Angulogerina spp.,Anomalina spp.,Anomalinoides spp.,Articulina cf. tubulosa,Astacolus crepidulus,Astacolus spp.,Asterigerina planorbis,Asterigerinata sp.,Astrononion spp.,Awhea spp.,Bathysiphon filiformis,Bathysiphon spp.,Bigenerina nodosaria,Biloculinella sp.,Bolivina spp.,Bolivina cf. robusta,Bolivinita quadrilatera,Bolivina subaenariensis,Bolivina/Brizalina spp.,Brizalina spp.,Brizalina alata,Brizalina cf. difformis,Brizalina cf. dilatata,Brizalina dilatata,Brizalina earlandi,Brizalina spathulata,Brizalina striatula,Budashevaella multicamerata,Bulimina acanthia,Bulimina aculeata,Bulimina cf. alazanensis,Bulimina elongata,Bulimina gibba,Bulimina marginata,Bulimina spp.,Bulimina striata gr.,Bulimina striata mexicana,Bulimina striata striata,Buliminella elegantissima,BF Comment,File Data,Zone name,Zone name (short)
339-U1390A-1H-CC-PAL-FORAM,339,U1390,A,1,1-CC,H,CC,PAL,FORAM,0,5,3.58,3.63,G ,A ,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,P ,,,,,,,,,,,A ,,R ,,,,P ,,,,R ,P ,R ,,,,,,,
339-U1390A-2H-CC-PAL-FORAM,339,U1390,A,2,2-CC,H,CC,PAL,FORAM,0,5,13.4,13.45,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,R ,,P ,,R ,,,A ,R ,,,,,,,,,,,P ,,,P ,,,,
339-U1390A-3H-CC-PAL-FORAM,339,U1390,A,3,3-CC,H,CC,PAL,FORAM,0,5,22.88,22.93,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,A ,,R ,,,,P ,,,P ,,,,,,,,,,
339-U1390A-4H-CC-PAL-FORAM,339,U1390,A,4,4-CC,H,CC,PAL,FORAM,0,5,32.25,32.3,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,R ,,,,,R ,,R ,,,P ,,,,,,,,,,,,,,,R ,,,,
339-U1390A-5H-CC-PAL-FORAM,339,U1390,A,5,5-CC,H,CC,PAL,FORAM,0,5,41.09,41.14,G ,F ,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,R ,,R ,,,R ,,,,,,R ,,,P ,,,,,,,,,,
339-U1390A-6H-CC-PAL-FORAM,339,U1390,A,6,6-CC,H,CC,PAL,FORAM,0,5,50.95,51,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,A ,R ,,F ,,,A ,,,,,,R ,,,,,R ,P ,,,,,,,
339-U1390A-7H-CC-PAL-FORAM,339,U1390,A,7,7-CC,H,CC,PAL,FORAM,0,5,61.22,61.27,G ,D ,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,R ,P ,,,F ,,,A ,,,,,,R ,,,,P ,,F ,,,,,,,
339-U1390A-8H-CC-PAL-FORAM,339,U1390,A,8,8-CC,H,CC,PAL,FORAM,0,5,70.48,70.53,G ,D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,F ,,,D ,,,,,,,,,,,,F ,,,,,,,
339-U1390A-9H-CC-PAL-FORAM,339,U1390,A,9,9-CC,H,CC,PAL,FORAM,0,5,76.65,76.7,M ,F ,,,,,,,,,,P ,,,,,,,,,,,,,,P ,,,,,,,,,,A ,,,,,A ,,P ,,,,,,,,P ,,,,,,,,,
339-U1390A-10X-CC-PAL-FORAM,339,U1390,A,10,10-CC,X,CC,PAL,FORAM,0,5,84.32,84.37,G ,D ,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,R ,,P ,,,F ,,,,,,P ,,,,,,F ,,,,,,,
