Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Group preservation,Group abundance,XBroken,XCorroded,XCrumpled,Unknown taxa,Exotic,Pinus,Cedrus,Abies,Picea,Acer,Alnus,Betula,Carpinus,Castanea,Corylus,Fagus,Fraxinus excelsior type,Fraxinus ornus type,Ilex,Juglans,Platanus,Populus,Pterocarya,Taxus,Tilia,Ulmus,Ulmus Zelkova,Quercus deciduous type,Quercus evergreen type,Quercus suber type,Buxus,Cistus,Coriaria myrtifolia,Daphne,Olea,Phillyrea,Pistacia,Rhamnus type,Rhus type,Ulex type,Cupressaceae,Euonymus,Helianthemum,Halimium_Tuberaria,Hedera helix,Hippophäe,Myrica,Salix,Sambucus,Tamarix,Viburnum,Vitis,Ericaceae,Calluna,Chenopodiaceae,Ephedra distachya type,Ephedra fragilis type,Artemisia,Ambrosia type,Anthemis type,Aster type,Centaurea cyanus type,Centaurea nigra type,Centaurea scabiosa type,Cirsium type,Echinops,Serratula type,Taraxacum,Apiaceae,Brassicaceae,Cannabis_Humulus,Convolvulus,Caryophyllaceae,Corrigiola litoralis,Epilobium,Lamiaceae,Liliaceae,Asphodelus,Mercurialis type,Plantago,Plantago lanceolata type,Plumbaginaceae,Poaceae,Lygeum spartum,Ranunculaceae,Rumex,Sanguisorba minor,Sanguisorba officinalis,Saxifragaceae,Scabiosa,Arceuthobium,Boraginaceae,Bupleurum type,Campanulaceae,Centaurium,Crassulaceae,Cereal type,Cyperaceae,Erodium,Euphorbia,Fabaceae,Filipendula,Galium type,Gentianaceae,Geranium,Herniaria type,Jasione type,Knautia type,Linum,Littorella uniflora,Lythrum,Melampyrum,Mentha type,Papaveraceae,Pedicularis,Polygonum aviculare type,Primulaceae,Resedaceae,Rosaceae,Scrofulariaceae,Sedum type,Solanaceae,Spartium junceum,Spergularia type,Thalictrum,Urtica,Valerianaceae,Veronica type,Vicia type,Viscum,Podocarpus,Stereisporites,Tsuga,Cryptomeria,Zelkova,Carya,Nyssa,Liquidambar,Sciadopitis,Taxodium,Sequoia,Engelhardia,Aesculus,Eleagnus,Palmae,Symplocos,Phellodendron,Eucommia,Ostrya,Alisma type,Lemna,Menyanthes trifoliata,Myriophyllum alterniflorum,Myriophyllum verticillatum,Nuphar,Nymphaea alba type,Polygonum persicaria type,Potamogeton,Typha_Sparganium,Isoetes,Polypodium vulgare type,Monolete psilate,Monolete ornamented,Anogramma leptophylla,Botrychium type,Cryptogramma,Huperzia selago,Lycopodium clavatum type,Ophioglossum lusitanicum,Osmunda,Pilularia globulifera,Pteridium,Selaginella denticulata,Selaginella selaginoides,Sphagnum,Taxodiaceae/Cupressaceae,Trilete ornamented,Trilete psilate,Trilete reworked,Comments,File data,Zone name,Zone name (short)
339-U1391A-1H-CC-PAL-PALY,339,U1391,A,1,1-CC,H,CC,PAL,PALY,0,5,4.11,4.16,M ,A ,,3,1,,25,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,A ,C ,C ,A ,,F ,F ,,,,,,,F ,,C ,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microcharcoal particles and dinocysts also observed,,,
339-U1391A-7H-CC-PAL-PALY,339,U1391,A,7,7-CC,H,CC,PAL,PALY,0,5,61.66,61.71,G ,A ,1,5,,,24,A ,,,,,,,,,,,,,,,,,,,,,,A ,F ,,,,,,C ,,,,,,,,,,,,,,,,,,C ,,C ,,,C ,,C ,C ,,,,,,,A ,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,,,,,Microcharcoal particles and dinocysts also observed,,,
339-U1391A-14H-CC-PAL-PALY,339,U1391,A,14,14-CC,H,CC,PAL,PALY,0,5,128.14,128.19,G ,A ,,6,,2,28,C ,,,,,F ,,,,,,,,,,,,,,,,,A ,C ,,,,,,C ,F ,,,,,F ,,,,,,,,,,,,A ,,A ,,C ,C ,,,C ,,,,,,,A ,F ,C ,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,Microcharcoal particles and dinocysts also observed,,,
339-U1391A-21X-CC-PAL-PALY,339,U1391,A,21,21-CC,X,CC,PAL,PALY,0,5,189.22,189.27,G ,A ,1,8,1,1,64,C ,,,,,,,,,,,,,,,,,,,,,,C ,F ,,,,,,F ,,,,,,F ,,,,,,,,,,,,C ,,C ,F ,,F ,,,F ,,,,,,,A ,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,,F ,,,Microcharcoal particles and dinocysts also observed,,,
339-U1391A-28X-CC-PAL-PALY,339,U1391,A,28,28-CC,X,CC,PAL,PALY,0,5,256.92,256.97,M ,A ,1,9,,,33,A ,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,C ,,,,,,,,,,,,,,,,,,F ,,A ,C ,,C ,,,C ,,,,,,,A ,C ,F ,,,F ,,,,,,,,,,C ,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,Microcharcoal particles and dinocysts also observed,,,
339-U1391A-35X-CC-PAL-PALY,339,U1391,A,35,35-CC,X,CC,PAL,PALY,0,5,324.39,324.44,P ,A ,,15,,,4,A ,,,,,,A ,,,,,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,A ,A ,A ,,A ,A ,,,,,,,A ,A ,,,,A ,,,,,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,,,,,Microcharcoal particles and dinocysts also observed,,,
