Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance, Circodiscus (Porodiscus) circularis, Cycladophora nakasekoi , Cycladophora sakaii, Lithelius barbatus, Lychnocanoma parallelipes,Acrobotrys tritubus,Acrosphaera spinosa,Actinomma delicatulum ,Actinomma leptodermum,Antarctissa denticulata,Anthocyrtidium angulare,Anthocyrtidium ophirense,Bortyostrobus auritus/australis,Botryostrobus aquilonaris,Botryostrobus miralestense,Calocycletta costata,Calocycletta virginis,Ceratospyris borealis,Cycladophora bicornis,Cycladophora davisiana ,Cyrtocapsella cornuta ,Cyrtocapsella japonica ,Cyrtocapsella tetrapera ,Dendrospyris?,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyocoryne profunda ,Dictyophimus bullatus,Dictyophimus hirundo ,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris ateuchus,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris simplex,Euchitonia furcata/elegans,Euchitonia triangulatum,Eucyrtidium asanoi,Eucyrtidium calvertense,Eucyrtidium diaphanes,Eucyrtidium inflatum,Eucyrtidium matuyamai ,Giraffospyris angulata ,Heliodiscus astericus,Hexacontium enthacanthus,Hymeniastrum euclidis ,Lamprocyclas junonis ,Lamprocyrtis hannai,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Larcopyle buetschlii,Liriospyris reticulata,Lithelius minor,Lithopera neotera,Lithopera renzae ,Lithopera thornbergi,Lychnocanoma nipponica magnacornuta,Lychnocanoma sakaii ,Octopyle/Tetrapyle Group,Phomostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Porodiscus (?) sp. B ,Prunopyle antartica,Pterocanium praetextum,Pterocanium prismatium,Pterocanium sp.,Pterocorys group,Pterocorys minythorax,Siphostichartus corona,Sphaeropyle langii,Sphaeropyle robusta ,Spongaster berminghami,Spongaster pentas,Spongaster tetras,Spongopyle osculosa,Spongurus (?) sp.,Spongurus cf. elliptica ,Spongurus pylomaticus,Stichocorys armata,Stichocorys delmontensis,Stichocorys diploconus,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wollfii,Stylacontarium acquilonium,Stylatractus universus,Stylochlamydium asteriscus ,Thecosphaera akitaensis,Thecosphaera japonica,Theocorys redondoensis,Theocorythium trachelium,Theocorythium vetulum,Tholospyris scaphipes,Comments,Ship File Links,Shore File Links,File Data,Extra Sample ID Data
341-U1417D-1H-CC-RADS,341,U1417,D,1,1-CC,H,CC,PAL,0,5,5.87,5.92,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],A [A81],,,,,,,,C,A,,,,,R,,,,A,,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,F,R,,,,,,,,,,,,,,F,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,
341-U1417D-2H-CC-PAL-RADS,341,U1417,D,2,2-CC,H,CC,PAL,0,5,14.46,14.51,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],A [A81],,,,,,,,C,C,,,,,,,,,A,,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,R,C,,,,,,,,,,,,F,,F,,,,,,,,,A,C,,,,,,,,,,,,,,,,,,,,,,
341-U1417D-3H-CC-PAL-RADS,341,U1417,D,3,3-CC,H,CC,PAL,0,5,24.5,24.55,B. aquilonaris [K07],Botyrostrobus aquilonaris,"LO Lychnocanoma nipponica sakaii (Morley et Nigrini, 1995)",G [P28],C [A81],,,,,,,,F,F,,,,,,,,,C,,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,c,,,,,,,C,,C,,,,R,,,,,A,F,,,,,,,,,,,,,,,,,,,,,,
341-U1417D-4H-CC-W 0/5-RADS,341,U1417,D,4,4-CC,H,CC,PAL,0,5,34.65,34.7,B. aquilonaris [K07],Botyrostrobus aquilonaris,,P [P28],R [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,
341-U1417D-5H-CC-W 0/5-RADS,341,U1417,D,5,5-CC,H,CC,PAL,0,5,44.09,44.14,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],A [A81],,,,,,,,R,R,,,,,R,,,,A,,A,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,F,,,,,,,A,,F,,,,,,,,,A,F,,R,,,,,,,R,,,,,,,,,,,,,
341-U1417D-6H-CC-RADS,341,U1417,D,6,6-CC,H,CC,PAL,0,5,52.47,52.52,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],A [A81],,,,,,,,F,,,,,R,R,,,,A,,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,C,,,,,R,R,,,,R,,F,,F,,,,R,,,,,A,F,,F,,,,,,,,,,,,,,,,,,,,
341-U1417D-7H-CC-RADS,341,U1417,D,7,7-CC,H,CC,PAL,0,5,57.84,57.89,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417D-8H-CC-RADS,341,U1417,D,8,8-CC,H,CC,PAL,0,0,65.85,65.85,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417D-9H-CC-RADS,341,U1417,D,9,9-CC,H,CC,PAL,0,0,75.12,75.12,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417D-10H-CC-RADS,341,U1417,D,10,10-CC,H,CC,PAL,0,0,84.87,84.87,S. universus [K07],Stylatractus universus,"LO Stylatractus universus (Kamikuri et al., 2007)",P [P28],R [A81],,,,,,,,F,R,,,,,,,,,R,,C,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,C,,,,,,R,,,,,,,,R,,,,R,,,,,A,,,F,,,,,,,C,F,,,,,,,,,,,,
