Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance, Circodiscus (Porodiscus) circularis, Cycladophora nakasekoi , Cycladophora sakaii, Lithelius barbatus, Lychnocanoma parallelipes,Acrobotrys tritubus,Acrosphaera spinosa,Actinomma delicatulum ,Actinomma leptodermum,Antarctissa denticulata,Anthocyrtidium angulare,Anthocyrtidium ophirense,Bortyostrobus auritus/australis,Botryostrobus aquilonaris,Botryostrobus miralestense,Calocycletta costata,Calocycletta virginis,Ceratospyris borealis,Cycladophora bicornis,Cycladophora davisiana ,Cyrtocapsella cornuta ,Cyrtocapsella japonica ,Cyrtocapsella tetrapera ,Dendrospyris?,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyocoryne profunda ,Dictyophimus bullatus,Dictyophimus hirundo ,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris ateuchus,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris simplex,Euchitonia furcata/elegans,Euchitonia triangulatum,Eucyrtidium asanoi,Eucyrtidium calvertense,Eucyrtidium diaphanes,Eucyrtidium inflatum,Eucyrtidium matuyamai ,Giraffospyris angulata ,Heliodiscus astericus,Hexacontium enthacanthus,Hymeniastrum euclidis ,Lamprocyclas junonis ,Lamprocyrtis hannai,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Larcopyle buetschlii,Liriospyris reticulata,Lithelius minor,Lithopera neotera,Lithopera renzae ,Lithopera thornbergi,Lychnocanoma nipponica magnacornuta,Lychnocanoma sakaii ,Octopyle/Tetrapyle Group,Phomostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Porodiscus (?) sp. B ,Prunopyle antartica,Pterocanium praetextum,Pterocanium prismatium,Pterocanium sp.,Pterocorys group,Pterocorys minythorax,Siphostichartus corona,Sphaeropyle langii,Sphaeropyle robusta ,Spongaster berminghami,Spongaster pentas,Spongaster tetras,Spongopyle osculosa,Spongurus (?) sp.,Spongurus cf. elliptica ,Spongurus pylomaticus,Stichocorys armata,Stichocorys delmontensis,Stichocorys diploconus,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wollfii,Stylacontarium acquilonium,Stylatractus universus,Stylochlamydium asteriscus ,Thecosphaera akitaensis,Thecosphaera japonica,Theocorys redondoensis,Theocorythium trachelium,Theocorythium vetulum,Tholospyris scaphipes,Comments,Ship File Links,Shore File Links,File Data
341-U1417B-1H-CC-PAL,341,U1417,B,1,1-CC,H,CC,PAL,0,13,5.28,5.41,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],F [A81],,,,,,,,,C,,,,,,,,,C,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,C,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,
341-U1417B-3H-CC-PAL,341,U1417,B,3,3-CC,H,CC,PAL,0,6,21.41,21.47,B. aquilonaris [K07],Botyrostrobus aquilonaris,"LO Lychnocanoma nipponica sakaii (Morley et Nigrini, 1995)",M [P28],C [A81],,,,,,,,R,F,,,,,,,,,A,,C,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,R,,,,,A,,,,,,,,,R,,,,F,,,,,A,R,F,,,,,,,,,,,,,,,,,,,,
341-U1417B-4H-CC-PAL,341,U1417,B,4,4-CC,H,CC,PAL,0,17,31.07,31.24,B. aquilonaris [K07],Botyrostrobus aquilonaris,,P [P28],F [A81],,,,,,,,R,F,,,,R,,,,,F,,C,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,C,,,,,,,,,R,,,,R,,,,,C,R,,,,,,,,,,,,,,,,,,,,,
341-U1417B-5H-CC-PAL,341,U1417,B,5,5-CC,H,CC,PAL,0,21,40.68,40.89,B. aquilonaris [K07],Botyrostrobus aquilonaris,,P [P28],R [A81],,,,,,,,R,R,,,,,,,,,R,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,R,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,
341-U1417B-6H-CC-PAL,341,U1417,B,6,6-CC,H,CC,PAL,0,23,48.99,49.22,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],A [A81],,,,,,,,R,C,,,,,,,,,A,,A,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,A,,C,,,,,R,C,,,,,,,,R,,,,,,,,,R,F,,,,,,,,,,,,,R,,,,,,,,
341-U1417B-7H-CC-PAL,341,U1417,B,7,7-CC,H,CC,PAL,0,28,58.02,58.3,B. aquilonaris [K07],Botyrostrobus aquilonaris,,M [P28],F [A81],,,,,,,,R,R,,,,,R,,,,C,,C,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,F,,,,,R,R,,,,,,,,,,,,F,,,,,F,R,,F,,,,,,,,,,,R,,,,,,,,
341-U1417B-8H-CC-PAL,341,U1417,B,8,8-CC,H,CC,PAL,0,22,67.03,67.25,B. aquilonaris [K07],Botyrostrobus aquilonaris,"LO Stylacontarium acquilonium (Kamikuri et al., 2007)",M [P28],R [A81],,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,R,,,,,R,,,,,,,,,,C,,,,R,,,,,,,,
341-U1417B-9H-CC-PAL,341,U1417,B,9,9-CC,H,CC,PAL,0,21,76.25,76.46,S. universus [K07],Stylatractus universus,"LO Stylatractus universus (Kamikuri et al., 2007)",G [P28],A [A81],,,,,,,,,F,,,,,R,,,,C,,C,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,C,,C,,,,,A,F,,,,R,,,,R,,,,C,,,,,C,F,,C,,,,,,,A,A,,,R,,,,,,,,
341-U1417B-10H-CC-PAL,341,U1417,B,10,10-CC,H,CC,PAL,0,10,86.11,86.21,S. universus [K07],Stylatractus universus,,G [P28],C [A81],,,,,,,,,A,,,,,,,,,A,,A,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,A,,C,,,,,,,,,,,,,,R,,,,F,,,,,C,C,,F,,,,,,,C,R,,,R,,,,,,,,
341-U1417B-11H-CC-PAL,341,U1417,B,11,11-CC,H,CC,PAL,0,18,94.9,95.08,S. universus [K07],Stylatractus universus,,G [P28],C [A81],,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
