Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group abundance,Globigerina bulloides,Globigerina foliata,Globigerina umbilicata,Globigerinita glutinata,Globigerinita iota,Globigerinita uvula,Globorotalia hirsuta,Globorotalia scitula,Neogloboquadrina humerosa,Neogloboquadrina inglei,Neogloboquadrina kagaensis,Neogloboquadrina incompta (dextral) ,Neogloboquadrina incompta (sinsitral) ,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),"Neogloboquadrina pachyderma A (dextral, inflated form)","Neogloboquadrina pachyderma B (sinistral, inflated form)","Neogloboquadrina pachyderma C (sinistral, compressed form)",Orbulina universa,Comments,Ship File Links,Shore File Links,File Data
341-U1421A-2H-CC-PAL,0,5,16.5,16.55,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],A [A84],,A [A84],,,,,,,,,,R [A84],A [A84],R [A84],,R [A84],,,,,,
341-U1421A-3H-CC-PAL,0,5,25.91,25.96,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],A [A84],,A [A84],F [A84],,,,,,,,,,A [A84],,,,,,,,,
341-U1421A-4H-CC-PAL,0,5,27.25,27.3,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],A [A84],,A [A84],,,,,,,,,,R [A84],A [A84],,,,,,,,,
341-U1421A-5H-CC-PAL,0,5,35.35,35.4,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],D [A84],,D [A84],,,,,,,,,,,A [A84],,,,,,,,,
341-U1421A-6H-CC-PAL,0,5,50.82,50.87,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],A [A84],,A [A84],,,,,,,,,,,D [A84],,,R [A84],,,brown benthic foraminifers,,,
341-U1421A-7H-CC-PAL,0,5,60.46,60.51,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],R [A84],,R [A84],F [A84],,P [A84],,,,,,,P [A84],D [A84],P [A84],,R [A84],,,,,,
341-U1421A-8H-CC-PAL,0,7,65.47,65.54,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],D [A84],,D [A84],,,,,,,,,,,D [A84],,,,,,brown forams,,,
341-U1421A-9H-CC-PAL,0,5,70.25,70.3,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],D [A84],,D [A84],,,,,,,,,,,D [A84],,,R [A84],,,,,,
341-U1421A-10H-CC-PAL,0,5,70.82,70.87,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],D [A84],,D [A84],,,,,,,,,,,D [A84],,,,,,,,,
341-U1421A-11H-CC-PAL,0,5,75.69,75.74,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],D [A84],,D [A84],,,,,,,,,,,,,,,,,,,,
