Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,Preservation,Group abundance,Bolivina sp.,Alabamina dissonata,Alabamina cf. dissonata,Alabamina sp.,Anomalina praeacuta,Anomalina sp.,Anomalinoides semicribratus,Anomalinoides sp.,Arenobulimina ?,Astacolus parallelus,Astacolus sp.,Bathysiphon sp.,Bulbobaculites ?,Bulimina sp.,Bulimina thanetensis,Buliminella sp.,Cancris ?,Cassidulina subglobosa,Chrysalogonium sp.,Cibicidoides subspiratus,Cibicidoides aff. laurisae,Cibicidoides eocaenus,Cibicidoides cf. eocaenus,Cibicidoides cf. havanensis,Cibicidoides grimsdalei,Cibicidoides havanensis ,Cibicidoides kullenbergi,Cibicidoides praemundulus,Gaudryina pyramidata,Cibicidoides sp.,Gavelinella sp.,Gavelinella hyphalus,Dentalina sp.,Dorothia trochoides,Eggerella bradyi,Eggerella sp.,Ellipsodimorphina macrocephala,Ellipsodimorphina spp.,Ellipsoidella  sp.,Epistominella sp.,Epistominella umbonifera ?,Eponides regularis,Eponides sp.,Fissurina sp.,Globobulimina sp.,Globobulimina pacifica,Globocassidulina globosa,Glomospira sp. ,Guttulina sp.,Gyroidina sp. ,Gyroidinoides globosus,Gyroidinoides spp.,Hoeglundina ?,Kalamopsis (?) ,Karreriella sp. ,Laevidentalina sp.,Lagena sp.,Laticarinina pauperata,Lenticulina cf. adenalensis,Lenticulina sp.,Melonis pompilioides,Melonis sp.,Neoeponides procerus,Neoeponides sp.,Neoflabellina sp.,Nuttallides truempyi,Nodosaria aspera,Nodosaria sp.,Nonion spp.,Oridorsalis sp. ,Oridorsalis umbonatus,Plectofrondicularia cf. kerni,Plectofrondicularia lirata,Pleurostomella acuta,Paralabamina hillebrandti,Pleurostomella tenuis,Pleurostomella sp. ,Polymorphina sp.,Pullenia bulloides,Pleurostomella paleocenica,Pullenia cf. jarvisis,Pullenia quinqueloba,Pyramidulina sp.,Pyrgo sp.,Pyrulina sp.,Quinqueloculina sp.,Saracenaria sp.,Spiroplectammina spectabilis,Spiroloculina depressa,Spiroplectammina sp.,Stilostomella gracillima,Stilostomella lepidula,Stilostomella paleocenica,Stilostomella sp. ,Stilostomella subspinosa,Strictocostella scharbergana,Tritaxia sp.,Trochammina sp.,Turrilina sp.,Uvigerina sp. ,Uvigerina elongata,Valvulina spinosa?,Others,Comment,File Data
342-U1406A-11H-CC-PAL,342,U1406,A,11,11-CC,H,CC,PAL,0,5,101.49,101.54,101.52,VG [P21],P [A60],,,,,,F [A21],,F [A21],,,,,,P [A21],,,,A [A21],P [A21],,,,,,,,F [A21],,,F [A21],,,F [A21],F [A21],,,,,,,P [A21],,,,,,,,,F [A21],,F [A21],,,,,,,,,,,,,,,P [A21],,F [A21],F [A21],F [A21],,,,,F [A21],,,F [A21],,F [A21],P [A21],,,,,,,,,,,,,A [A21],,,,,,,,F [A21],,
342-U1406A-12H-7-PAL,342,U1406,A,12,12-7,H,7,PAL,0,7,110.66,110.73,110.7,VG [P21],P [A60],,,,,,A [A21],F [A21],F [A21],,,,,,F [A21],,,,D [A21],F [A21],,,,,,,P [A21],,,,P [A21],,,F [A21],F [A21],,,,P [A21],,P [A21],,,,,,,,,,F [A21],,F [A21],,,F [A21],,,,,,,,,,,,F [A21],,,F [A21],F [A21],,,,,P [A21],,,,,F [A21],F [A21],,,,,,,,,P [A21],F [A21],,,A [A21],,,,,,,,P [A21],,
342-U1406A-13H-7-PAL,342,U1406,A,13,13-7,H,7,PAL,0,15,119.98,120.13,120.06,VG [P21],P [A60],,,,P [A21],,F [A21],,F [A21],,,P [A21],F [A21],P [A21],,,,,A [A21],,,,,,,F [A21],,P [A21],,,F [A21],,,F [A21],F [A21],F [A21],,,P [A21],,F [A21],,,,F [A21],,,,,,F [A21],,A [A21],,,F [A21],,F [A21],,,,,,,,,,,,,F [A21],F [A21],,,,,P [A21],,,F [A21],,F [A21],,,,,,,,F [A21],,,,,,P [A21],,F [A21],,P [A21],,,P [A21],,,
342-U1406A-14H-CC-PAL,342,U1406,A,14,14-CC,H,CC,PAL,0,6,128.52,128.58,128.55,VG [P21],P [A60],,,,,,F [A21],,F [A21],,,,,,,,,,A [A21],F [A21],,,,,,,,,,,F [A21],,,F [A21],F [A21],F [A21],,,F [A21],,P [A21],,,,F [A21],,,,,,P [A21],,F [A21],,,,,P [A21],,,,,,,,,,,,,P [A21],F [A21],,,,,F [A21],,,P [A21],,P [A21],,,,,,P [A21],,,,,P [A21],,P [A21],F [A21],,,,,,,,F [A21],,
342-U1406A-15H-CC-PAL,342,U1406,A,15,15-CC,H,CC,PAL,0,7,139.64,139.71,139.68,VG [P21],P [A60],,,,,,A [A21],,F [A21],,,,,,,,,,F [A21],,,F [A21],,,P [A21],P [A21],,,,,,,,F [A21],F [A21],,,,F [A21],,,,,,F [A21],,,,,,F [A21],,A [A21],,,F [A21],F [A21],,,,,,,,,,,,,F [A21],F [A21],F [A21],,,,,F [A21],,,P [A21],,P [A21],F [A21],,,,,,,,,,P [A21],,F [A21],A [A21],,P [A21],,F [A21],,,,F [A21],,
342-U1406A-16H-CC-PAL,342,U1406,A,16,16-CC,H,CC,PAL,0,13,147.97,148.1,148.04,VG [P21],P [A60],,,,P [A21],,A [A21],F [A21],F [A21],,,P [A21],,,,,,,F [A21],F [A21],,,,,,P [A21],,P [A21],,,P [A21],,,F [A21],,,,,F [A21],,F [A21],,,,F [A21],,,,,,F [A21],,F [A21],,,,,F [A21],,,,,,,,,,,P [A21],P [A21],P [A21],F [A21],,,A [A21],,F [A21],F [A21],,F [A21],,,A [A21],,,,,,,,P [A21],F [A21],P [A21],,F [A21],P [A21],,,,,,,F [A21],F [A21],,
342-U1406A-17H-CC-PAL,342,U1406,A,17,17-CC,H,CC,PAL,0,7,157.23,157.3,157.27,G [P21],D [A60],,,,F [A21],,P [A21],P [A21],P [A21],,,,,,,,,,A [A21],,,,A [A21],,,,P [A21],,,,F [A21],,,P [A21],F [A21],,,,,,,,,,F [A21],,,,,,P [A21],,F [A21],,,,,F [A21],,,,,,,,,,F [A21],,,P [A21],P [A21],,,P [A21],,F [A21],,,F [A21],,,,,,,,,,,,F [A21],A [A21],,F [A21],F [A21],P [A21],,P [A21],,,,F [A21],F [A21],,
342-U1406A-18H-CC-PAL,342,U1406,A,18,18-CC,H,CC,PAL,0,5,164.68,164.73,164.71,VG [P21],P [A60],,,,F [A21],,F [A21],F [A21],A [A21],,,,,,F [A21],,,,A [A21],,,F [A21],,,,,,,,,F [A21],,,F [A21],P [A21],P [A21],,,P [A21],,F [A21],,,,,,,,,,F [A21],,F [A21],,,,,P [A21],,,,,,,,,,F [A21],,P [A21],F [A21],F [A21],,,F [A21],,,F [A21],,A [A21],,,F [A21],,,,,,,,,P [A21],P [A21],,P [A21],F [A21],,F [A21],,P [A21],,,,P [A21],,
342-U1406A-19H-6-PAL,342,U1406,A,19,19-6,H,6,PAL,0,5,173.74,173.79,173.77,G [P21],A [A60],,,,F [A21],,F [A21],F [A21],F [A21],,,,,,F [A21],,,,A [A21],,F [A21],P [A21],,,,F [A21],F [A21],,,,,,,P [A21],F [A21],,,,F [A21],,F [A21],,,,,,,,,,F [A21],,F [A21],,,P [A21],,,,,,,,,,,,F [A21],,,F [A21],F [A21],,,,,,P [A21],,P [A21],,P [A21],P [A21],,,,,,,,,,A [A21],,F [A21],F [A21],,,,,,A [A21],P [A21],F [A21],,
342-U1406A-20H-CC-PAL,342,U1406,A,20,20-CC,H,CC,PAL,0,6,181.7,181.76,181.73,G [P21],F [A60],,,,F [A21],,F [A21],,A [A21],,,,,,P [A21],,,,D [A21],,F [A21],P [A21],,,,A [A21],,,,,,,,F [A21],F [A21],P [A21],,,F [A21],,P [A21],,,P [A21],P [A21],,,,,,F [A21],,F [A21],,,P [A21],,,,,,,,,,,,P [A21],P [A21],P [A21],F [A21],F [A21],,,F [A21],,,P [A21],,P [A21],,F [A21],F [A21],,,,,,,,,,,,,F [A21],,,,,,,F [A21],P [A21],,
