Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Alabaminella sp.,Alabaminella weddellensis,Angulogerina fluens,Astacolus sp.,Astrononion sp. ,Astrorhiza sp.,Baggina philippinensis,Bolivina alata,Bolivina decussata,Bolivina pacifica,Bolivina sp.,Bolivina spathulata,Bolivina spissa,Bolivina spp.,Botellina labyrinthica,Brizalina earlandi,Brizalina pygmaea,Buccella frigida ,Buccella inusitata,Buccella sp.,Buccella spp.,Bulimina sp.,Bulimina striata,Buliminella elegantissima,Buliminella sp.,Buliminella tenuata,Cassidulina californica,Cassidulina cushmani,Cassidulina laevigata var. carinata,Cassidulina mexicana,Cassidulina sp.,Cassidulina teretis ,Cassidulina translucens,Cassidulinoides cornuta,Cassidulinoides parkerianus,Cassidulinoides tenuis ,Chilostomella oolina,Chilostomellina frimbriata,Cibicides fletcheri ,Cibicides lobatulus,Cibicides mckannai,Cibicides sp.,Cibicides spiralis,Cibicides spp.,Cibicidoides mundulus,Cibicidoides sp.,Cibicidoides subhaidingerii,Cribrostomoides jeffreysii,Cribrostomoides subglobosus,Cyclammina cancellata,Dentalina sp.,Dentalinoides sp.,Discorbis sp.,Dorothia pseudofiliformis,Eggerella advena,Eggerella bradyi,Ehrenbergina sp.,Eilohedra vitrea,Elphidiella sp.,Elphidiellia groenlandica,Elphidium bartletti,Elphidium batialis,Elphidium clavatum,Elphidium excavatum,Elphidium frigidum,Elphidium hughesi,Elphidium sp.,Elphidium spp. ,Epistominella pacifica ,Epistominella pulchella,Epistominella sp.,Epistominella vitrea ,Eponides healdi ,Eponides sp.,Eubuliminella exilis ,Fissurina lucida ,Fissurina sp.,Fursenkoina bradyi,Fursenkoina sp.,Glandulina sp.,Globobulimina auriculata,Globobulimina pacifica,Globobulimina sp.,Globocassidulina sp.,Globocassidulina subglobosa,Gyroidina gemma,Gyroidina lamarckiana,Gyroidina spp.,Gyroidinoides soldanii,Gyroidinoides sp.,Haplophragmoides sp.,Haynesina sp.,Hormosinella guttifera,Hyalinonetrion gracillima,Hyperammina sp.,Ioanella sp.,Islandiella norcrossi,Islandiella sp.,Karreriella baccata,Karreriella parkerae,Laevidentalina advena,Lagena elongata,Lagena gracilis ,Lagena laevis ,Lagena meridionalis ,Lagena sp.,Lagena spp.,Lagena striata,Laticarinina pauperata,Lenticulina sp.,Lenticulina spp. ,Liebusella soldanii,Martinottiella communis,Melonis barleeanus,Melonis pompilioides,Neugeborina longiscata,Nodosaria aff. pyrula,Nodosaria sp.,Nonion sp.,Nonionella labradorica,Nonionella pulchella,Nonionella sp.,Nonionella spp. ,Nonionella turgida,Nonionella turgida digitata,Oolina globosa,Oolina laevigata,Oolina sp.,Oolina spp.,Oridorsalis sp.,Oridorsalis umbonatus,Paratrochammina challengeri,Planulina ariminensis,Planulina wuellerstorfi,Plectofrondicularia sp.,Pleurostomella alternans,Portatrochammina karica,Psammosphaera fusca,Pseudononion auricula,Pullenia bulloides,Pullenia salisburyi,Pullenia sp.,Pygmaeoseistron hispidum,Pyrgo sp.,Pyrgo spp. N/A,Quinqueloculina sp.,Quinqueloculina stalkeri,Reophax dentaliniformis,Reophax pilulifer,Reophax sp.,Reussella sp.,Rhabdammina sp.,Rhizammina algaeformis,Saccammina sp.,Sigmoilina distorta ,Sigmoilinita sp.,Sphaeroidina bulloides,Spiroculina sp.,Stainforthia fusiformis,Stainforthia sp.,Subreophax aduncus,Takayanagia delicata,Trichohyalus ornatissimus,Trifarina angulosa,Trifarina sp.,Triloculina sp.,Triloculina trihedra,Trochammina globigeriniformis,Trochammina globorotaliformis ,Trochammina sp.,Uvigerina akitaensis ,Uvigerina auberiana,Uvigerina cf. proboscidea,Uvigerina juncea,Uvigerina peregrina,Uvigerina senticosa ,Uvigerina sp.,Uvigerina spp.,Valvulineria sp.,Veleroninoides sp.,Comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name,Zone name (short)
341-U1418D-2H-CC-PAL,0,5,12.39,12.44,G [P20],R [A40],,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"pebbles, sandy",,,,341,U1418,D,2,H,CC,PAL,,,
341-U1418D-3H-CC-PAL,0,5,22.09,22.14,G [P20],R [A40],,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,"no pebbles, coarse sand",,,,341,U1418,D,3,H,CC,PAL,,,
341-U1418D-5H-CC-PAL,0,5,41.25,41.3,M [P20],P [A71],,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,D,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,"no pebbles, black sand-sized grains",,,,341,U1418,D,5,H,CC,PAL,,,
341-U1418D-7H-CC-PAL,0,5,60.23,60.28,VG [P20],F [A40],,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,F,,,,,P,,,,,,,P,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,P,,,,P,,,,,,,F,,,,,,,,,,,R,,,P,,,,,P,,,,,,,,R,,,,,P,,,,,,,,,,,,,,,,,,,,P,,F,,,,P,,,,,,,,,,,,,,F,,,,,,,R,,,,,,,,,,,,,,"pebbles, metal from coring, ostracods, bryozoan?",,,,341,U1418,D,7,H,CC,PAL,,,
341-U1418D-10H-CC-PAL,0,3,85.64,85.67,P [P20],P [A71],,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,P,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,P,,,,R,A,,,,,,F,,,,,,R,,,,,,,A,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,R,,,,,,,,,,,,,,,,,,,,R,,P,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,"pebbles, echinoderm spines",,,,341,U1418,D,10,H,CC,PAL,,,
341-U1418D-13H-CC-PAL,0,5,115.25,115.3,M [P20],P [A71],,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,pebbles,,,,341,U1418,D,13,H,CC,PAL,,,
341-U1418D-15H-CC-PAL,0,5,132.08,132.13,M [P20],F [A40],,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,R,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"pebbles, plantonic foraminfera stained orange",,,,341,U1418,D,15,H,CC,PAL,,,
341-U1418D-17H-CC-PAL,0,5,151.13,151.18,M [P20],P [A71],,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,pebbles,,,,341,U1418,D,17,H,CC,PAL,,,
341-U1418D-19H-CC-PAL,0,9,170.23,170.32,VG [P20],F [A40],,F,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,R,,R,,,,R,,,,,,,F,,,,,,,,,,,,,,,,,,,R,,,P,,,,,D,,,,,P,,,,,,,,,P,,,,,,,,,,,R,,,,,,R,,,,,,,,P,R,,,,,R,,,,,,,,P,,,,,,,F,,,R,,,"no pebbles, ostracods, did not dissagregate well",,,,341,U1418,D,19,H,CC,PAL,,,
341-U1418D-21H-7-PAL,0,10,188.99,189.09,G [P20],F [A40],,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,F,,,,P,,,F,,,,,,,,,,P,P,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,F,,A,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,,,,,,R,,,R,,,,,,,341,U1418,D,21,H,7,PAL,,,
