Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Technitella sp.,Textularia pseudogramen,Textularia spp.,Textulariella spp.?,Tolypammina vagans,Trifarina angulosa,Trifarina bradyi,Trifarina fornasinii,Trifarina spp.,Triloculina sp. 1,Triloculina spp.,Triloculina tricarinata,Triloculinella obliquinodus,Tritaxa spp.,Tritaxis fusca,Trochammina bellingshauseni,Trochammina earlandi,Trochammina globigeriniformis,Trochammina spp.,Trochammina squammata,Trochamminoides spp.,Uvigerina auberiana,Uvigerina cf. auberiana,Uvigerina cf. hispida,Uvigerina cf. mexicana,Uvigerina cf. proboscidea,Uvigerina bradyana,Uvigerina elongatastriata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina peregrina,Uvigerina spp.,Uvigerinidae indet.,Vaginulina spp.,Vaginulinopsis spp.,Vaginulinidae indet.,Vaginulina subelegans,Valvulineria spp.,Verneuinulla spp.?,Virgulinella spp.,Vulvulina pennatula,Comment,File Data
339-U1385A-5H-CC-PAL,339,U1385,A,5,5-CC,H,CC,PAL,0,5,39.92,39.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,P ,R ,,,,,,,,,,,
339-U1385A-6H-CC-PAL,339,U1385,A,6,6-CC,H,CC,PAL,0,5,49.43,49.48,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,
339-U1385A-8H-CC-PAL,339,U1385,A,8,8-CC,H,CC,PAL,0,6,68.58,68.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,
339-U1385A-9H-CC-PAL,339,U1385,A,9,9-CC,H,CC,PAL,0,5,77.78,77.83,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,
339-U1385A-10H-CC-PAL,339,U1385,A,10,10-CC,H,CC,PAL,0,5,87.73,87.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,R ,,,,,,,,,,,
339-U1385A-11H-CC-PAL,339,U1385,A,11,11-CC,H,CC,PAL,0,5,96.78,96.83,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,P ,,,,,,,,,,,
339-U1385A-12H-CC-PAL,339,U1385,A,12,12-CC,H,CC,PAL,0,5,106.29,106.34,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,P ,A ,,,,,,,,,,,,
339-U1385A-13H-CC-PAL,339,U1385,A,13,13-CC,H,CC,PAL,0,5,116.07,116.12,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,P ,,,,,,,,,,,,
339-U1385A-15H-CC-PAL,339,U1385,A,15,15-CC,H,CC,PAL,0,5,133.83,133.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,,,,,,,,,,
