Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Catapsydrax dissimilis,Catapsydrax unicavus,Globigerina bulloides,Globigerina ciperoensis,Globigerina parabulloides,Globigerina umbilicata,Globigerinita glutinata,Globigerinita uvula,Globoquadrina duterei,Globorotalia incisa,Globorotalia (Globoconella) praescitula,Globorotalia (Hirsutella) scitula,Globorotalia suterae,Neogloboquadrina atlantica atlantica,Neogloboquadrina atlantica praeatlantica,Neogloboquadrina dutertri subcretacea,Neogloboquadrina pachyderma (sin),Neogloboquadrina pachyderma(dex),Orbulina universa,Turborotalia quinqueloba,pc_fossil_group,physical_constituent_name,pc_fossil_name,pc_abundance_name_mode,pc_preservation_name_average,File Data,Zone name,Zone name (short)
323-U1343C-1H-CC-PAL-FORAM94   ,323,U1343,C,1,1-CC,H,CC,PAL,FORAM94   ,0,0.00 ,7.14,7.14,dominant IRD,G [323_PF],A [323_PFs],,,,,,,,,,,,,,,,,A,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",F [323_PFs],,,,
323-U1343C-2H-CC-PAL-FORAM99   ,323,U1343,C,2,2-CC,H,CC,PAL,FORAM99   ,0,0.00 ,16.57,16.57,dominant IRD,G [323_PF],F [323_PFs],,,,,,,,,,,,,,,,,F,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,,,
323-U1343C-3H-CC-PAL-FORAM4    ,323,U1343,C,3,3-CC,H,CC,PAL,FORAM4    ,0,0.00 ,26.5,26.5,"dominant IRD, rare diatoms",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1343C-4H-CC-PAL-FORAM9    ,323,U1343,C,4,4-CC,H,CC,PAL,FORAM9    ,0,0.00 ,36.3,36.3,"dominant IRD, rare diatoms",G [323_PF],A [323_PFs],,,,,,,,,,,,,,,,,A,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",F [323_PFs],,,,
323-U1343C-5H-CC-PAL-FORAM14   ,323,U1343,C,5,5-CC,H,CC,PAL,FORAM14   ,0,0.00 ,44.65,44.65,"dominant IRD, rare diatoms",M [323_PF],A [323_PFs],,,,,,,,,,,,,,,,,A,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",A [323_PFs],,,,
323-U1343C-6H-CC-PAL-FORAM19   ,323,U1343,C,6,6-CC,H,CC,PAL,FORAM19   ,0,0.00 ,55.41,55.41,"dominant IRD, rare diatoms",G [323_PF],R [323_PFs],,,,,,,,,,,,,,,,,,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,,,
323-U1343C-7H-CC-PAL-FORAM59   ,323,U1343,C,7,7-CC,H,CC,PAL,FORAM59   ,0,0.00 ,63.81,63.81,"dominant IRD, rare diatoms",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1343C-8H-CC-PAL-FORAM64   ,323,U1343,C,8,8-CC,H,CC,PAL,FORAM64   ,0,0.00 ,70.58,70.58,"pyrite tubes, yellow foraminifera",G [323_PF],A [323_PFs],,,,,,,,,,,,,,,,,A,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,,,
323-U1343C-9H-CC-PAL-FORAM69   ,323,U1343,C,9,9-CC,H,CC,PAL,FORAM69   ,0,0.00 ,78.25,78.25,pyrite tubes,G [323_PF],F [323_PFs],,,,,,,,,,,,,,,,,R,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",F [323_PFs],,,,
323-U1343C-10H-CC-PAL-FORAM74   ,323,U1343,C,10,10-CC,H,CC,PAL,FORAM74   ,0,0.00 ,87.58,87.58,pyrite tubes,,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1343C-11H-CC-PAL-FORAM88   ,323,U1343,C,11,11-CC,H,CC,PAL,FORAM88   ,0,0.00 ,97.44,97.44,pyrite tubes,,,,,,,,P,,,,,,,,,,,R,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,,,
323-U1343C-12H-CC-PAL-FORAM93   ,323,U1343,C,12,12-CC,H,CC,PAL,FORAM93   ,0,0.00 ,106.58,106.58,"dominant IRD, mica, pyrite",G [323_PF],A [323_PFs],,,,,,,,,,,,,,,,,A,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,,,
323-U1343C-13H-CC-PAL-FORAM98   ,323,U1343,C,13,13-CC,H,CC,PAL,FORAM98   ,0,0.00 ,116,116,"dominant IRD, pyrite",M [323_PF],A [323_PFs],,,,,,,,,,,,,,,,,A,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,,,
323-U1343C-14H-CC-PAL-FORAM3    ,323,U1343,C,14,14-CC,H,CC,PAL,FORAM3    ,0,0.00 ,124.55,124.55,"dominant IRD, pyrite",G [323_PF],F [323_PFs],,,,,,,,,,,,,,,,,F,,,,,,,,,,,
323-U1343C-15H-CC-PAL-FORAM10   ,323,U1343,C,15,15-CC,H,CC,PAL,FORAM10   ,0,0.00 ,134.94,134.94,"dominant IRD, pyrite",M [323_PF],D [323_PFs],,,,,,R,,,,,,,,,,,D,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,,,
323-U1343C-17H-CC-PAL-FORAM15   ,323,U1343,C,17,17-CC,H,CC,PAL,FORAM15   ,0,0.00 ,153.3,153.3,"dominant IRD, mica, pyrite",G [323_PF],R [323_PFs],,,,,,,,,,,,,,,,,,P,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,,,
