Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Alabaminella sp.,Alabaminella weddellensis,Angulogerina fluens,Astacolus sp.,Astrononion sp. ,Astrorhiza sp.,Baggina philippinensis,Bolivina alata,Bolivina decussata,Bolivina pacifica,Bolivina sp.,Bolivina spathulata,Bolivina spissa,Bolivina spp.,Botellina labyrinthica,Brizalina earlandi,Brizalina pygmaea,Buccella frigida ,Buccella inusitata,Buccella sp.,Buccella spp.,Bulimina sp.,Bulimina striata,Buliminella elegantissima,Buliminella sp.,Buliminella tenuata,Cassidulina californica,Cassidulina cushmani,Cassidulina laevigata var. carinata,Cassidulina mexicana,Cassidulina sp.,Cassidulina teretis ,Cassidulina translucens,Cassidulinoides cornuta,Cassidulinoides parkerianus,Cassidulinoides tenuis ,Chilostomella oolina,Chilostomellina frimbriata,Cibicides fletcheri ,Cibicides lobatulus,Cibicides mckannai,Cibicides sp.,Cibicides spiralis,Cibicides spp.,Cibicidoides mundulus,Cibicidoides sp.,Cibicidoides subhaidingerii,Cribrostomoides jeffreysii,Cribrostomoides subglobosus,Cyclammina cancellata,Dentalina sp.,Dentalinoides sp.,Discorbis sp.,Dorothia pseudofiliformis,Eggerella advena,Eggerella bradyi,Ehrenbergina sp.,Eilohedra vitrea,Elphidiella sp.,Elphidiellia groenlandica,Elphidium bartletti,Elphidium batialis,Elphidium clavatum,Elphidium excavatum,Elphidium frigidum,Elphidium hughesi,Elphidium sp.,Elphidium spp. ,Epistominella pacifica ,Epistominella pulchella,Epistominella sp.,Epistominella vitrea ,Eponides healdi ,Eponides sp.,Eubuliminella exilis ,Fissurina lucida ,Fissurina sp.,Fursenkoina bradyi,Fursenkoina sp.,Glandulina sp.,Globobulimina auriculata,Globobulimina pacifica,Globobulimina sp.,Globocassidulina sp.,Globocassidulina subglobosa,Gyroidina gemma,Gyroidina lamarckiana,Gyroidina spp.,Gyroidinoides soldanii,Gyroidinoides sp.,Haplophragmoides sp.,Haynesina sp.,Hormosinella guttifera,Hyalinonetrion gracillima,Hyperammina sp.,Ioanella sp.,Islandiella norcrossi,Islandiella sp.,Karreriella baccata,Karreriella parkerae,Laevidentalina advena,Lagena elongata,Lagena gracilis ,Lagena laevis ,Lagena meridionalis ,Lagena sp.,Lagena spp.,Lagena striata,Laticarinina pauperata,Lenticulina sp.,Lenticulina spp. ,Liebusella soldanii,Martinottiella communis,Melonis barleeanus,Melonis pompilioides,Neugeborina longiscata,Nodosaria aff. pyrula,Nodosaria sp.,Nonion sp.,Nonionella labradorica,Nonionella pulchella,Nonionella sp.,Nonionella spp. ,Nonionella turgida,Nonionella turgida digitata,Oolina globosa,Oolina laevigata,Oolina sp.,Oolina spp.,Oridorsalis sp.,Oridorsalis umbonatus,Paratrochammina challengeri,Planulina ariminensis,Planulina wuellerstorfi,Plectofrondicularia sp.,Pleurostomella alternans,Portatrochammina karica,Psammosphaera fusca,Pseudononion auricula,Pullenia bulloides,Pullenia salisburyi,Pullenia sp.,Pygmaeoseistron hispidum,Pyrgo sp.,Pyrgo spp. N/A,Quinqueloculina sp.,Quinqueloculina stalkeri,Reophax dentaliniformis,Reophax pilulifer,Reophax sp.,Reussella sp.,Rhabdammina sp.,Rhizammina algaeformis,Saccammina sp.,Sigmoilina distorta ,Sigmoilinita sp.,Sphaeroidina bulloides,Spiroculina sp.,Stainforthia fusiformis,Stainforthia sp.,Subreophax aduncus,Takayanagia delicata,Trichohyalus ornatissimus,Trifarina angulosa,Trifarina sp.,Triloculina sp.,Triloculina trihedra,Trochammina globigeriniformis,Trochammina globorotaliformis ,Trochammina sp.,Uvigerina akitaensis ,Uvigerina auberiana,Uvigerina cf. proboscidea,Uvigerina juncea,Uvigerina peregrina,Uvigerina senticosa ,Uvigerina sp.,Uvigerina spp.,Valvulineria sp.,Veleroninoides sp.,Comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name,Zone name (short)
341-U1419A-1H-CC-PAL,0,5,7.38,7.43,G [P20],A [A40],,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A21],,,,F [A21],,,,,F [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,D [A21],,,,,,F [A21],,,,,,,,,,,,,P [A21],,,,,,,,,A [A21],,,,,,,,,,,,,,,,,R [A21],,,,,,F [A21],,,,,,,,,,,,,,,,,,,,,,,,P [A21],,,A [A21],,,,,,,,,,,,,P [A21],,,,,,P [A21],,,,,A [A21],,,,,,,,,,,,,,341,U1419,A,1,H,CC,PAL,,,
341-U1419A-2H-CC-PAL,0,5,17.15,17.2,G [P20],A [A40],,,,,,,,,,P [A21],,R [A21],P [A21],,,P [A21],,P [A21],,,,,,,,,,,,,P [A21],P [A21],,,,,,,,,,,,P [A21],,,,,,,,,,,,,,,,,,,,,,,F [A21],,D [A21],,,,,,P [A21],,,,,,,,P [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,P [A21],,,,,,,,,,,R [A21],,,,,,,,,,,,,,341,U1419,A,2,H,CC,PAL,,,
341-U1419A-3H-CC-PAL,0,5,26.6,26.65,G [P20],A [A40],,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,F [A21],,,,P [A21],,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A21],,D [A21],,,,,,P [A21],,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,341,U1419,A,3,H,CC,PAL,,,
341-U1419A-5H-CC-PAL,0,1,35.91,35.92,G [P20],F [A40],,,,,,,,,,,,,,,,P [A21],,,R [A21],,,,,,,,,A [A21],,,P [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,D [A21],,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,A [A21],R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A21],,,,,,,,,,,F [A21],,,,,,,,,,,,,,341,U1419,A,5,H,CC,PAL,,,
341-U1419A-6H-CC-PAL,0,5,48.04,48.09,G [P20],F [A40],,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,A [A21],,,,P [A21],,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A21],,D [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,F [A21],,,,,,P [A21],,,,,,,,,,,,,,,,,,,341,U1419,A,6,H,CC,PAL,,,
341-U1419A-8H-CC-PAL,0,5,68.16,68.21,G [P20],F [A40],,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A21],,,P [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A21],,A [A21],,,,,,,,,,,,,,,,P [A21],,,,,,,,,,,,P [A21],,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,A,8,H,CC,PAL,,,
341-U1419A-9H-CC-PAL,0,5,75.02,75.07,M [P20],F [A40],,,,,,,,,,,,,,,,,,,P [A21],,,,,,,,,A [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A21],,A [A21],,,,,,,,,,,,,,P [A21],,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,A [A21],,,,,,,,,,,,,,,,,,,,,,,,P [A21],,,,,,,,,,,,,,,,A [A21],,,,,,P [A21],,,,,P [A21],,,,,,,,,,,,,,341,U1419,A,9,H,CC,PAL,,,
341-U1419A-10H-CC-PAL,0,5,83.74,83.79,VG [P20],D [A40],,,,,,,,R [A21],,A [A21],,P [A21],,,,,,,,,,,,,,,,D [A21],,,R [A21],,,,,,P [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A21],,A [A21],,,,,,D [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,341,U1419,A,10,H,CC,PAL,,,
341-U1419A-11H-CC-PAL,0,5,88.24,88.29,VG [P20],D [A40],,,,,,,,,,P [A21],,P [A21],R [A21],,,,,,,,,,P [A21],,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,D [A21],,,,,,D [A21],,,,,,,,P [A21],,,,,,,,,,,,,,R [A21],,,,,,,,,,P [A21],,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A21],,,,,,,,,,,A [A21],,,,,,,,,,,,,,341,U1419,A,11,H,CC,PAL,,,
341-U1419A-12H-CC-PAL,0,5,97.71,97.76,G [P20],D [A40],,,,,,,,R [A21],,,,,R [A21],,,P [A21],,,P [A21],,,,,,,,,F [A21],,,,,,,,,R [A21],,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,P [A21],,A [A21],,,,,,F [A21],,,,,,,,,,,,,,,,,,,,,,A [A21],,,,,,,,,,P [A21],,,,,,,R [A21],,,,,,A [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A21],,,,,,,,,,,,,,341,U1419,A,12,H,CC,PAL,,,
