Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Catapsydrax dissimilis,Catapsydrax unicavus,Globigerina bulloides,Globigerina ciperoensis,Globigerina parabulloides,Globigerina umbilicata,Globigerinita glutinata,Globigerinita uvula,Globoquadrina duterei,Globorotalia incisa,Globorotalia (Globoconella) praescitula,Globorotalia (Hirsutella) scitula,Globorotalia suterae,Neogloboquadrina atlantica atlantica,Neogloboquadrina atlantica praeatlantica,Neogloboquadrina dutertri subcretacea,Neogloboquadrina pachyderma (sin),Neogloboquadrina pachyderma(dex),Orbulina universa,Turborotalia quinqueloba,pc_fossil_group,physical_constituent_name,pc_fossil_name,pc_abundance_name_mode,pc_preservation_name_average,File Data,Zone name,Zone name (short)
323-U1339C-1H-CC-PAL-FORAM81   ,323,U1339,C,1,1-CC,H,CC,PAL,FORAM81   ,0,0,9.68,9.68,few IRD,G [323_PF],A [323_PFs],,,,,,A,,,,,,,,,,,F,F,,,,,,,,,,
323-U1339C-2H-CC-PAL7-FORAM86   ,323,U1339,C,2,2-CC,H,CC,PAL7,FORAM86   ,0,0,19.42,19.42,abundant IRD,G [323_PF],A [323_PFs],,,,,,A,,,,,,,,,,,R,F,,,,,,,,,,
323-U1339C-3H-CC-PAL76-FORAM99   ,323,U1339,C,3,3-CC,H,CC,PAL76,FORAM99   ,0,0,29.09,29.09,abundant IRD,G [323_PF],R [323_PFs],,,,,,R,,,,,,,,,,,,P,,,,,,,,,,
323-U1339C-4H-CC-PAL43-FORAM72   ,323,U1339,C,4,4-CC,H,CC,PAL43,FORAM72   ,0,0,38.86,38.86,dominant IRD,G [323_PF],F [323_PFs],,,,,,F,,,,,,,,,,,,P,,,,,,,,,,
323-U1339C-5H-CC-PAL96-FORAM63   ,323,U1339,C,5,5-CC,H,CC,PAL96,FORAM63   ,0,0,48.39,48.39,dominant IRD,G [323_PF],A [323_PFs],,,,,,A,,,,,,,,,,,,F,,,,,,,,,,
323-U1339C-6H-CC-PAL-FORAM77   ,323,U1339,C,6,6-CC,H,CC,PAL,FORAM77   ,0,0,57.84,57.84,dominant IRD,G [323_PF],A [323_PFs],,,,,,A,,,,,,,,,,,,R,,,,,,,,,,
323-U1339C-7H-CC-PAL23-FORAM68   ,323,U1339,C,7,7-CC,H,CC,PAL23,FORAM68   ,0,0,66.55,66.55,dominant IRD,G [323_PF],A [323_PFs],,,,,,A,,,,,,,,,,,,R,,,,,,,,,,
323-U1339C-8H-CC-PAL0-FORAM54   ,323,U1339,C,8,8-CC,H,CC,PAL0,FORAM54   ,0,0,76.49,76.49,abundant IRD,G [323_PF],P [323_PFs],,,,,,P,,,,,,,,,,,,,,,,,,,,,,
323-U1339C-9H-CC-PAL32-FORAM59   ,323,U1339,C,9,9-CC,H,CC,PAL32,FORAM59   ,0,0,85.24,85.24,few IRD,G [323_PF],A [323_PFs],,,,,,A,,,,,,,,,,,,P,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,,,
323-U1339C-10H-CC-PAL40-FORAM64   ,323,U1339,C,10,10-CC,H,CC,PAL40,FORAM64   ,0,0,95.01,95.01,abundant IRD,G [323_PF],A [323_PFs],,,,,,A,,,,,,,,,,,,R,,,,,,,,,,
