Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Marginulina pediformis,Marginulina spp.,Marginulinopsis spp.,Marsipella elongata,Martinotiella bacillaris,Martinottiella communis,Martinottiella spp.,Massilina sp.,Melonis barleeanus,Melonis pompilioides,Melonis spp.,Melonis zaandamae,Miliammina spp.,Miliolid taxa (large),Miliolid taxa,Miliolinella sp.,Miliolinella subrotunda,Myllostomella cf. advena,Myllostomella fijiensis,Myllostomella spp.?,Neoconorbina spp.,Neoeponides spp.?,Neolenticulina variabilis,Neodiscorbinella rarescens,Nodosariidae indet.,Nodogenerina spp.,Nodosaria spp.,Nonion asterizans,Nonion commune,Nonion spp.,Nonionella cf. bradii,Nonionella labradorica,Nonionidae indet.,Nonionella spp.,Nonionella turgida,Nothia latissima,Nummoloculina contraria,Nuttallides sp,Oolina spp.,Operculina sp.,Oridorsalis spp.,Oridorsalis umbonatus,Orthomorphina challengeriana,Orthomorphina cf. jedlitschkai,Orthomorphina spp.,Osangularia sp.,Osangulariella? sp.,Pattelina corrugata,Parafissurina sp.,Parafissurina spp.,Pararotalia spp.,Paratrochamminoides spp.,Placopsilina confusa,Planulina ariminensis,Planulina sp.,Planoglabratella cf. opercularis,Planorbulina mediterranensis,Plectofrondicularia spp.,Pleurostomella alternans,Pleurostomella cf. alternans,Pleurostomellidae indet.,Pleurostomella recens,Pleurostomella spp.,Porosononion sp.,Praebulimina spp.,Praeglobobulimina ovata,Protelphidium sp.,Proxifrons inaequalis,Psammosphaera spp.,Pseudoclavulina spp.,Pseudoglandulina spp.,Pseudoglandulina spp.?,Pullenia bulloides,Pullenia quinqueloba,Pullenia spp.,Pyramidulina sp.,Pyrgo anomala,Pyrgo laevis,Pyrgo lucernula,Pyrgo murrinha,Pyrgo oblonga,Pyrgo spp.,Pyrgoella sphaera,Syrgoella spp.?,Pyrulina? Angusta,Comment,File Data,Zone name,Zone name (short)
339-U1388B-2X-CC-PAL-FORAM,339,U1388,B,2,2-CC,X,CC,PAL,FORAM,0,3,7.7,7.73,,,,,,,,,F ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,R ,,,,,R ,,,,,,,,,P ,,,,,,R ,,,,,,,,P ,,,,,,,
339-U1388B-3X-CC-PAL-FORAM,339,U1388,B,3,3-CC,X,CC,PAL,FORAM,0,3,17.7,17.73,,,,,,,,,R ,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1388B-8X-CC-PAL-FORAM,339,U1388,B,8,8-CC,X,CC,PAL,FORAM,0,10,63.3,63.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,
339-U1388B-9X-CC-PAL-FORAM,339,U1388,B,9,9-CC,X,CC,PAL,FORAM,0,5,74.13,74.18,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,
339-U1388B-10X-CC-PAL-FORAM,339,U1388,B,10,10-CC,X,CC,PAL,FORAM,0,5,85.87,85.92,,,,,,,,,F ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,R ,,,,,,,
339-U1388B-11X-1-PAL-FORAM,339,U1388,B,11,11-1,X,CC,PAL,FORAM,0,5,92.01,92.06,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1388B-12X-CC-PAL-FORAM,339,U1388,B,12,12-CC,X,CC,PAL,FORAM,0,5,110.88,110.93,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,
339-U1388B-13X-CC-PAL-FORAM,339,U1388,B,13,13-CC,X,CC,PAL,FORAM,0,5,120.66,120.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,P ,P ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1388B-14X-CC-PAL-FORAM,339,U1388,B,14,14-CC,X,CC,PAL,FORAM,0,5,130.14,130.19,,,,,,,,,P ,,P ,,,,P ,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,
339-U1388B-15X-CC-PAL-FORAM,339,U1388,B,15,15-CC,X,1,PAL,FORAM,0,5,139.81,139.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,
